name,image,time,ingredient,nutrition,categoty,methode
Simple salt beef,çççç,Prep:20Cook:4hrsplusresting,"['1.6kg flat piece of pickled beef brisket ', '2 bay leaves ', '4 large carrots, peeled but left whole ', '1 tsp black peppercorns ', '4 juniper berries ', '1-2 tsp sugar (optional) ']","['  kcal 419  ', '  fat 32g  ', '  saturates 11g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0.1g  ', '  protein 31g  ', '  salt 4.2g  ']",american,"['If you can, allow the pickled beef to come up to room temperature before you start by leaving it on the kitchen counter for an hour. It will speed up the cooking time. Put the beef in a large pan and cover with cold water. Bring to the boil, skimming away any foamy scum that rises to the surface. Once the foam has been mostly removed, add all the other ingredients. Adding them now means they don’t get in the way of the skimming.', 'Reduce the heat, cover and simmer gently for 2 hrs 30 mins-3 hrs 30 mins or until a fork pushed into the meat slides in easily – it should be really soft. Start checking after 2 hours – there should be no resistance when you pull the fork out of the meat. You could also use a skewer to do the testing – make sure to push it into the thickest part of the meat.', ""Once the beef is tender, turn off the heat. Either leave it sitting in the cooking liquor if you're not ready to eat (it can sit like this for up to an hour), or use two forks to lift the meat out, allow the water to drain off, then put it on a board. Keep the liquor if you plan to reheat or freeze the salt beef. Cover loosely with foil and allow to rest for 10-15 mins. To serve, slice thickly against the grain of the meat or it will crumble. Serve hot or cold.Leftovers will keep in the fridge for three days and in the freezer for up to six weeks. Before freezing, it’s best to slice it and wrap first in baking parchment, then foil. Make sure you also freeze the pot of cooking liquor. When you want to eat it, defrost and then put it (with slices arranged back into a whole brisket shape) in an ovenproof dish with the thawed liquor. Cover with foil and reheat at 180C/160C fan/gas 4 for 20 mins.""]"
Maple & chilli-glazed leg of lamb,https://images.immediate.co.uk/production/volatile/sites/30/2021/06/Maple-and-chilli-glazed-leg-of-lamb-e9fa707.jpg,Prep:20Cook:40,"['2.5kg leg of lamb, butterflied (ask your butcher to do this) ', '1 bunch of rosemary, snipped into 2cm lengths ', '100ml maple syrup ', '50g Dijon mustard ', '2 tbsp yeast extract ', '1 tbsp smoked paprika ', '3 medium green chillies, sliced ']","['  kcal 582  ', '  fat 31g  ', '  saturates 14g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 62g  ', '  salt 1.4g  ']",american,"['Lay the butterflied lamb leg on a board and use a sharp knife to prick about 20 holes all over the skin side. Press the rosemary sprigs deep into the holes, then season all over.', 'To make the glaze, tip all of the ingredients into a small saucepan, reserving a few sliced chillies, and bring to the boil. Stir to combine, then remove from the heat and set aside. Light the barbecue. It’s ready when the coals are ashen and you can hold your hand 5cm above the grill for at least 5 seconds.', 'Lay the lamb skin-side down on the grill and cook for 10 mins. Turn over using tongs and cook for 10 mins more. Repeat this two more times for 5 mins on each side so the lamb cooks for a total of 30 mins. Baste with the glaze, turn the lamb again and keep basting for another 10 mins until deep brown and sticky. Remove to a board, cover loosely and leave to rest for 20 mins. Carve into thin slices to serve, then scatter over the reserved sliced chillies.']"
Next level beef burgers,https://images.immediate.co.uk/production/volatile/sites/30/2021/05/Next-level-burger-13791ff.jpg,"Prep:40Cook:30plus2hrsrising,coolingandchilling","['250g plain white flour, plus extra for dusting ', '20g golden caster sugar ', '5g fast-action dried yeast ', '150ml milk ', '1 egg, beaten ', '50g butter, softened ', 'sesame seeds, for sprinkling (optional) ', '600g dry-aged chuck steak, cut into large chunks ', 'toppings of your choice, such as cheese, onions, tomatoes or lettuce ', '3 tbsp mayonnaise ', '2 tbsp ketchup or sriracha (or use 1 tbsp of each) ', '1 tbsp American mustard ', '1 small gherkin, finely chopped, plus extra to serve ', 'large pinch of garlic granules ']","['  kcal 749  ', '  fat 38g  ', '  saturates 15g  ', '  carbs 57g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 43g  ', '  salt 2.9g  ']",american,"['To make your own buns, tip the flour, sugar, yeast and 1 tsp salt into the bowl of a stand mixer fitted with a paddle attachment. With the motor running on medium speed, gradually add the milk, then half the egg. Leave to mix for a few minutes, then add the butter, a little at a time, until the dough is elastic and shiny – about 5 mins. Alternatively, do this in a bowl using an electric whisk.', 'Divide the dough into four and roll each piece into a round on a lightly floured surface. Arrange well spaced apart on a baking tray lined with baking parchment. Press down gently to spread them out a little and leave in a warm place for 2 hrs, or in the fridge overnight, until doubled in size.', 'Heat the oven to 200C/180C fan/gas 6. Brush the remaining egg over the buns and scatter with the sesame seeds, if using. Bake for 13-15 mins until risen and golden. Leave to cool. Can be made up to a day ahead.', 'For the sauce, stir together all the ingredients and set aside. Can be made up to a day ahead and kept chilled.', 'To make the burgers, chill the chuck steak in the freezer alongside the blade and, if it fits, bowl of a food processor for 30 mins until the meat is firm but not frozen solid. Working quickly, tip half the chilled beef into the food processor and pulse eight to 10 times until the meat is minced, being careful not to overwork it. Tip the mince onto a tray and repeat with the remaining steak, then mix both lots together with ½ tsp salt. Divide into four portions and gently form each into a loose patty a bit wider than the buns. Don’t overwork it.', 'Cook the burgers as soon as possible after forming. Set a large, heavy frying pan over a medium heat. Split the buns and toast, cut-side down, in the pan (you may need to do this in batches). Remove to a plate, then sear the burgers, pressing them down with a spatula as they cook, for 4-5 mins on each side for medium rare or 6-7 mins for medium. Top with cheese, if you like, after flipping them. When the burgers are cooked, assemble as preferred with the buns, toppings of your choice and the burger sauce.']"
Chimichurri-style steak sarnies & cheat’s spicy fries,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Chimichurri-style-steak-sarnies-with-spicy-fries-007858d.jpg,Prep:25Cook:40plus10resting,"['2 x 200g rump steaks, fat removed ', '2 long ciabatta rolls ', '2 handfuls of rocket ', '30ml sunflower oil ', '270g shop-bought frozen fries ', 'Cajun spice mix ', '70g mayonnaise ', '1 tsp chipotle chilli paste ', '½ lime, zested and juiced ', '1 banana shallot, peeled and roughly chopped ', '1 red chilli, finely chopped ', '1 garlic clove, crushed ', '1½ tbsp sherry vinegar ', 'small bunch of parsley ', 'small bunch of coriander ', '50ml extra virgin olive oil ']","['  kcal 1101  ', '  fat 53g  ', '  saturates 8g  ', '  carbs 89g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 63g  ', '  salt 1.7g  ']",american,"['Heat the oven to its highest setting. For the fries, pour the sunflower oil into a baking tray and put in the oven for 15 mins to get hot. Reduce the temperature to 220C/200C fan/gas 8. Tip the fries into the oil, turn to coat, and cook for 20 mins. Add the Cajun spice mix and return to the oven for 15 mins until golden and crisp.', 'Meanwhile, make the mayo by mixing all the ingredients together in a bowl. Set aside.', 'For the chimichurri-style sauce, blitz all the ingredients together until you have a smooth sauce, then season to taste. Set aside.', 'Heat a griddle pan over a high heat. Rub the steaks with salt only (pepper will catch and burn), put the steaks in the pan and cook for 3 mins on each side (for medium). Remove from the pan, cover with foil and leave to rest for 10 mins.', 'Halve the ciabatta rolls, toast in the same griddle pan that you cooked the steak in, cut-side down, and spread one half of each with the chipotle mayo. Slice the steak into strips, divide between the ciabattas, drizzle over the chimichurri and add a little rocket. Serve with the fries and any leftover mayo.']"
Pastrami-style steak & mustard mayo,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Pastrami-style-steak-and-mustard-mayo-9179873.jpg,Prep:5Cook:15,"['2 tbsp mayonnaise ', '2 tsp English mustard ', '2 x 250g sirloin or ribeye steaks ', 'sunflower or vegetable oil, for drizzling ', '50g butter ', '150g sauerkraut ']","['  kcal 775  ', '  fat 66g  ', '  saturates 24g  ', '  carbs 2g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 41g  ', '  salt 2.5g  ']",american,"['Mix the mayo with the mustard and set aside. Season the steaks. Heat a drizzle of oil and the butter in a large frying pan over a high heat until sizzling and turning nut brown. Cook the steaks for 1-2 mins on one side, then turn and cook for another 1-2 mins. Turn again and continue this process for 6-7 mins total for rare, 8-9 mins for medium- rare and 10 mins for medium. Turning the steaks helps them cook evenly and build a uniform crust.', 'When the steaks are cooked to your liking, transfer to a board and leave to rest. Meanwhile, cook the sauerkraut in the pan with the sticky steak juices for 3-4 mins until heated through and browned. Serve the steaks with the sauerkraut and the mustard mayo on the side, or spoon the sauerkraut over the steaks.']"
Air-fried chips,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Air-fried-chips-c3a5d44.jpg,Prep:10Cook:35,"['4-5 large potatoes, about 1kg ', '1 tbsp sunflower or olive oil ']","['  kcal 140  ', '  fat 3g  ', '  saturates 0g  ', '  carbs 24g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 3g  ', '  salt 0.01g  ']",american,"[""To make straight, neat chips, peel the potatoes and trim away all the rounded edges so they become rectangular blocks. Cut the blocks into batons – they should be somewhere between fries and thick chips, as if they're too thin, they might break; too thick, and they won’t cook through (if you like, save the offcuts to make mash or add to soups). Alternatively, cut the unpeeled potatoes into chips without trimming, if you're not bothered by neatness. Rinse the chips and pat dry with a clean tea towel."", ""Tip the chips into the bottom of an air fryer (the part with the paddle), add the oil, and toss the chips in the oil so they are evenly coated. Program the fryer to cook for 30 mins using the paddle. After this time, check that the chips are tender and cooked through. If they're not, cook for a further 5 mins. Season well.""]"
Pastrami-cured salmon,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Pastrami-cured-salmon-fda5e3e.jpg,Prep:30Cook:35plus3dayscuring,"['800g side of salmon (the freshest you can get) ', '250g coarse sea salt ', '100g light brown soft sugar ', '2 tbsp coriander seeds ', '1 tsp ground coriander ', '1 tbsp caraway seeds ', '1 tbsp black peppercorns ', '1 bay leaf ', '1 tsp sweet smoked paprika ', '½ tsp cayenne pepper ', '2 tbsp black treacle ', 'soft cheese, rye bread or bagels, dill pickles and chopped dill ']","['  kcal 312  ', '  fat 20g  ', '  saturates 4g  ', '  carbs 5g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 27g  ', '  salt 2.4g  ']",american,"['Three days before you want to serve the salmon, put it, skin-side down, in a rimmed dish. Combine the salt and sugar, then set aside.', 'Fry the coriander seeds, ground coriander, caraway seeds and peppercorns in a small dry frying pan set over a medium heat for 2-3 mins. Tip into a spice grinder or small food processor along with the bay, and blitz until finely ground. Stir the spice mixture into the salt and sugar mix. Pat the spiced salt mixture all over and around the salmon so it’s well packed onto the flesh. Wrap tightly in cling film, then set a plate or board and something heavy (such as a couple of cans) on top to weigh the fish down. Chill for 48 hrs.', 'Heat the paprika, cayenne and black treacle in a pan until loosened, then remove from the heat and leave to cool slightly until just warm. Brush the excess salt off the salmon and rinse the fish under cold running water. Pat dry with kitchen paper, then transfer to a clean dish. Brush with the warm treacle mixture until well coated (you may need to generously brush the fish several times before the coating covers the fish well), then wrap in a fresh sheet of cling film. Chill for another 24 hrs.', 'When you’re ready to serve, set the salmon on a board and thinly slice with a sharp knife, avoiding the layer of skin at the bottom. Serve with soft cheese, rye bread or bagels, pickles and some chopped dill for everyone to help themselves.']"
Patty melt toasties,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Patty-melt-toastie-7a428de.jpg,Prep:15Cook:40,"['3 tbsp butter ', '2 tbsp olive oil ', '1 large onion, finely sliced ', '200g beef mince ', '½ tsp garlic granules ', '2 tsp Worcestershire sauce ', '4 slices bloomer loaf or white bread ', '100g mature cheddar, grated ', '100g Swiss cheese, grated ', '2 tsp Dijon mustard ']","['  kcal 1069  ', '  fat 79g  ', '  saturates 40g  ', '  carbs 36g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 52g  ', '  salt 2.9g  ']",american,"['Heat 1 tbsp butter and half the oil in a large heavy-based frying pan over a medium heat, and fry the onion with a pinch of salt for 20-25 mins until golden and sticky.', 'Tip the mince into a bowl with the garlic granules, Worcestershire sauce and some seasoning, and combine with your hands – mix until the mince has a fine texture. Divide into two balls, then flatten these out into patties, keeping the shape of the bread in mind (you may want to make them more oblong if using a bloomer loaf).', 'Scrape the caramelised onions onto a plate, and heat the remaining oil in the pan over a high heat. Fry the burger patties, pressing them down with the back of a spatula, for 3-4 mins on each side until golden brown and cooked through. Transfer to a plate, scraping any bits from the pan over the top.', 'Reduce the heat to medium-low, and melt ½ tbsp butter in the pan, swirling it around the base. Fry all four of the bread slices on one side, weighing them down with a grill press or pressing down with the back of the spatula so they’re evenly golden and crisp. Do this in two batches, adding another ½ tbsp butter for the last two slices. Mix the two cheeses together in a bowl.', 'Put two of the bread slices, toasted-side up, on a board, and spread over the mustard. Add half the cheese, and spoon over the onions evenly. Top with the burgers, then scatter over the remaining cheese. Top with the remaining bread slices, toasted-side down, so the untoasted sides are on the outside of the sandwiches. Press down well to seal. Heat most of the remaining butter in the pan, and fry the sandwiches for 2-3 mins, pressing them down the whole time, until golden and toasted. Carefully flip and fry again, adding the last of the butter to the pan around the toasties. Cook until the cheese is melted and oozy, and the bread is golden and crisp on both sides.']"
Buffalo cauliflower,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Buffalo-cauliflower-7825216.jpg,Prep:5Cook:35,"['1 tbsp sweet smoked paprika ', '1/2 tbsp ground cumin ', '1 tsp garlic powder ', '100g plain flour ', '200ml buttermilk or kefir ', '1 head of cauliflower (500g), broken into florets ', '80g hot sauce ', '1½ tbsp maple syrup ', '1 tbsp butter ', 'celery sticks, to serve ', '100g Greek yogurt ', '3 tbsp mayonnaise ', '2 tbsp chopped chives ', '1-2 tbsp milk ']","['  kcal 279  ', '  fat 17g  ', '  saturates 3g  ', '  carbs 23g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 1.1g  ']",american,"['Heat the oven to 220C/200C fan/gas 7 and line a baking tray with baking parchment. Mix together the paprika, cumin, garlic powder, flour and ½ tsp salt in a large bowl. Make a well in the centre and whisk in the buttermilk. Tip in the cauliflower and toss to coat. Spread out the cauliflower on the baking tray and cook for 20-25 mins, turning halfway through, until crisp at the edges.', 'Warm the hot sauce, maple syrup and butter in a small pan set over low heat, for 2-3 mins. Liberally brush over the cauliflower and put back in the oven for 8-10 mins.', 'For the ranch dip, whisk together the yogurt, mayo, chives, milk and a pinch of salt in a bowl. Serve the with the cauliflower alongside some celery sticks for dipping.']"
Brie-stuffed pancakes with crispy bacon,https://images.immediate.co.uk/production/volatile/sites/30/2021/01/Brie-stuffed-pancakes-e634dc3.jpg,Prep:10Cook:30,"['10 smoked streaky bacon rashers ', '300g self-raising flour ', '1 tsp baking powder ', 'pinch of caster sugar ', '2 medium eggs, lightly beaten ', '300ml semi-skimmed milk ', '2 tbsp sunflower oil ', '25g salted butter, plus extra to serve ', '150g brie, thinly sliced ', '50g grated cheddar ']","['  kcal 632  ', '  fat 36g  ', '  saturates 16g  ', '  carbs 49g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 29g  ', '  salt 3.3g  ']",american,"['Heat the grill to high and grill the bacon for 5 mins until crisp, turning halfway through. Set aside and keep warm. Tip the flour, baking powder, sugar and a large pinch of salt into a large bowl, then gradually whisk in the eggs and milk until you have a smooth, thick batter.', 'Heat a splash of the oil and small knob of the butter in a non-stick frying pan over a medium heat until sizzling. Spoon in 1 tbsp of the batter and spread out to a rough 10cm circle with the back of the spoon. Top with a few slices of the brie, a pinch of the grated cheddar, and 1½ tbsp more of the pancake batter – the batter should cover all the cheese. Don’t worry if the batter starts to spread – you can shape it by pushing the cheese back toward the centre using a spatula. Cook for 2-3 mins until bubbles start to form on the surface, then carefully flip and cook for 2 mins more. Keep warm while repeating the process with the rest of the oil, butter, batter and cheese. Serve topped with some salted butter and the crispy bacon.']"
