name,image,time,ingredient,nutrition,categoty,methode
Easy seafood chowder,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Seafood-chowder-ae0e512.jpg,Prep:8Cook:20,"['1 small potato (about 150g), cut into 2cm cubes ', '½ tbsp vegetable oil ', '1 celery stick, finely chopped ', '1 shallot, peeled and finely chopped ', '1 garlic clove, grated ', '1 tbsp plain flour ', '200ml semi-skimmed or whole milk ', '100ml vegetable or fish stock ', '80g frozen prawns or smoked fish ', '75g fresh or frozen sweetcorn or peas (or use a mixture) ', '1 small lemon, zested and juiced ', '½ tbsp roughly chopped flat-leaf parsley, plus extra to serve (optional) ', 'crusty bread, to serve (optional) ']","['  kcal 432  ', '  fat 11g  ', '  saturates 3g  ', '  carbs 52g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 29g  ', '  salt 1g  ']",british,"['Tip the potatoes into a small saucepan and cover with cold salted water. Bring to the boil over a medium heat , then reduce the heat and simmer for 5-6 mins until just softened. Drain and set aside.', 'Heat the oil in a medium saucepan over a medium heat and cook the celery and shallot for 3 mins until softened. Add the garlic and fry for another 30 seconds until fragrant.', 'Stir in the flour and cook for 1 min. Reduce the heat to low and slowly pour in the milk, whisking until you have a thick sauce. Stir in the stock and simmer for 2 mins until the sauce has thickened slightly again.', 'Tip in the fish, vegetables and cooked potatoes, and simmer for 4-5 mins until the veg has defrosted (if frozen) and the fish is cooked through. When the mixture is creamy and coats the back of a spoon, add the lemon zest and juice and up to 50ml water if the chowder is too thick. Season with black pepper, salt and the parsley.', 'Pour the chowder into a bowl, top with more black pepper, the extra parsley and serve with crusty bread, if you like.']"
Healthy roast dinner,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Healthy-roast-dinner-8757ce1.jpg,Prep:15Cook:50,"['285g medium potatoes, thickly sliced ', '4 small carrots (160g), halved lengthways ', '2 x 80g red onions, cut into quarters ', '170g large Brussels sprouts (about 8-10), trimmed ', '2½ tsp rapeseed oil ', '2 tsp thyme leaves ', '2 tsp balsamic vinegar ', '1 large garlic clove, finely grated ', '2 pinches of English mustard powder ', '170g thick, lean fillet steak ', '½ tsp vegetable bouillon powder ']","['  kcal 370  ', '  fat 11g  ', '  saturates 3g  ', '  carbs 38g  ', '  sugars 0g  ', '  fibre 12g  ', '  protein 24g  ', '  salt 0.6g  ']",british,"['Heat the oven to 180C/160C fan/gas 4. Bring a large pan of water to the boil and cook the potatoes for 5 mins. Drain, reserving the water.', 'Toss the potatoes, carrots, onions and sprouts with 2 tsp of the oil to coat. Arrange on a non-stick baking sheet, spaced apart. Scatter with 1 tsp of the thyme, grind over some black pepper, then roast for 30 mins.', 'Meanwhile, mix 1 tsp of the vinegar with the garlic, remaining thyme and oil, the mustard and plenty of black pepper. Rub this over the steak, put in a shallow dish and set aside. Mix the rest of the vinegar with the bouillon and 125ml of the reserved water from step 1, then set aside. After 30 mins, turn the veg over and roast for 15 mins more.', 'Meanwhile, heat a small non-stick frying pan over a medium-high heat. Lift the steak out of the marinade, shake off the excess and fry for 2-3 mins on each side until cooked to your liking. Remove to a board and leave to rest. Pour the leftover marinade into the frying pan and bubble until thickened slightly to make a gravy. Slice the steak and serve with the roast veg and gravy on the side.']"
Chocolate Swiss roll,https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Chocolate-Swiss-Roll-e800e06.jpg,Prep:30Cook:10pluscooling,"['60g self-raising flour ', '3 tbsp cocoa powder ', '3 eggs ', '75g golden caster sugar, plus extra for scattering ', '200ml double cream ', '½ tsp vanilla extract ', '50g icing sugar, sifted, plus extra to serve ']","['  kcal 332  ', '  fat 21g  ', '  saturates 12g  ', '  carbs 29g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 6g  ', '  salt 0.21g  ']",british,"['Heat the oven to 220C/200C fan/gas 7. Line a 22 x 32cm swiss roll tin (if it’s 20 x 30cm that’s still fine) with baking parchment. Sift the flour and cocoa powder together into a bowl and set aside.', 'Crack the eggs into another bowl or the bowl of a stand mixer and tip in the sugar. Use an electric whisk or the whisk attachment to beat the eggs and sugar together for 5 mins until pale and very thick. Use a spoon or spatula to gently fold in the flour mixture until completely incorporated and everything’s the same colour with no streaks.', 'Gently scrape the mix into the tin and spread to the corners. Bake for 9-10 mins until puffed up and springy to touch. While the cake is baking, get another piece of parchment a little larger than the tin and scatter it with sugar. When the sponge is cooked, use oven gloves to carefully invert it onto the sugar-coated paper. Lift off the tin and peel away the top layer of parchment. Score a line 2cm from one of the shorter edges, then use the parchment to roll the sponge into a spiral with the parchment running through it. Leave the rolled sponge to cool completely.', 'While the cake is cooling, make the filling by whisking all the ingredients together until the cream stiffens. Unroll the sponge and spread over the filling, leaving the scored edge clear. Starting from the scored edge, use the parchment to roll the sponge up around the filling. Lift onto a board or serving platter and dust with icing sugar. Can be served straight away or chilled for up to 24 hrs. Serve in slices.']"
Apple jam,https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Apple-Jam-01e8e4b.jpg,Prep:15Cook:40,"['1kg Bramley apples, peeled, cored and chopped ', '250g caster sugar ', '½ lemon, juiced ', '1 cinnamon stick ']","['  kcal 35  ', '  fat 0.1g  ', '  saturates 0g  ', '  carbs 8.4g  ', '  sugars 0g  ', '  fibre 0.4g  ', '  protein 0.1g  ', '  salt 0g  ']",british,"['Put a small plate in the freezer. Tip the chopped apple and caster sugar into a large saucepan along with 350ml of water and bring to a simmer, stirring to dissolve the sugar.', 'Cook gently, stirring regularly, for 30 mins until the apples have collapsed.', 'Stir in the lemon juice, add the cinnamon stick and simmer gently for another 2-3 mins until the mixture is thick and glossy.', 'Remove the small plate from the freezer and drop a little of the mix onto it. Leave for a few seconds – it should be fairly firm. If it’s still a little runny, put the pan back of the heat and simmer for another 10-15 mins. Put the plate back in the freezer and test again, it should now be ready.', 'Divide between clean, sterilised jars and seal. Will keep for three months in a cool, dry place.\xa0Once opened, chill and use within one month.']"
Vegan apple cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Vegan-apple-cake-c466e14.jpg,Prep:20Cook:1hrs20,"['150g dairy-free spread, melted, plus extra for the tin ', '300ml oat milk ', '1 tbsp lemon juice ', '350g self-raising flour, plus 1 tbsp to coat the apples ', '100g caster sugar ', '100g light brown soft sugar ', '1 tsp baking powder ', '1 tsp almond extract ', '300g Granny Smith apples, peeled, cored and chopped into 2cm cubes ', '2 tbsp flaked almonds ']","['  kcal 445  ', '  fat 16g  ', '  saturates 4g  ', '  carbs 67g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 6g  ', '  salt 1.15g  ']",british,"['Use the spread to butter a 20cm deep cake tin and line with baking parchment. Heat the oven to 180C/160C fan/gas 4. Pour the oat milk into a jug, add the lemon juice and leave to sit for 5 mins at room temperature.', 'Put the flour, both sugars and the baking powder in a large bowl, pour over the thickened oat milk mixture and almond extract, then add the butter and ½ tsp salt. Beat everything together using an electric whisk. Tip the apples into a second large bowl, sprinkle over the extra 1 tbsp flour and toss to coat. Fold the apples through the cake batter using a spatula, then spoon the mixture into the prepared tin and sprinkle over the almonds.', 'Bake in the centre of the oven for 1 hr-1 hr 20 mins, or until golden and firm to the touch. Leave to cool for a few minutes in the tin. Serve warm, or turn out onto a wire rack and leave to cool completely. Once cool, will keep in an airtight container for up to three days.']"
Easy sultana scones,https://images.immediate.co.uk/production/volatile/sites/30/2021/05/Scones-main-ec9620e.jpg,Prep:15Cook:10,"['500g self-raising flour, sieved, plus extra for dusting ', '175g softened butter, cut into small pieces ', '3 tbsp caster sugar ', '150g sultanas ', '2 eggs, lightly beaten ', 'a splash of milk, plus extra for brushing ', 'clotted cream and jam, to serve (optional) ']","['  kcal 749  ', '  fat 38g  ', '  saturates 15g  ', '  carbs 57g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 43g  ', '  salt 2.9g  ']",british,"['Heat the oven to 220C/200C fan/gas 7. Line a large baking tray with baking parchment. Tip the flour and butter into a large bowl. Gently start to rub the butter into the flour using your fingertips, allowing it to fall from a short height above the bowl. This will incorporate air into the scones, making them beautifully light. Continue doing this until the mixture resembles fine breadcrumbs.', 'Add a pinch of salt, the sugar, sultanas, eggs and enough milk to bring the mixture together into a soft dough. The amount of milk will vary accordingly to the size of the eggs, softness of the butter and temperature of the room. Be careful not to overwork the tough or it will become tough.', 'Turn the dough out onto a lightly floured surface. Generously flour a rolling pin and roll the dough out to a 2cm thickness. Cut into squares or triangles using a sharp knife, then transfer the scones to the prepared baking tray, spacing them apart to leave room for spreading. Brush the tops with a little milk, then bake for 10 mins. Leave to cool until just warm, then serve with clotted cream or butter and jam, if you like.']"
Cod & tarragon fishcakes with minty peas,https://images.immediate.co.uk/production/volatile/sites/30/2021/05/RS_GFO-0621-HealthyDietPlan-Recipes-Suppers-SalsaVerdeFishcakesWithMintyCrushedPeas_02897-3efb128.jpg,Prep:20Cook:20,"['rapeseed oil, for the tin ', '900g potatoes (we used Maris Piper), peeled and cut into medium chunks ', '2 tsp English mustard powder ', '4 anchovies (10g), finely chopped ', '5 spring onions, very finely chopped ', '2tsp capers (10g) ', '1 ½ tbsp chopped tarragon ', '2 x 280g packs skinless cod loin, cut into cubes ', '8 tsp wholemeal flour ', '2 eggs ', '90g ground almonds ', '320g frozen peas ', '320g leeks, halved and finely sliced ', '2 tbsp finely chopped mint ', '4 rocket ', '2tsp lemon juice ', '2tsp extra virgin olive oil ']","['  kcal 515  ', '  fat 14g  ', '  saturates 2g  ', '  carbs 49g  ', '  sugars 0g  ', '  fibre 10g  ', '  protein 42g  ', '  salt 0.95g  ']",british,"['Heat the oven to 200C/180C fan/gas 6 and oil a non-stick baking sheet. Bring a pan of water to the boil, then cook the potatoes for 15-20 mins until tender. Drain well, then return to the pan and mash with the mustard, anchovies, spring onions, capers and tarragon until combined. Stir through the raw cod.', 'Shape into 8 cakes, then coat lightly in the flour – about 1-2 tsp each. Beat the eggs in a shallow bowl. Coat the cakes in the egg, then sprinkle 1/2 tbsp of the almonds over each one and place on the baking sheet. Bake for 20 mins, turning each over halfway through, until starting to turn golden.', 'Meanwhile, put the peas and leeks in a pan, submerge in water, then cover and boil for 10 mins. Drain and stir through the mint. Divide half of the pea and leek mixture between two plates with 2 fishcakes on top for each. Toss half the rocket with half the lemon juice and olive oil, then pile on top of the fishcakes. Chill 4 fishcakes and half the pea and leek mixture, separately, to eat another day. Will keep chilled for up to two days.\xa0Reheat the fishcakes on a baking tray at 200C/180C fan/gas 6 for 15-20 mins. Reheat the peas and leeks in the microwave. Dress the remaining rocket just before serving.\xa0']"
"Creamy leek, potato, cheddar & chive fish pie",https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Creamy-leek-cheddar-and-potato-fish-pie-a65c633.jpg,Prep:5Cook:1hrsplus30chillingand15cooling,"['400g plain flour, plus extra for dusting ', '1 tsp fine salt ', '½ small bunch of thyme, leaves picked ', '½ tbsp English mustard powder ', '180g cold unsalted butter, cut into cubes ', '2 large eggs, beaten ', 'steamed greens, to serve ', '1 potato (about 270g), chopped into 3cm chunks ', '1 tbsp olive oil ', '50g butter ', '2 leeks, finely sliced ', '3 tbsp plain flour ', '400ml whole milk ', '100ml double cream ', '100g mature cheddar, grated ', '3 tsp Dijon mustard ', '¼ bunch of chives, finely chopped ', '200g skinless salmon fillet, cut into chunks ', '200g skinless smoked haddock fillet, cut into chunks ', '100g raw king prawns, peeled ']","['  kcal 964  ', '  fat 59g  ', '  saturates 33g  ', '  carbs 72g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 34g  ', '  salt 2.2g  ']",british,"['Tip the flour, salt, thyme and mustard powder into a food processor and pulse briefly. Add the butter and pulse again to a fine breadcrumb texture. Add half the egg and 1 tbsp cold water and pulse until it comes together into a dough (you can add up to 1-2 tbsp more water if it’s dry). Tip the dough onto a work surface and knead briefly. Wrap and chill for 30 mins.', 'To make the filling, cook the potato in a pan of boiling water for 8-10 mins. Drain and leave to steam-dry. Heat the oil and butter in a large frying pan over a medium heat, and fry the leeks for 5 mins. Stir in the flour and cook for 2 mins, then add the milk, a little at a time, stirring between each addition to combine. Add the cream, cheese and mustard, and cook for 1-2 mins more until the cheese has melted. Stir in the chives and season. Remove from the heat and leave to cool for 15 mins.', 'Heat the oven to 220C/200C fan/ gas 8. Gently fold the salmon, potato, haddock and prawns into the creamy leek mixture, then spoon into a 27cm round pie dish. Roll the pastry out on a lightly floured surface to the thickness of a £1 coin. Drape the pastry over the pie, then trim the excess. Crimp the edges, then shape the off-cuts to decorate the top, if you like. Brush with the remaining egg, then bake in the centre of the oven for 35-40 mins until golden. Serve with steamed greens.']"
Pastrami-style steak & mustard mayo,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Pastrami-style-steak-and-mustard-mayo-9179873.jpg,Prep:5Cook:15,"['2 tbsp mayonnaise ', '2 tsp English mustard ', '2 x 250g sirloin or ribeye steaks ', 'sunflower or vegetable oil, for drizzling ', '50g butter ', '150g sauerkraut ']","['  kcal 775  ', '  fat 66g  ', '  saturates 24g  ', '  carbs 2g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 41g  ', '  salt 2.5g  ']",british,"['Mix the mayo with the mustard and set aside. Season the steaks. Heat a drizzle of oil and the butter in a large frying pan over a high heat until sizzling and turning nut brown. Cook the steaks for 1-2 mins on one side, then turn and cook for another 1-2 mins. Turn again and continue this process for 6-7 mins total for rare, 8-9 mins for medium- rare and 10 mins for medium. Turning the steaks helps them cook evenly and build a uniform crust.', 'When the steaks are cooked to your liking, transfer to a board and leave to rest. Meanwhile, cook the sauerkraut in the pan with the sticky steak juices for 3-4 mins until heated through and browned. Serve the steaks with the sauerkraut and the mustard mayo on the side, or spoon the sauerkraut over the steaks.']"
Quinoa-coated salmon & sweet potato fishcakes,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Quinoa-coated-fishcakes-a9585a2.jpg,Prep:25Cook:30,"['750g sweet potatoes (about 4 medium sized) ', '65g quinoa (red and black mix, if possible) ', '1 tbsp oil, plus a little extra for brushing ', '240g skinless and boneless salmon fillets ', 'small bunch of chives, chopped ', '90g watercress ', '200g frozen peas, cooked ']","['  kcal 428  ', '  fat 16g  ', '  saturates 3g  ', '  carbs 47g  ', '  sugars 0g  ', '  fibre 10g  ', '  protein 20g  ', '  salt 0.2g  ']",british,"['Wash the sweet potatoes, prick each of them a few times with a fork and cook them in the microwave for around 10 mins – the time varies depending on the size. Alternatively, bake in the oven at 180C/160C fan/gas 4 for about 45 mins. Scoop the flesh into a bowl. Reserve the skins to make crisps, if you like (see tip, below).', 'Tip the quinoa into a saucepan and pour over 150ml boiling water, cover with a lid and simmer for about 15 mins until the water has been absorbed. Drain well, spread out on a plate and set aside.', 'Drizzle a little oil in a frying pan over a medium heat, then fry the salmon fillets for a few minutes on each side. Tip into the bowl with the sweet potato, then add the chives. Mix well to break up the fish, and season to taste.', 'Heat the oven to 180C/160C fan/gas 4. Form the mixture into eight equal-sized fishcakes. Dip each fishcake into the plate of quinoa and coat fully, pressing to help it stick. Brush with a little olive oil and place on a baking tray lined with baking parchment. Bake for about 15-20 mins until golden. Serve with the watercress and peas, and sweet potato crisps, if you like.']"
