name,image,time,ingredient,nutrition,categoty,methode
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:10,"['2 wholemeal noodle nests (85g) ', '2 tsp rapeseed or sesame oil ', '200g lean fillet steak, fat removed and cut into strips ', '1 small red onion (100g), finely chopped ', '15g piece of ginger, peeled and finely chopped ', '160g chestnut mushrooms, thickly sliced ', '2 garlic cloves, finely chopped ', '160g ready-to-eat beansprouts ', '1½ tsp tamari ', '1 tbsp brown rice vinegar ', '4 spring onions (65g), cut into diagonal lengths ']","['  kcal 407  ', '  fat 11g  ', '  saturates 3g  ', '  carbs 41g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 32g  ', '  salt 1g  ']",chinese,"['Cook the noodles following pack instructions. Meanwhile, heat half the oil in a wok and stir-fry the beef over a high heat for 30 seconds until browned. Tip onto a plate, set aside, then add the remaining oil to the wok. Stir-fry the onion and ginger until softened. Add a drop of water to prevent burning, if needed and cook covered for 2-3 mins.', 'Stir in the mushrooms and garlic, and fry until they start to soften (around 3 mins), then add the beansprouts and cook for a minute or two more until piping hot.', 'Mix the tamari and vinegar together in a small bowl with 2 tbsp water. Add the drained noodles to the wok, toss well, then add the tamari mixture, spring onions and the beef. Stir-fry for a few minutes until heated through. Season with plenty of black pepper and serve.']"
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Sweet-and-sour-prawns-b429ce6.jpg,Prep:15Cook:15,"['300g raw king prawns ', '2 tbsp soy sauce ', '40g cornflour ', 'sunflower oil, for deep-frying ', 'handful of coriander leaves, roughly chopped ', 'cooked rice, to serve ', '1 red onion, roughly chopped ', '2 red peppers, deseeded and roughly chopped ', '2 garlic cloves, finely grated ', 'thumb-sized piece of ginger, finely grated ', '1 tbsp golden caster sugar ', '100ml malt vinegar ', '2 tbsp soy sauce ', '2 tbsp tomato ketchup ']","['  kcal 263  ', '  fat 13g  ', '  saturates 2g  ', '  carbs 25g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 10g  ', '  salt 3g  ']",chinese,"['Tip the prawns in a bowl and mix with the soy, then set aside for a few minutes. Stir in the cornflour.', 'Heat the oil in a wok over a high heat to a depth of 3-4cm. When it’s shimmering or a cooking thermometer reads 170C, fry the prawns in batches for about 2 mins until crisp and golden, turning them with a slotted spoon halfway through. Carefully lift onto a plate using the slotted spoon. Turn off the heat. Leave the pan for a few minutes to cool down.', 'Carefully pour all but 1 tbsp oil from the wok – keep the remainder for use in another recipe or discard.', 'Put the wok back on a high heat. When the oil is shimmering, carefully add the onion and peppers, and stir-fry for 1 min. Add the garlic and ginger, and continue to cook for 30 seconds, then scatter over the sugar and pour in the vinegar. Turn up the heat and boil for 2 mins. Stir in the soy and ketchup to make a thick, glossy sauce. When you’re ready to serve, tip the prawns back into the pan and stir to coat in the sauce. Scatter over the chopped coriander and serve with cooked rice on the side.']"
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Garlicky-prawns-6722e82.jpg,Prep:10Cook:8,"['vegetable oil, for frying ', '700g large prawns, peeled, deveined and patted dry ', '65g cornflour ', '95g potato starch ', '50g plain flour ', '½ tsp bicarbonate of soda ', '1 egg white ', '1 tsp vegetable oil ', '3 tbsp caster sugar ', '4½ tsp tomato purée ', '1 tbsp soy sauce ', '1 tbsp rice vinegar ', '1 tsp gochujang ', '1-2 tsp sriracha, chilli sauce or chilli-garlic sauce, depending on how hot you like it ', '1 tsp toasted sesame oil ', '1 tsp cornflour ', '1 tbsp vegetable oil ', '3 tbsp diced onion ', '6 garlic cloves, grated or finely chopped ', '1 fresh Korean red chilli, or fresno chilli, diced ', '1 fresh Korean green chilli or jalapeño, diced ', 'handful of spring onions, sliced on an angle ', 'cooked white rice ']","['  kcal 240  ', '  fat 8g  ', '  saturates 1g  ', '  carbs 31g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 11g  ', '  salt 1.4g  ']",chinese,"['In a large, wide, heavy-based pan at least 13cm deep, heat 5cm of vegetable oil over a medium-high heat (make sure the pan is no more than two-thirds full) until it reaches 190C. While the oil is heating, make the batter. Whisk together the cornflour, potato starch, flour and bicarbonate of soda in a bowl with a pinch of salt. Add the egg white, vegetable oil and 120ml water and whisk to form a thick batter.', 'Working in batches, coat the prawns in the batter, letting any excess drip back into the bowl. Carefully lower the prawns into the hot oil, one at a time, and fry, stirring occasionally, until golden brown, about 1½ mins. Transfer to a wire rack or paper-lined plate to drain. Repeat with the remaining prawns, letting the oil return to 190C\xa0between batches.', 'Let the oil return to 190C, then carefully return the prawns to the oil and fry a second time for 1½-2 mins until very crisp. Transfer to a wire rack or paper-lined plate to drain. Set aside.', 'To make the sauce, whisk together the sugar, tomato purée, soy sauce, vinegar, gochujang, sriracha and sesame oil in a bowl with the remaining cornflour and 60ml water until the sugar has dissolved. Set aside.', 'Heat the vegetable oil in a large frying pan over a medium-high heat and add the onion, garlic, red and green chillies. Cook for about 30 seconds, stirring, until just fragrant. Add the sauce mixture and cook for about 45 seconds, stirring, until the sauce thickens and becomes glossy. Add the fried prawns, toss quickly to coat and transfer to a platter. Scatter over the spring onions and serve immediately with rice.']"
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Fridge-raid-fried-rice-614b256.jpg,Prep:15Cook:15,"['2 tbsp vegetable oil ', '1 white onion, finely chopped ', '1 carrot, finely chopped ', '100g green beans, chopped ', '1 red or yellow pepper, finely chopped ', '½ medium broccoli, chopped into small florets ', '150g cooked chicken (or any other meat), roughly chopped ', '300g cold cooked rice ', '2 eggs, beaten ', '1 tbsp sesame oil ', '1 tbsp oyster sauce ', '1 spring onion, finely sliced ', '1 tsp toasted sesame seeds ']","['  kcal 388  ', '  fat 20g  ', '  saturates 3g  ', '  carbs 29g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 20g  ', '  salt 0.6g  ']",chinese,"['Heat half the vegetable oil in a wok or a frying pan over a medium-high heat, and stir-fry the onions, carrots and green beans for 5 mins. Add the peppers, broccoli and chicken, and stir-fry for 3 mins more.', 'Tip in the rice and stir-fry for another 4 mins until all the grains of rice have separated. Push the rice and vegetables to the side, then add the remaining vegetable oil to the other. Crack in the egg and scramble briefly before stirring into the veg and chicken mixture.', 'Stir in the sesame oil and oyster sauce to coat, then garnish with the spring onions and sesame seeds.']"
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2020/12/Noodles-with-chilli-oil-eggs-6ec34e9.jpg,Prep:25Cook:50,"['1 tsp vegetable oil ', '2 heads pak choi, each halved through the core ', '2 tsp Chinese black vinegar ', '1 tbsp soy sauce ', '1 tsp sesame oil ', 'pinch of sugar ', '200g cooked noodles (I use straight-to-wok noodles, egg, udon or ramen noodles) ', '2 large eggs ', '4 small shallots, halved and thinly sliced ', '1 head of garlic (about 8-10 cloves) thinly sliced ', '1 x 10cm cinnamon stick ', '4 star anise ', '500ml vegetable oil ', '2 tbsp sesame seeds ', '2 tsp cumin seeds ', '1 tsp Szechuan peppercorns ', '1 thumb-sized piece ginger, peeled, finely chopped ', '30g crushed red chilli flakes ', '2 tbsp soy sauce ', '1 tbsp caster sugar ']","['  kcal 374  ', '  fat 20g  ', '  saturates 3g  ', '  carbs 29g  ', '  sugars 0g  ', '  fibre 5g  ', '  protein 18g  ', '  salt 2g  ']",chinese,"['To make the chilli oil, tip the shallots, garlic, cinnamon stick, star anise and oil into a wide pan (a deep frying pan is good), then bring to a gentle sizzle. Cook for 15-20 mins over a low-medium heat, stirring now and again, until the shallots and garlic are crisp and golden brown. They will burn easily if the heat is too high, so watch the pan.', 'Meanwhile, toast the sesame seeds in a dry pan until golden, then tip into a bowl and set aside. Put the cumin seeds and Szechuan peppercorns in the pan and toast for 1-2 mins until aromatic. Tip into a pestle and mortar or spice grinder, and grind to a powder. Mix with the toasted sesame seeds.', 'Add the ginger, chilli flakes, soy and sugar to the bowl with the toasted, ground spices. When the shallots and garlic are crisp, strain the oil over the bowl using a sieve. Leave the crispy bits of garlic and shallot in the sieve to cool and become even more crisp. Discard the cinnamon and star anise.', 'Stir the cooled shallots and garlic through the spiced oil mixture. Will keep chilled for up to two weeks in an airtight, sterilised jar.', 'When ready to make the noodles, heat the veg oil in a wok. Add the pak choi and stir-fry for a minute with a splash of water and a pinch of salt. Cover with a lid (or a baking tray if you don’t have one). Steam for a minute, then lift the veg from the wok, letting any liquid drip off. Set aside on a plate. Put the vinegar, soy sauce, sesame oil and sugar in the pan along with 2 tsp of the crispy chilli oil. Bring to a bubble, then add the noodles and toss for a few minutes over a high heat until the sauce is clinging to the noodles and they’re soft and slippery. Divide the noodles between two bowls and put the pak choi on top.', 'Wipe out the pan. Add another drizzle of the crispy chilli oil along with about 2 tsp of sediment from the jar. When sizzling, crack in the eggs and fry until crispy around the edge, spooning over the oil as they cook. Slide the fried eggs over the noodles, adding more crispy bits from the jar, if you like.']"
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2020/09/Sticky-Rib-Hot-Pot-663451b.jpg,Prep:10Cook:1hrs10,"['3 tbsp Lee Kum Kee Hoisin Sauce ', '2 tbsp Lee Kum Kee Premium Dark Soy Sauce ', '1tbsp Lee Kum Kee Seasoned Rice Vinegar ', '3 tbsp no-salt chicken stock or water (optional, see tip) ', '500-600g pork ribs, cut into individual ribs ', '2 tbsp cornflour ', '1 tbsp Lee Kum Kee Sesame Wok Oil ', '1 garlic clove, finely sliced ', '1 tbsp grated ginger ', '4 spring onions, cut into lengths, green tops finely sliced to serve ', '1 red pepper, cut into chunks ', '1 small sweet potato, cut into chunks ', '100g mangetout, cut into strips ']","['  kcal 360  ', '  fat 23g  ', '  saturates 8g  ', '  carbs 23g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 17g  ', '  salt 1.4g  ']",chinese,"['Combine the Hoisin Sauce, Premium Dark Soy Sauce, Seasoned Rice Vinegar and chicken stock or water in a bowl, then add the ribs. Leave to marinate for at least 30 mins – you can put the ribs in the fridge overnight, if you like.', 'Heat the oven to 150C/130C fan/gas 3. Drain the ribs well (set aside any marinade) and toss in the cornflour. Heat the Sesame Wok Oil in a wok, then add the ribs, garlic ginger and spring onion and fry until the ribs are golden, being careful not to burn the garlic. Season well. Add the remaining marinade along with 100ml water and bring to a boil. Tip the mixture into a casserole dish, then stir in the red pepper and sweet potato. Cover with a tight-fitting lid. Put a piece of parchment under the lid if it isn’t tight fitting – this will help seal in the steam.', 'Cook in the oven for 50 mins, then stir in the mangetout and cook for 10 mins more. Sprinkle over the remaining spring onion to serve.']"
Herby fish fingers with Chinese-style rice,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/05/herby-fish-fingers-with-rice-440-400.jpg,Prep:10Cook:35,"['100g brown basmati rice', '160g frozen peas', '50g French beans', '3 spring onions, finely chopped', '½ tsp dried chilli flakes', 'good handful coriander, roughly chopped', '2 tsp tamari', 'few drops sesame oil', '1 tbsp cold-pressed rapeseed oil', '2 large eggs', '280g pack skinless cod loins cut into chunky strips (cut into 4 strips per loin)']","['  kcal 487  ', '  fat 14g  ', '  saturates 2g  ', '  carbs 47g  ', '  sugars 7g  ', '  fibre 7g  ', '  protein 40g  ', '  salt 1.14g  ']",chinese,"['Cook the rice in a pan of water for 25 mins, adding the peas and beans for the last 6 mins. Drain, then return to the pan and stir in the spring onions, chilli flakes, all but 1 tbsp chopped coriander, the tamari and sesame oil. Cover.', 'Meanwhile, heat a large non-stick pan with the rapeseed oil Beat the eggs with the remaining 1 tbsp coriander. Cut the fish into chunky strips, then coat them in the egg and fry in the oil for a couple of mins each side until golden. Remove the fish from the pan and tip in the rice with any remaining egg and stir. Serve in bowls, topped with the fish.']"
Pineapple fried rice,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/pineapple-fried-rice.jpg,Prep:10Cook:10,"['1½ tbsp sunflower or vegetable oil', '2 eggs, beaten', '2 garlic cloves, crushed', 'small bunch of spring onions, chopped', '1/2 tsp Chinese five-spice powder', '400g cooked long-grain rice', '85g frozen peas', '2 tsp sesame oil', '2 tbsp low-salt soy sauce', '400g fresh pineapple, roughly chopped into chunks (about 1/2 medium pineapple)']","['  kcal 301  ', '  fat 9g  ', '  saturates 2g  ', '  carbs 44g  ', '  sugars 13g  ', '  fibre 4g  ', '  protein 9g  ', '  salt 0.8g  ']",chinese,"['1 Heat 1 tbsp oil in a wok. Add the eggs, swirling them up the sides, to make a thin omelette. Once cooked through, roll the omelette onto a chopping board and cut into ribbons.\xa0', 'Heat the remaining oil. Add the garlic, onions and five-spice. Stir-fry until sizzling, then add the rice (if using pouches, squeeze them first, to separate the grains), peas, sesame oil and soy. Cook over a high heat until the rice is hot, then stir through the pineapple and omelette ribbons.']"
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/_beef-with-mangetout-cashews.jpg,Prep:10Cook:5,"['50g unsalted cashew nuts', '1 tsp cornflour', '1½ tbsp low-salt soy sauce', '4 tbsp oyster sauce', '1 tbsp rice vinegar', '1 tbsp honey', '1 tbsp sunflower or vegetable oil', '280g rump steak, thinly sliced', 'thumb-sized piece of ginger, peeled and cut into matchsticks']","['  kcal 464  ', '  fat 16g  ', '  saturates 4g  ', '  carbs 54g  ', '  sugars 7g  ', '  fibre 3g  ', '  protein 24g  ', '  salt 2.2g  ']",chinese,"['Toast the cashews in a dry wok or frying pan, tossing, until browned. Tip onto a plate and set aside. Mix the cornflour with the soy sauce to make a paste, then add the oyster sauce, vinegar and honey. When you’re ready to cook, have all the ingredients prepared and close to hand – it will only take 5 mins.', 'Heat the wok until very hot. Add the oil, swirl it around to cover the base of the pan, then use tongs to place the steak pieces in the wok in a single layer. Cook without turning for 30 seconds-1 min, until a dark crust starts to form on the meat. Add the ginger and garlic, give everything a quick stir, then add the mangetout and the sauce. Cook for another 30 secs-1 min until the beef is just cooked through and the sauce is thick and glossy. Sprinkle over the cashews and serve with rice or noodles.']"
Salt & pepper tofu,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/salt-pepper-tofu.jpg,Prep:15Cook:20pluspressing,"['396g pack firm tofu', '2 tbsp cornflour', '1 tsp Sichuan or black peppercorns (or a mixture of the two), ground to a powder', '2 tbsp sunflower or vegetable oil', '2 red peppers, sliced', '¼ broccoli head, cut into very small florets', '100g beansprouts', '2 tsp low-salt soy sauce', 'sesame oil, for drizzling', 'handful of coriander, leaves picked']","['  kcal 254  ', '  fat 13g  ', '  saturates 2g  ', '  carbs 14g  ', '  sugars 5g  ', '  fibre 6g  ', '  protein 16g  ', '  salt 1.5g  ']",chinese,"['Drain the tofu, wrap loosely in kitchen paper and put on a plate. Rest a chopping board on top. If you’re using a light chopping board, weigh it down with a couple of cans – a heavier chopping board will be sufficient on its own. Leave for 10-20 mins until the cloth feels wet from the excess liquid. Pressing the tofu like this helps to give it a firmer texture once cooked.', 'Cut the tofu in half down the centre like a book. Cut each piece into four triangles, as you would a piece of toast, then in half again to give you 16 pieces in total. Mix the cornflour, ground pepper and 1 tsp flaky sea salt on a plate. Gently turn each piece of tofu in the cornflour mix to coat.', 'Heat 1 tbsp oil in a wok. Stir-fry the peppers and broccoli for a few minutes, to soften a little. Add the beansprouts and soy sauce. Cook for another 1-2 mins, making sure the veg still has a nice crunch. Drizzle with a little sesame oil.', 'Heat the remaining sunflower oil in a large non-stick frying pan and fry the coated tofu for 5 mins on each side until crisp. Serve on top of the vegetables, scattered with the coriander.']"
