name,image,time,ingredient,nutrition,categoty,methode
Pain au chocolat tear-and-share loaf,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Pain-au-chocolat-tear-and-share-f601b77.jpg,Prep:10Cook:30pluscooling,"['275g pack Jus-Rol™ Pains Au Chocolat Dough ', '6 tsp raspberry jam, marmalade or raisins ', '25g dark chocolate, chopped ', 'icing sugar and raspberries to serve ']","['  kcal 215  ', '  fat 11g  ', '  saturates 6g  ', '  carbs 25g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 4g  ', '  salt 0.8g  ']",french,"['Line a loaf tin (approx 900g volume) with a strip of baking parchment overhanging the sides. Heat the oven to 200C/180C fan/gas 6.', 'Open the Jus-Rol™ Pains Au Chocolat Dough pack, twisting the can to remove the dough. Unravel on a work surface and separate each perforated piece, then cut each piece in half down the middle to get 12 squares. Add a chocolate strip to each of the squares, and add ½ tsp of jam, marmalade or a few raisins to each (or leave plain if you prefer) and wrap them up in the dough, like a sausage roll.', 'Place the chocolate rolls into the tin on their ends so the chocolate is exposed at the top, and put the rolls evenly spaced apart so there’s lots of room to expand. Bake for 25-30 mins until golden brown and well risen.', 'Melt the chocolate in a bowl over a pan of simmering water until melted, or melt in short blasts in the microwave. Leave the pastries for 10 mins in the tin, then use the parchment to remove from the tin. Transfer to a serving plate. Drizzle over the melted chocolate and sprinkle with a little icing sugar, if you like. Serve warm or at room temperature with raspberries, or simply on its own with a mug of hot chocolate. Best eaten the same day.']"
Beignets,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Beignet-722b321.jpg,Prep:20Cook:20plusovernightchilling,"['4g fast-action dried yeast ', '250g strong white bread flour, plus extra for dusting ', '25g caster sugar ', '125g evaporated milk ', '1 medium egg ', '25g unsalted butter, melted ', '1.5l rapeseed or vegetable oil, for the bowl and deep-frying ', 'icing sugar, for dusting ']","['  kcal 120  ', '  fat 7g  ', '  saturates 2g  ', '  carbs 11g  ', '  sugars 0g  ', '  fibre 0.4g  ', '  protein 2g  ', '  salt 0.3g  ']",french,"['Mix together\xa0the yeast, flour, sugar and 1 tsp sea salt in the bowl of a stand mixer. Whisk together the evaporated milk and egg and tip into the bowl with the melted butter and 60ml just-boiled water. Knead on a medium speed for 2 mins in the stand mixer, or for 5 mins on a lightly floured work surface, until smooth. Shape the dough into a ball and put in a large, lightly oiled bowl. Cover with a damp tea towel and chill for 8-24 hrs.', 'Roll out the dough on a lightly floured work surface into a roughly 20 x 25cm rectangle about 1cm thick. Cut into 20 x 5cm squares.', 'Pour the oil into a deep stock pot or saucepan, so it is no deeper than one-third full. Or, use a deep-fat fryer. Heat the oil to 175C. Line a baking tray with kitchen paper. Fry the beignets in batches for 3 mins, turning occasionally with tongs, until puffed up and golden brown. Lift the beignets onto the paper to drain, then move to a wire rack, dust generously with icing sugar and serve warm.']"
Allotment salad,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/04/allotment-salad.jpg,Prep:20Cook:1hrs,"['8 asparagus spears, halved', '250g green beans, halved', '250g long-stem broccoli, chopped into 2cm lengths', '200g peas, fresh or frozen', '8 radishes, sliced', '1 pointed cabbage, shredded', '4 spring onions, sliced', 'handful of mint leaves, chopped', '4 tbsp olive oil', '1 tbsp Dijon mustard', '1 lemon, juiced']","['  kcal 122  ', '  fat 7g  ', '  saturates 1g  ', '  carbs 7g  ', '  sugars 4g  ', '  fibre 6g  ', '  protein 4g  ', '  salt 0.2g  ']",french,"['To make the dressing, combine all the ingredients in a bowl and season well.', 'Bring a pan of salted water to the boil and fill a bowl with iced water. Cook the asparagus for 2 mins, then transfer to the iced water with a slotted spoon. Cook the beans for 4 mins and repeat, then do the same with the broccoli (cook for 2½ mins) and peas (cook for 1 min). Drain and pat dry with kitchen paper.', 'Tip into a bowl with the radishes, cabbage, spring onions and mint. Serve the dressing on the side.']"
Mocha madeleines,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/01/mocha-madeleine.jpg,Prep:20Cook:10pluscoolingand1hrchilling,"['100g butter, plus extra for the tin', '85g plain flour', '15g cocoa powder', '2 eggs, separated', '2 tsp honey', '1 ½ tbsp coffee granules', '80g caster sugar', '15g demerara sugar', '25g white chocolate']","['  kcal 152  ', '  fat 9g  ', '  saturates 5g  ', '  carbs 16g  ', '  sugars 10g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.2g  ']",french,"['Heat oven to 200C/180C fan/gas 6 and butter a 12-hole madeleine tin or a 24-hole mini madeleine tin. In a small pan, heat the butter over\xa0a medium heat until frothy and golden with a nutty aroma. Leave to cool.', 'Sieve the flour and cocoa into a large bowl, then stir in the egg yolks, honey, coffee, melted butter and both sugars. Whisk the egg whites until stiff peaks form, then fold into the cocoa mix.', 'Spoon the mixture into the tin, half-filling each of the madeleine holes. Chill in the fridge for 1 hr.', 'Bake for 7 mins if using a 24-hole mini madeleine tin, or for 10-12 mins if using a 12-hole tin. Remove from the oven and leave to cool.', 'Melt the white chocolate in the microwave in short bursts, then drizzle over the madeleines.']"
Steak haché with pommes frites & cheat’s Béarnaise sauce,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2016/06/steak-hache.jpg,Prep:35Cook:45pluscoolingandchilling,"['1 tbsp vegetable oil', '4 shallots, very finely chopped', '600g freshly ground beef (ask the butcher for something with roughly 15% fat - we used chuck)', '8 thyme sprigs, leaves picked and chopped', '2 tsp Dijon mustard', '2 tbsp plain flour', '200ml crème fraîche', '1 egg yolk', '6 tarragon sprigs, leaves picked and finely chopped', 'dressed green salad, to serve', '4 large baking potatoes (such as Maris Piper or Russet), peeled', '2 tbsp vegetable oil']","['  kcal 816  ', '  fat 55g  ', '  saturates 25g  ', '  carbs 42g  ', '  sugars 3g  ', '  fibre 4g  ', '  protein 36g  ', '  salt 1.9g  ']",french,"['Heat the oil in a pan and add about 3 /4 of the shallots. Cook for 5-10 mins, stirring occasionally, until soft and starting to caramelise in places. Set aside to cool.', 'In a large bowl, combine the beef, thyme, 1 tsp Dijon and the cooled shallots. Season with black pepper but not salt at this stage (this can cause the meat to dry out). Shape into four patties and dust with flour. Put on a plate, cover with cling film and chill for at least 30 mins (or up to 2 hrs).', 'Meanwhile, prepare the frites. Slice the potatoes into skinny chips, tipping into a large bowl of cold water as you go. Drain, then transfer to a large pan and cover with fresh water, seasoning with salt. Bring to a fast simmer, boil for 1 min, then drain well. Tip the chips onto a clean tea towel or some kitchen paper, spread in a single layer so they dry and cool quickly. Heat oven to 200C/180C fan/gas 6.', 'Tip the chips into a bowl with the vegetable oil and 1 tsp salt. Toss to coat, then spread out over two large baking trays. Cook for 45 mins or until crisp and golden.', 'When the chips are about 15 mins from being cooked, heat a large frying pan with a drizzle of oil. Season the patties with salt on both sides and cook for 3-4 mins each side, or until they have a dark brown crust but are still slightly pink inside (or cook them for a little longer if you’d prefer them well done). Transfer to a plate, cover with foil and set aside to keep warm while you make the sauce.', 'Return the pan to the heat and tip in the remaining shallots. Fry for 1-2 mins to soften, then remove the pan from the heat and stir in the crème fraîche, remaining Dijon, the egg yolk and tarragon, as well as any resting juices from the beef patties. Season well. Serve the steak with the pommes frites and a green salad, with the Béarnaise sauce on the side.']"
Lighter Cassoulet,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/lighter-cassoulet.jpg,Prep:30Cook:4hrs30plusovernightsoaking,"['500g dried haricot beans', '7 garlic cloves', '5 thyme sprigs', '3 rosemary sprigs', '200g smoked gammon steak, rind and fat removed', '1 bay leaf', '1 tbsp rapeseed oil', '1 medium onion, chopped', '1 large carrot (200g total weight), chopped into 1cm pieces', '2 tsp butter', '500g pork shoulder, diced into 4-5cm pieces, any excess fat trimmed', '125ml white wine', '230g can plum tomatoes', '3 Toulouse sausages', '25g panko or coarse dried breadcrumbs', '1 garlic clove, finely chopped', '1 tsp finely grated lemon zest', '2 tsp rapeseed oil']","['  kcal 500  ', '  fat 15.9g  ', '  saturates 5.2g  ', '  carbs 38.4g  ', '  sugars 7.2g  ', '  fibre 16.1g  ', '  protein 39.7g  ', '  salt 1.3g  ']",french,"['Put the beans in a very large bowl. Pour over 3 times their volume of water so they are well covered, as they will soak up a lot. Cover with cling film and leave to soak overnight.', 'Tip the beans into a large colander to drain, discarding the water. Put them in a large, deep saucepan and cover with fresh cold water (about 2 litres), so it is about 3cm above the beans. Add 3 of the garlic cloves, 2 thyme sprigs and 1 rosemary sprig. Bring to the boil, half cover the pan with its lid and keep on a very gentle simmer for 1 ½ hrs, checking the water level occasionally. Cut the gammon into lardon-sized pieces. Put the lardons in with the beans, checking there is still enough water to cover everything. Simmer for a further 30 mins.', 'Wrap the remaining thyme and rosemary sprigs in the bay leaf and tie with string to make a bouquet garni. Heat the oil in a large, deep ovenproof sauté pan or flameproof casserole dish. Put the onion and carrot in the pan and fry gently on a medium heat for 5 mins, stirring occasionally. Finely chop the remaining 4 garlic cloves. Melt the butter in the pan, add the garlic and fry for 2 mins. Increase the heat, add the pork shoulder and fry for 2-3 mins until it is no longer pink. Pour in the wine and let it bubble for 1 min until slightly reduced. Stir in the tomatoes, tuck in the bouquet garni and simmer for 3 mins until saucy. Season well with pepper and 2 pinches of salt. Remove and set aside.', 'Heat oven to 180C/160C fan/gas 4. Drain the beans in a large colander set over a large bowl so you can reserve the cooking liquid (you should have about 850ml). Remove and discard the herb stems. Squash the softened garlic cloves with a spoon, then stir through the beans and lardons. Tip this mixture into the pan with the pork shoulder, then pour in 600ml of the reserved cooking liquid. Simmer gently, uncovered, for 30 mins until you have a moist, soupy consistency.', 'Meanwhile, lay the sausages on a small non-stick baking tray and roast for 20 mins, turning halfway through, until brown. Remove, cut into 1cm-thick diagonal slices and lower the oven to 160C/140C fan/gas 3.', 'Tuck the sausage slices into the beans, transfer the cassoulet to the oven and bake for 11/2 hrs, uncovered. Meanwhile, mix together the panko crumbs, garlic, lemon zest, oil and some pepper. By now the meat should be almost tender and the cassoulet moist and juicy, not dry. (If necessary, pour in some of the reserved cooking liquid.) Scatter the crumb mix over and return to the oven for 20-25 mins until the topping is golden.']"
"One-pot pork with orange, olives & bay",https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/recipe-image-legacy-id--1252464_8.jpg,Prep:35Cook:2hrs40,"['85g sundried tomato in oil, roughly chopped, plus 2-3 tbsp oil from the jar', '1kg pork shoulder, cut into chunky cubes', '2 tbsp plain flour, seasoned', '400g shallot (see tip, below)', '1 onion, thinly sliced', '3 bay leaf', 'few thyme sprigs', '5 garlic clove, thinly sliced', '400ml red wine', 'strip of zest and juice from 1 orange', '350ml chicken stock', '400g can chopped plum tomato', '800g large new potato, peeled & halved or cut into fat slices, depending on size', '70g pack dry black olive']","['  kcal 670  ', '  fat 36g  ', '  saturates 11g  ', '  carbs 35g  ', '  sugars 9g  ', '  fibre 7g  ', '  protein 37g  ', '  salt 1.2g  ']",french,"['Heat 1 tbsp of the sundried tomato oil in a large, flameproof casserole dish. Toss the pork in the flour, tap off any excess, then brown it in 2 batches, transferring to a large bowl once golden and crusted. Use a splash more oil for the second batch if needed.', 'Tip 1 tbsp oil, shallots, onion, bay leaves and thyme into the pan and fry for 5 mins until golden here and there. Stir in the garlic and sundried tomatoes, cook for 1 min more, then tip onto the pork.', 'Splash the wine and orange juice into the dish, add the orange zest and boil hard for 5 mins. Add the meat and onions back in.', 'When ready to cook, heat oven to 160C/140C fan/gas 3. Stir the stock, canned tomatoes, potatoes and olives into the casserole, then bring to a simmer. Prod the potatoes as far under the surface of the liquid as you can. Cover, leaving a slight gap to one side, then cook in the oven for 2½ hrs, or until the meat is tender enough to cut with a spoon. Spoon away any excess fat and let the stew rest for a few mins before ladling into shallow bowls.']"
Raymond Blanc’s cassoulet,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/recipe-image-legacy-id--848_11.jpg,"Takesabout5hours,inctimeintheoven","['140g pork rind', '140g smoked streaky bacon', '300g garlic sausage', '600g dried haricot bean, soaked overnight in 3 times their volume of water', '1 celery stick', '1 small onion, preferably a white skinned mild one', '1 large carrot', '6 garlic clove', '2 ripe plum tomato', '25g goose fat or 2 tbsp olive oil', '1 bouquet garni', '8 pinches of sea salt', '2 pinches of freshly ground black pepper', '1 clove, lightly crushed', '2 tsp lemon juice', '4 confit duck legs', '60g goose fat or 2 tbsp olive oil', '40g dried breadcrumb', '1 garlic clove, finely chopped', 'a handful of fresh flatleaf parsley, coarsely chopped']","['  kcal 0  ', '  fat 0g  ', '  saturates 0g  ', '  carbs 0g  ', '  sugars 0g  ', '  fibre 0g  ', '  protein 0g  ', '  salt 0g  ']",french,"['To cut the meats, roll up the pork rind like a Swiss roll. With the seam underneath, use a very sharp knife to cut the roll across into thin slices, then chop the rolled-up slices across into dice. Chop the bacon into small cubes (lardons). Cut the garlic sausage into 1cm thick slices.', 'Drain the soaked beans and discard the soaking water. Tip the beans into a large saucepan, add the diced pork rind and lardons and cover with fresh cold water. Bring to the boil and blanch for 15-20 minutes. Drain the beans, rind and lardons into a colander, and discard the cooking water.', 'Roughly chop the celery, onion and carrot. Peel the garlic cloves but leave them whole. Cut each tomato into eight wedges. (You never see tomatoes in a traditional cassoulet, but chef Raymond Blanc likes them for their colour and sweetness, so he puts a couple in.) Preheat the oven to 120C/fan 100C. (If cooking in a gas oven, use mark 2.)', 'Heat the goose fat or olive oil in a 26cm flameproof casserole or deep overproof sauté pan over a low heat and sweat the celery, onion, carrot and garlic for 5 minutes. Add the tomatoes and bouquet garni and cook slowly to get a sugary caramelisation (about 5 minutes). Add the sausage, beans, pork rind and lardons and pour in 1.2 litres/2 pints water. Bring to the boil, skim off the scum, then add the salt, pepper, clove and lemon juice.', 'Transfer the casserole to the oven and cook, uncovered, for 2 hours, stirring every hour. At the end of this time, the beans will be soft and creamy in texture and the juices should have thickened. You may need to cook it for longer than 2 hours (say up to 2½ hours) to get to this stage – it depends', 'Remove the cassoulet from the oven. Bury the duck legs in the beans and sprinkle over the goose fat or olive oil, breadcrumbs and garlic. Return to the oven and cook for a further 2 hours. Serve the cassoulet in bowls, sprinkled with chopped parsley.']"
Blood orange & dark chocolate madeleines,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2016/01/blood-orange-madeleines.jpg,Prep:50Cook:30plusovernightchilling,"['100g unsalted butter, plus extra for greasing', '2 large eggs', '100g golden caster sugar', 'zest 2 blood oranges plus juice of ½ (about 2 tbsp)', '100g plain flour, plus extra for dusting', '1 tsp baking powder', '140g dark chocolate (60-70% cocoa solids), finely chopped', 'blood orange dust (optional - see below)']","['  kcal 122  ', '  fat 7g  ', '  saturates 4g  ', '  carbs 12g  ', '  sugars 8g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.1g  ']",french,"['Put the butter in a small saucepan over a medium heat until it foams and turns a nutty brown colour – watch the pan carefully, as butter can burn quickly. Pour into a bowl and set aside to cool.', 'Beat the eggs, sugar and zest in a large bowl with an electric hand whisk for about 5 mins until thick and pale. Add the juice and mix to combine. Mix the flour and baking powder together, then sift over the batter mixture, a third at a time, and fold in.', 'Add a large spoonful of the batter to the butter, mixing together until smooth and combined. Pour this into the batter and gently fold together until fully combined. Press a sheet of cling film onto the surface of the mixture and chill overnight.', 'About 30 mins before you want to bake the madeleines, grease a 12-hole madeleine tin with a little extra butter and dust with a little flour. Heat oven to 200C/180C fan/gas 6 and put the tin in the freezer to chill for 30 mins. Remove the batter from the fridge and add about 1 heaped tbsp to each madeleine hole – be careful not to overfill as they will bake over the edge\xa0and won’t form the characteristic hump. Depending on the size of your tin, you will have some batter left – either bake in batches or put the rest back in the fridge and bake within three days.', 'Bake in the oven for 10-12 mins or until golden brown around the edges. Immediately turn out the madeleines onto a wire rack and leave to cool fully. Put the chocolate in a microwaveable bowl and heat in the microwave on High in 30 sec bursts until about three-quarters of the chocolate has melted. Remove from the microwave and stir vigorously until the remaining chocolate has melted (this is a simple method of tempering and just ensures the chocolate will set properly at room temperature). Dip each madeleine halfway into the melted chocolate, allowing the excess to drip off, then place on a sheet of baking parchment. As the chocolate starts to set, but while still a little tacky, sprinkle with some of the Blood orange dust (below), if using, and allow to cool.']"
Sautéed potatoes with bacon lardons & persillade,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/sauteed-potatoes-with-bacon-lardons-persillade.jpg,Prep:5Cook:25,"['1kg potatoes, cut into 2cm/¾ in pieces', '2 tbsp rapeseed oil', '300g smoked bacon lardons', '25g unsalted butter', 'small pack flat-leaf parsley, chopped', '2 tsp chopped chervil', '1 tarragon sprig, leaves chopped', '1 banana shallot, finely chopped', '2 garlic cloves, crushed']","['  kcal 321  ', '  fat 17g  ', '  saturates 6g  ', '  carbs 28g  ', '  sugars 1g  ', '  fibre 4g  ', '  protein 13g  ', '  salt 1.4g  ']",french,"['In a large saucepan on a high heat, simmer the potatoes for 5 mins in enough water to just cover them, then drain in a colander and leave for 1 min for the steam to escape.', 'In a small bowl, mix all the ingredients for the persillade together and set aside. Heat the oil in a large frying pan on a high heat, add the lardons and cook for 8-10 mins until lightly caramelised. Add the potatoes, then the butter.', 'Season with salt and freshly ground black pepper and cook for 10 mins, stirring regularly, until golden brown all over. Spoon out any excess fat and stir in the persillade. Taste and adjust the seasoning if necessary.']"
