name,image,time,ingredient,nutrition,categoty,methode
Easy pesto,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/perfect-pesto-feb1d6d.jpg,Prep:15Cook:5,"['50g pine nuts or cashews ', 'large bunch of basil, leaves picked ', '50g parmesan or vegetarian alternative ', '1 garlic clove, chopped ', '100ml olive oil ']","['  kcal 188  ', '  fat 19g  ', '  saturates 3g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0.2g  ', '  protein 4g  ', '  salt 1g  ']",italian,"['Toast the nuts in a pan over a low heat. Tip into a mini chopper with the remaining ingredients, or use a large pestle and mortar, then blitz or pound into a rough sauce. Will keep for three days in the fridge.']"
"Baked eggs with spinach, tomatoes, ricotta & basil",https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Baked-Eggs-With-Spinach-a69993c.jpg,Prep:10Cook:30,"['2 tbsp olive oil ', '1 onion, finely chopped ', '1 garlic clove, crushed ', 'pinch of chilli flakes ', '3 x 400g cans finely chopped tomatoes (or blitz regular canned chopped tomatoes using a food processor or hand blender) ', '3 tbsp sundried tomato pesto (ensure vegetarian, if needed) ', '200g spinach, roughly chopped ', '8 eggs ', '100g ricotta ', '40g parmesan or vegetarian alternative, finely grated ', 'handful of basil leaves ', 'crusty bread or focaccia, to serve ']","['  kcal 271  ', '  fat 17g  ', '  saturates 5g  ', '  carbs 11g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 17g  ', '  salt 0.7g  ']",italian,"['Heat the oil in a large, shallow, flameproof casserole or frying pan over a low-medium heat and fry the onion with a pinch of salt for 10 mins until soft and translucent. Add the garlic and chilli flakes, and fry for 1 min more. Tip in the tomatoes, 1 tsp sugar and pesto. Season and simmer, uncovered, for 10 mins, stirring often. Tip in the spinach and cook for another 5 mins until wilted.', 'Heat the grill to high. Make eight gaps in the sauce with the back of a spoon and crack an egg into each. Dot over the ricotta and scatter with the parmesan. Cover and cook for 5 mins, then slide under the hot grill for a few minutes until the egg whites are set and the yolks runny. Scatter with the basil and serve with crusty bread for dunking.']"
Red pepper & anchovy spaghetti,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Red_Pepper_Anchovy_Spaghetti-f46a58b.jpg,Prep:2Cook:9,"['300g spaghetti ', '3 tbsp olive oil, plus extra for drizzling ', '4 garlic cloves, sliced ', '4 anchovies ', '1 tsp chilli flakes ', '300g jar roasted red peppers, drained and sliced ', '1 tbsp tomato purée ', 'handful of basil, finely sliced ']","['  kcal 787  ', '  fat 22g  ', '  saturates 3g  ', '  carbs 119g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 24g  ', '  salt 1.8g  ']",italian,"['Bring a large pan of salted water to the boil, then stir in the spaghetti. Cook for 1 min less than the pack instructions. Tip the oil, garlic, anchovies and chilli flakes into another saucepan or a high-sided frying pan set over a medium heat. Cook for about 1 min, until the oil is hot and the garlic has started to sizzle slightly.', 'Add the roasted peppers and tomato purée. Stir well. Continue to cook the anchovy and pepper mixture until the spaghetti is ready, adding a ladleful of the pasta cooking water as it cooks to loosen it and make a sauce.', 'When the spaghetti is ready, use tongs to transfer it directly from its cooking water to the sauce, adding a little more of the water to loosen if needed. Cook the spaghetti in the sauce for 30 seconds, tossing to coat, then remove from the heat and toss through the basil. Serve straightaway, drizzled with a little olive oil.']"
‘Meat’ball pasta bake,https://images.immediate.co.uk/production/volatile/sites/30/2021/10/Tesco-vegan-meatballs-2-556a52b.jpg,Prep:15Cook:50,"['3 tbsp olive oil ', '12 Tesco Plant Chef Meat-Free Balls ', '1 onion, finely chopped ', '2 garlic cloves, crushed ', 'pinch of chilli flakes ', '1 tbsp tomato purée ', '2 tsp dried oregano ', '1 tbsp balsamic vinegar ', '500ml passata ', '1 tsp sugar ', 'small bunch of basil, leaves picked and torn, stalks finely chopped ', '350g pasta shapes of your choice ', '100g sourdough, blitzed to fine crumbs in a food processor ', '20g black olives, pitted and halved (optional) ', 'green salad, to serve ']","['  kcal 419  ', '  fat 11g  ', '  saturates 3g  ', '  carbs 60g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 16g  ', '  salt 1.26g  ']",italian,"['Heat 1 tbsp olive oil in a deep frying pan over a medium heat and fry the Tesco Plant Chef Meat-Free Balls for 10 mins until golden and crisp, turning often. Remove to a plate using a slotted spoon.', 'Heat another 1 tbsp oil in the same pan and fry the onion for 6-8 mins until soft and translucent. Stir in half the garlic and the chilli flakes and fry for 2 mins more, then stir in the tomato purée and half the dried oregano. Cook for another minute until the purée darkens slightly, then add the vinegar, passata, sugar, basil stalks and some of the basil leaves. Pour in 200ml water and simmer, uncovered, for 15-20 mins until the sauce has thickened slightly.', 'Meanwhile, cook the pasta in a pan of boiling salted water for 6-8 mins until just becoming tender, but still undercooked in the middle. Drain. Mix the sourdough breadcrumbs and the remaining garlic, oregano and oil together in a bowl and season. Heat the oven to 220C/200C fan/gas 7.', 'Tip the cooked pasta, the ‘meat’balls and olives (if using) into the pan with the sauce and gently stir to combine. Tip everything into a lasagne dish, then scatter over the garlic breadcrumbs and bake for 15-20 mins until the topping is golden and crisp and the pasta is al dente. Scatter with the remaining basil leaves and serve with a green salad on the side.']"
Meatball minestrone with pesto,https://images.immediate.co.uk/production/volatile/sites/30/2020/09/Meatball-minestrone-with-pesto-9c9b690.jpg,Prep:5Cook:20,"['1 tbsp olive oil ', '12 beef meatballs ', '1 carrot, chopped ', '1 celery stick, chopped ', '1 onion, chopped ', '1 garlic clove, chopped ', '1 garlic clove, crushed ', '1/2 tsp dried oregano ', '1 bay leaf ', '400g can chopped tomatoes ', '400g can cannellini beans, rinsed and drained ', '100g pasta shapes or rice ', '800ml low-salt vegetable or chicken stock ', 'dash of vinegar or pinch of sugar (optional) ', '4 tbsp pesto ', '1/2 small bunch of basil, leaves picked (optional) ']","['  kcal 450  ', '  fat 19g  ', '  saturates 5g  ', '  carbs 38g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 28g  ', '  salt 1.2g  ']",italian,"['Heat the oil in a large saucepan and fry the meatballs all over until browned. Remove and set aside on a plate. Add the carrot, celery and onion to the pan, and fry for 10 mins until soft. Stir in the garlic, oregano and bay. Tip in the tomatoes, beans, pasta and stock. Bring to a simmer.', 'Add the meatballs back to the pan and cook until the pasta is tender and the meatballs are cooked through. Season, and add a dash of vinegar or a pinch of sugar to balance the acidity of the tomatoes, if you like. Ladle into four bowls, then swirl a spoon of pesto into each. Top with the basil to serve.']"
Kale pesto & chicken gnocchi,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Kale-pesto-and-chicken-gnocchi-afc80c2.png,Prep:10Cook:10,"['65g kale, washed and roughly chopped ', '100g spinach ', '1 small garlic clove, roughly chopped ', '1 lemon, zested and juiced ', '½ small bunch of basil, plus extra leaves to serve ', '15g pine nuts ', '1 tbsp parmesan, plus extra to serve ', '25ml olive oil ', '250g cooked chicken breast, shredded ', '200g frozen peas ', '50g light crème fraîche ', '150ml vegetable stock ', '300g gnocchi ']","['  kcal 417  ', '  fat 18g  ', '  saturates 6g  ', '  carbs 31g  ', '  sugars 0g  ', '  fibre 5g  ', '  protein 31g  ', '  salt 1.6g  ']",italian,"['Bring a medium saucepan of water to the boil and set aside a bowl of ice-cold water. Put the kale and spinach in the boiling water and cook for 2-3 mins until softened. Remove with a slotted spoon and lower into the cold water. Drain, then squeeze out the excess water.', 'Tip the greens into a food processor with the garlic, lemon juice and zest, basil, pine nuts, parmesan and olive oil, then blitz until smooth. Season lightly.', 'Tip the pesto into a saucepan with the chicken, peas, crème fraîche and stock, and bring to the boil. Tip in the gnocchi and cook for 3-4 mins until cooked through. Scatter over the extra basil leaves and grate over some parmesan to serve.']"
Malfatti,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Malfatti-87897d2.jpg,Prep:20Cook:15,"['1 tbsp olive oil ', '500g fresh or frozen spinach (see tip, below) ', '250g ricotta ', '50g fresh breadcrumbs ', '50g finely grated parmesan or vegetarian alternative, plus extra to serve ', '2 large eggs, beaten ', '1 tbsp semolina or plain flour, plus extra for dusting ', 'nutmeg, for grating ', '60g butter ', '25g sage leaves ']","['  kcal 395  ', '  fat 30g  ', '  saturates 16g  ', '  carbs 11g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 19g  ', '  salt 1g  ']",italian,"['Heat the oil in a large frying pan over a high heat and wilt the spinach, about 2-3 mins. Tip the spinach into a colander and press out any excess liquid using the back of a spoon. Leave to cool completely. Squeeze out any remaining liquid with your hands, then finely chop the spinach.', 'Tip the chopped spinach into a bowl with the ricotta, breadcrumbs and parmesan. Add the egg and semolina or flour. Season and grate over some nutmeg. Stir to form an evenly combined, sticky mixture.', 'Put a couple tablespoons of flour on a large tray and shake gently to spread the flour out. Spoon around ½ tbsp of the spinach mixture onto the floured tray and roll into a ball. Repeat with the rest of the spinach mixture, transferring the balls to a second clean baking tray as you go.', 'Heat the oven to 140C/120C fan/gas 1. Bring a large pan of salted water to the boil. Drop in the malfatti (you may need to do this in batches) and simmer for 2 mins, or until they float to the surface. Scoop the malfatti out with a slotted spoon and drain well. Transfer to an ovenproof serving dish and keep warm in the oven.', 'Make the sage butter by melting the butter in a small pan. Add the sage leaves and fry gently, stirring often until crisp. Pour the sage butter over the malfatti and top with more grated cheese.']"
Orecchiette with purple sprouting broccoli & Calabrian pesto,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Orecchiette-with-purple-sprouting-broccoli-and-Calabrian-pesto-be72983.jpg,Prep:20Cook:35,"['400g purple sprouting broccoli ', '5 tbsp extra virgin olive oil ', '375g orecchiette or other pasta shapes ', 'grated parmesan or pecorino (or vegetarian alternative), to serve ', '3 tbsp extra virgin olive oil ', '½ small red onion, chopped ', '1 plum tomato, chopped ', '75g aubergine, cut into small chunks ', '125g roasted peppers from a jar, drained ', '1 garlic clove, chopped ', '1 red chilli, halved, deseeded and chopped (leave the seeds in if you want a more fiery pesto) ', '40g blanched almonds, lightly toasted in a dry pan ', '60g ricotta ', '10g basil or parsley leaves ']","['  kcal 463  ', '  fat 21g  ', '  saturates 3g  ', '  carbs 50g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 14g  ', '  salt 0.1g  ']",italian,"['First, make the base of the pesto. Heat 1 tbsp of the olive oil in a frying pan and add the onion, tomato and aubergine. Fry over a medium-low heat for 8-10 mins until the onion is pale gold and the tomatoes and aubergine are soft. Add the peppers and cook for a couple of minutes, then add the garlic and chilli, and cook for another 2 mins. Transfer to a plate and leave to cool.', 'Heat the oven to 190C/170C fan/gas 5. Trim the broccoli at the base, then halve any large pieces lengthways. Put in a roasting tin, drizzle with the olive oil and season. Add the garlic and turn everything using your hands – make sure the garlic is under the broccoli so it will toast without burning. Cook in the oven for 15-20 mins (check on it during cooking for doneness).', 'Meanwhile, cook the pasta in boiling salted water until al dente. It usually takes a little less time than it says on the packet.', 'For the pesto, tip everything on the plate into a food processor along with the almonds and the remaining 2 tbsp extra virgin olive oil. Season and pulse to blend everything together. Stir in the ricotta and taste for seasoning. Tear the basil and stir that in too.', 'Drain the pasta and toss it with the broccoli (including the garlicky juices from the roasting tin) then use as much of the pesto as it takes to coat the pasta and serve the rest on the side. Grind over some black pepper and serve immediately with the grated cheese.']"
Cacio e pepe,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Cacio-e-Pepe-e44b9f8.jpg,Prep:5Cook:10,"['200g bucatini or spaghetti ', '25g butter ', '2 tsp whole black peppercorns, ground, or 1 tsp freshly ground black pepper ', '50g pecorino or parmesan, finely grated ']","['  kcal 565  ', '  fat 19g  ', '  saturates 12g  ', '  carbs 75g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 21g  ', '  salt 0.66g  ']",italian,"['Cook the pasta for 2 mins less than pack instructions state, in salted boiling water. Meanwhile, melt the butter in a medium frying pan over a low heat, then add the ground black pepper and toast for a few minutes.', 'Drain the pasta, keeping 200ml of the pasta water. Tip the pasta and 100ml of the pasta water into the pan with the butter and pepper. Toss briefly, then scatter over the parmesan evenly, but don’t stir – wait for the cheese to melt for 30 seconds, then once melted, toss everything well, and stir together. This prevents the cheese from clumping or going stringy and makes a smooth, shiny sauce. Add a splash more pasta water if you need to, to loosen the sauce and coat the pasta. Serve immediately with a good grating of black pepper.']"
Easy biscotti,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Easy-Biscotti-30e5b28.jpg,Prep:20Cook:50pluscooling,"['300g plain flour ', '100g caster sugar ', '50g light brown soft sugar ', '1½ tsp baking powder ', '80g vegetable oil ', '1 large egg ', '2 tsp vanilla extract ', 'milk or dark chocolate , melted, to decorate (optional) ']","['  kcal 127  ', '  fat 5g  ', '  saturates 0g  ', '  carbs 19g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.15g  ']",italian,"['Heat the oven to 180C/160C fan/gas 4, and line a baking tray with baking parchment. Put the flour, sugars, baking powder and a large pinch of salt in a large bowl and stir together.', 'In a separate bowl, whisk together the oil, egg, vanilla and 3 tbsp hot water. Gradually mix the wet ingredients into the dry until the mixture comes together into a dough. Gently knead the dough until smooth – it will be quite dry, so add another 1 tbsp water if it’s too difficult to knead after a few minutes. Divide the dough into two equal pieces, shaping each into a 25 x 8cm log. Put the logs on the prepared baking tray and bake for 25-30 mins. Remove from the oven and leave to cool on the tray for around 15 mins.', 'Using a sharp knife, cut the slightly cooled logs into 1-2cm-thick slices crosswise. Return the biscotti to the lined baking tray and bake for 15-20 mins more (the oven should still be at 180C/160C fan/gas 4), turning the tray around halfway through. Leave to cool slightly on the tray, then transfer the biscotti to a wire rack and leave to cool completely. If you like, dip one end of each biscotti into some melted chocolate, then leave to set on a baking tray lined with baking parchment. Will keep in an airtight container for up to five days.']"
