name,image,time,ingredient,nutrition,categoty,methode
Perfect sushi rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/05/sushi_rice-223f626.jpg,Prep:15Cook:15plussoaking,"['120ml rice vinegar or brown rice vinegar ', '3tbsp sugar ', '450g Japanese rice (3 Japanese cups) ']","['  kcal 432  ', '  fat 1g  ', '  saturates 0g  ', '  carbs 99g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 6g  ', '  salt 3.7g  ']",japanese,"['To make the rice, first wash it thoroughly in a sieve for 4 mins, gently turning it over by hand until the water runs clear. Drain the rice and put it in a pan with 540ml water.', 'Leave it to stand for a minimum of 30 mins. It can be left overnight, but for best results, leave it for 30 mins-1 hr. Leave the soaking water in the pan with the rice and bring to the boil, put the lid on, reduce the heat and simmer for 8 -9 mins. Turn the heat off and let it stand with the lid on for a further 5 mins. Do not lift the lid.', 'While the rice is cooking, to make the sushi-su, put the rice vinegar, sugar and 1 tbsp salt into a pan and leave on a low heat until the sugar and salt have dissolved. Be careful not to let it boil or the flavour will spoil. Remove from the heat and leave to cool.', 'Put the rice into a wide flat dish such as a sushi oke, a baking dish or a roasting tray. Pour the sushi-su over the rice and fold it carefully into the rice with a wooden spoon as it cools down, being careful not to damage the grains. You can use a fan or a hairdryer on the coolest setting to speed up the cooling process, directing it at the rice. The sushi-su gives the rice more flavour and that familiar sticky glazed look.', 'If you don’t want to use the rice immediately, cover it with a damp cloth so that it doesn’t dry out. Leave in a cool place, but do not refrigerate. The fridge will make the rice hard and dry, and the sushi-su helps to preserve the rice without refrigeration. Will keep for a day.']"
Sushi rice,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/06/sushi-rice.jpg,Prep:2Cook:20plusstanding,"['1 cup sushi rice (about 220g)', 'sushi rice seasoning, to taste (optional)']","['  kcal 251  ', '  fat 0g  ', '  saturates 0g  ', '  carbs 56g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0g  ']",japanese,"['The most important thing to get right when cooking sushi rice is the ratio of rice to water. It’s better to use a volume measure rather than weighing. Use a cook’s 250ml measuring cup if you have one, or a short glass, teacup or small mug. Once you’ve made one batch, you’ll know how much cooked rice that measure makes – it should be about 2½ cups. ', 'Measure out 1 cup rice into a saucepan, rinse the rice, swirling it around the pan, then drain off the water. Try not to lose any of the rice. Add 1½ cups water (about 375ml).', 'Bring the rice to a simmer quickly, put on a tight-fitting lid and reduce the heat to low. Cook for 13 mins – don’t take the lid off.', 'Check a couple of grains at the top – the rice should be just about cooked and the water evaporated. If not, continue to cook and check at 2 min intervals, each brand of rice will differ. Turn the heat off and leave the rice to stand with the lid on for 10 mins so all the moisture is absorbed. Add sushi rice seasoning, if you like, and serve.']"
Vegan katsu curry,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/04/tofyu_katsu_curry.jpg,Prep:25Cook:40,"['2 tbsp rapeseed oil or vegetable oil', '200g cooked rice (we used basmati)', '¼ large cucumber, peeled into ribbons', '1 carrot, peeled into ribbons', 'handful of mint leaves or coriander leaves, or both', 'lime wedges, to serve', '1 tbsp rapeseed oil or vegetable oil', '1 onion, chopped', '1 large carrot, chopped', '1 large garlic clove, crushed', '2cm piece ginger, peeled and grated or finely chopped', '½ tbsp curry powder, mild or medium', '¼ tsp ground turmeric', '200ml coconut milk', '2 tsp maple syrup (or honey if not cooking for vegans)', '1 tbsp cornflour', '280-300g block firm tofu', '200g dried breadcrumbs, we used panko (gluten-free if necessary)']","['  kcal 1124  ', '  fat 48g  ', '  saturates 18g  ', '  carbs 129g  ', '  sugars 18g  ', '  fibre 12g  ', '  protein 37g  ', '  salt 1.9g  ']",japanese,"['First, make the curry sauce. Heat the oil in a pan and cook the onion and carrot until soft and starting to caramelise, about 8 mins. Add the garlic and ginger and sizzle for another minute or so, then stir in the curry powder and turmeric. Once the spices are warmed through, add the coconut milk, maple syrup and 100ml water. Season well, cover and simmer over a low heat for 20 mins, topping up with more water if it gets too thick.', 'Meanwhile, slice the tofu in half through the centre. Carefully cut each piece into four triangles. In a wide bowl, mix the cornflour with 3 tbsp water and some seasoning until combined. Put the breadcrumbs in a second bowl. Dip a tofu piece into the flour mixture, then the breadcrumbs, turning until well coated. If the crumbs are not sticking well make the cornflour mixture a little bit thicker and try again. Press firmly.', 'When the carrot in the curry sauce is soft, blitz using a stick or tabletop blender. If the sauce is too thick, add a little more water. Taste and add more salt, maple syrup or some lime juice, if you like. Keep warm.', 'Heat the oil in a frying pan and cook the tofu for 4-5 mins on each side until golden and hot through. To serve, put the rice in bowls and top with the curry sauce, crispy tofu, the cucumber and carrot ribbons, herbs and lime wedges.']"
Wasabi chicken rice salad,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/01/wasabi-chicken-rice-salad.jpg,Prep:15Nocook,"['70g frozen edamame', '½ tsp wasabi paste', '2 tbsp fat-free natural yogurt', '1 lime, juiced', '1 tbsp sesame oil', '70g cooked rice', '3 radishes, quartered', '1 tsp sesame seeds', '1 cooked boneless, skinless chicken breast, sliced', '¼ sheet dried seaweed, sliced into strips']","['  kcal 568  ', '  fat 22g  ', '  saturates 4g  ', '  carbs 33g  ', '  sugars 9g  ', '  fibre 7g  ', '  protein 55g  ', '  salt 0.4g  ']",japanese,"['Put the edamame in a heatproof bowl and cover with boiling water. Leave for 10 mins, then drain. Mix the wasabi paste with the yogurt, lime juice and sesame oil.\xa0', 'Toss the rice with the edamame and radishes. Top with the sesame seeds, chicken and seaweed, then drizzle over the dressing to serve.']"
Miso mushroom & tofu noodle soup,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/01/_miso-mushroom-tofu-noodle-soup.jpg,Prep:10Cook:15,"['1 tbsp rapeseed oil', '70g mixed mushrooms, sliced', '50g smoked tofu, cut into small cubes', '½ tbsp brown rice miso paste', '50g dried buckwheat or egg noodles', '2 spring onions, shredded']","['  kcal 377  ', '  fat 17g  ', '  saturates 2g  ', '  carbs 38g  ', '  sugars 2g  ', '  fibre 4g  ', '  protein 17g  ', '  salt 1.5g  ']",japanese,"['Heat half the oil in a frying pan over a medium heat. Add the mushrooms and fry for 5-6 mins, or until golden. Transfer to a bowl using a slotted spoon and set aside. Add the remaining oil to the pan and fry the tofu for 3-4 mins, or until evenly golden.', 'Mix the miso paste with 325ml boiling water in a jug. Cook the noodles following pack instructions, then drain and transfer to a bowl. Top with the mushrooms and tofu, then pour over the miso broth. Scatter over the spring onions just before serving.']"
Furikake devilled eggs,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/devilled-eggs.jpg,Prep:15Cook:10,"['6 large eggs', '2 spring onions, trimmed', '2 tbsp kewpie mayonnaise (available in Sainsbury’s, Waitrose and online) or salad cream', '2 tsp wasabi paste', '½ tsp sesame oil', '1 tbsp pickled sushi ginger, finely sliced, plus 1 tsp vinegar from the jar', '3 tbsp furikake (available online), plus a pinch']","['  kcal 103  ', '  fat 9g  ', '  saturates 2g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0g  ', '  protein 6g  ', '  salt 0.2g  ']",japanese,"['Bring a large pan of water to a simmer, then gently lower in the eggs. Simmer for 10 mins, then transfer to a bowl of iced water to cool. Meanwhile, finely slice the spring onions into long, thin strands, and add these to the ice water with the eggs. They will spiral and curl up in the cold.', 'Peel the eggs and cut them in half lengthways. Using a teaspoon, scoop the egg yolks into a bowl, and add the mayo, wasabi, sesame oil, vinegar from the ginger and some salt and pepper, and mash with a fork until smooth. For a smoother texture, blend using a stick blender until\xa0you get a pipeable mixture.', 'Put the furikake on a small plate and dip the egg halves, rounded-side down, into the seasoning so some sticks to the white of the egg. Pipe\xa0or spoon the egg yolk mix into the middles, then top with the pickled ginger. Pat the spring onion dry\xa0with kitchen paper, then use to decorate the eggs along with a\xa0pinch more furikake.\xa0']"
Miso soup,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/10/miso_soup.jpg,Prep:10Cook:5,"['5g dried wakame seaweed', '1l dashi (shop bought or see tip)', '200g fresh silken tofu, or firm if you prefer, cut into 1cm cubes', '2 tbsp white miso paste', '3 tbsp red miso paste', 'spring onion, finely chopped, to serve']","['  kcal 99  ', '  fat 4g  ', '  saturates 0.4g  ', '  carbs 9g  ', '  sugars 1g  ', '  fibre 1g  ', '  protein 7g  ', '  salt 2.44g  ']",japanese,"['Put the wakame in a small bowl and cover with cold water, then\xa0leave it for 5 mins until the leaves have fully expanded.\xa0', 'Make the dashi (see tip below) or heat until it reaches a rolling boil. Add the tofu and cook for 1 min before adding the seaweed.\xa0', 'Reduce the heat.\xa0Put\xa0both types of miso in a ladle or strainer and dip it\xa0into the pot. Slowly loosen up the miso with a spoon inside the ladle or strainer; the paste will slowly melt into the dashi. Once all the miso is dissolved into the soup, turn off the heat immediately. Sprinkle with chopped spring onions to add colour and fragrance.\xa0']"
Next level chicken katsu curry,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/02/next-level-chicken-katsu-curry.jpg,Prep:20Cook:45plusmarinating,"['2 large chicken breasts', '400ml milk', '100g plain flour\u2028', '2 eggs, beaten', '150g panko breadcrumbs or coarse dried breadcrumbs', 'sprinkling shichimi togarashi or chilli power, plus extra to serve', 'splash of soy sauce', 'sunflower oil, for frying', '50g butter', '1 large carrot, chopped', '1 onion, chopped', '4 garlic cloves, chopped', 'large piece of ginger, chopped', '2 tbsp mild curry powder', '1 tbsp honey', '1 tbsp ketchup', '1 tbsp red or brown miso paste', '1 tbsp soy sauce', '1 chicken stock cube', 'shredded white cabbage, shredded nori, sesame seeds and cooked rice, to serve']","['  kcal 579  ', '  fat 19g  ', '  saturates 8g  ', '  carbs 61g  ', '  sugars 12g  ', '  fibre 6g  ', '  protein 37g  ', '  salt 3.3g  ']",japanese,"['Cut each chicken breast in half lengthways, creating four fillets. Put each fillet between two sheets of baking parchment and beat with a rolling pin to even out the thickness.', 'Pour the milk into a bowl and season with a large pinch of salt, then add the chicken fillets. Cover and leave in the fridge for at least 20 mins or for up to 24 hrs (the longer you leave the chicken in the milk, the more succulent it will be).', 'When you’re ready to coat the chicken, tip the flour, eggs and breadcrumbs into three separate bowls, then season the flour with the togarashi and stir the soy sauce into the eggs. Scoop one chicken fillet out of the milk and coat in the flour mix, then dip into the egg mix and coat in the breadcrumbs. Set on a plate and repeat with the rest of the chicken fillets. Can be prepared up to a day ahead and frozen for up to a month.', 'To make the curry sauce, heat the butter in a saucepan and sizzle the carrot\xa0and onion\xa0for 5 mins, then add the garlic and ginger and cook for a few mins more. Scatter over the curry powder and cook for 1 min, then stir in the honey, ketchup, miso paste and soy sauce to create a sticky paste. Cook for 1 min more, then pour in 700ml boiling water and crumble in the stock cube. Cover and simmer for 20 mins until the carrot\xa0is soft. Tip the sauce into a blender and blitz until completely smooth (alternatively, use a hand blender). Season to taste. Can be made up to three days ahead and chilled or frozen for up to three months.', 'To cook the katsu, heat a good layer of oil in a large frying pan, then add as many of the chicken fillets as you can fit and fry for 3-4 mins on each side until deep golden and crisp. Transfer to a tray and keep warm in a low oven while you cook the remaining fillets.', 'Mix the cabbage and seaweed and sprinkle over some sesame seeds, if using. Top the katsu with the curry sauce and serve with the rice and salad, if you like.']"
Katsu pork with sticky rice,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/recipe-image-legacy-id--1222479_11.jpg,Prep:25Cook:35,"['200g short-grain or sushi rice, rinsed', '100g panko breadcrumbs', '1 tsp turmeric', '1 tbsp vegetable oil', '1 egg white', '450g pork fillet, trimmed and cut into 8 pieces', 'coriander sprigs, to garnish (optional)', 'pickled ginger, to serve (optional)', '1 tbsp vegetable oil', '1 onion, chopped', '1 medium carrot, grated', '2 eating apple, such as Braeburn, peeled, cored and roughly chopped', '2 fat garlic clove, sliced', '2 tsp medium curry powder', '½ tsp ground ginger', '1 tbsp tomato purée', '2 tsp clear honey', '1 tbsp soy sauce', '1 tbsp cornflour', '350ml chicken stock', '1 tsp sesame oil']","['  kcal 535  ', '  fat 11g  ', '  saturates 2g  ', '  carbs 73g  ', '  sugars 11g  ', '  fibre 4g  ', '  protein 37g  ', '  salt 1.6g  ']",japanese,"['To make the sauce, heat the oil in a large pan and add the onion, carrot and apples. Cover and cook gently for 10 mins until softened, stirring a couple of times. Uncover the pan, turn up the heat, add the garlic and cook for 1 min.', 'Stir in the curry powder and ginger. Cook for 1 min more, then stir in the tomato purée, honey, soy and cornflour. Gradually stir in the stock and simmer for 5 mins until the vegetables are totally soft and the sauce has thickened. Blitz with a blender or in a liquidiser until smooth, then season to taste with the sesame oil, salt and pepper. The sauce can be made up to 3 days ahead.', 'While the sauce is cooking, put the pork between 2 sheets of cling film and bash with a rolling pin until the meat is about 1cm thick. In a shallow bowl, rub together the crumbs, turmeric and oil with some seasoning. Beat the egg white with a fork until a little frothy and have a non-stick baking tray ready.', 'Put the rice in a saucepan with 400ml cold water and a pinch of salt. Bring to the boil, cover, then simmer for 10 mins. Take off the heat and set aside until ready to serve the pork.', 'Heat oven to 220C/200C fan/gas 7. Dip each piece of pork into the egg, then the crumbs, pressing them onto the surface before transferring the meat to the tray. Bake the pork for 10-15 mins or until golden and crisp, turning once if needed. Serve with the rice and katsu sauce, garnished with coriander, if using, plus pickled ginger, if you like.']"
Japanese-style brown rice,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/rice_0.jpg,Prep:5Cook:25,"['250g brown rice', '175g frozen soya beans', '1 tbsp low-salt soy sauce', '1 tbsp extra virgin olive oil', '2 tsp finely grated ginger', '1 garlic clove, crushed', '4 spring onions, thinly sliced on the diagonal']","['  kcal 308  ', '  fat 7g  ', '  saturates 1g  ', '  carbs 50g  ', '  sugars 2g  ', '  fibre 3g  ', '  protein 9g  ', '  salt 0.4g  ']",japanese,"['Cook the brown rice following pack instructions, adding the soya beans for the final 2 mins of cooking. Meanwhile, mix together the soy sauce, olive oil, ginger and garlic. ', 'Drain the cooked rice and beans, transfer to a serving bowl and stir in the soy sauce mixture. Scatter with the spring onions and serve.']"
