name,image,time,ingredient,nutrition,categoty,methode
One-pan lamb tagine with chickpeas,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/tagine-ff6dcc0.jpg,Prep:20Cook:2hrs30,"['1kg lamb neck fillet, cut into large chunks ', '3 tbsp ras el hanout ', '2 tbsp olive oil, plus an optional drizzle ', '2 onions, chopped ', '4 carrots, cut into large chunks ', '6 garlic cloves, finely chopped ', 'thumb-sized piece of ginger, peeled and finely grated ', '2 tbsp rose harissa paste, plus 1 tsp to serve ', '½ preserved lemon, finely chopped, or a peeled strip of lemon zest ', '1 cinnamon stick ', '400g can chopped tomatoes ', '600ml chicken or lamb stock ', '2 x 400g cans chickpeas, drained but not rinsed ', '100g dried apricots, roughly chopped (optional) ', '150g natural yogurt ', 'small bunch of coriander, roughly chopped ', 'small handful of flaked almonds, toasted ', 'cooked couscous ']","['  kcal 605  ', '  fat 33g  ', '  saturates 12g  ', '  carbs 31g  ', '  sugars 0g  ', '  fibre 12g  ', '  protein 41g  ', '  salt 1.2g  ']",moroccan,"['Toss the lamb pieces with the ras el hanout and a large pinch of salt to coat. Will keep chilled for up to 4 hrs. Heat the oven to 160C/140C fan/gas 3. Heat the oil in a large flameproof casserole over a medium heat and brown the lamb on all sides. (You will need to do this in batches.) Scoop onto a plate using a slotted spoon and set aside, then cook the onions and carrots in the pan for 10-12 mins until soft and golden, adding a drizzle more oil if the pan is dry. Add the garlic and ginger, and cook for 2 mins more, then stir in the 2 tbsp harissa and preserved lemon. Cook for another minute until the vegetables are coated in the mixture and sticky. Add the cinnamon, then tip in the tomatoes and bring to a simmer.', 'Cook for a few minutes more until reduced to a thick paste. Tip the lamb and its resting juices back into the pan and pour over the stock. Season and return to a simmer. Put the lid on the casserole and transfer to the oven to cook for 1 hr.', 'Stir in the chickpeas and apricots, if using, cover again and return to the oven for 1 hr until the lamb is tender. Season, then leave the tagine to stand for 10 mins. Will keep chilled for up to three days or frozen for three months. Leave to cool first. Defrost in the fridge overnight before reheating over a low heat until piping hot. Swirl the 1 tsp harissa through the yogurt, then scatter the tagine with the coriander and flaked almonds. Serve with the couscous and spiced yogurt on the side.']"
Slow roast ras el hanout lamb & couscous,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/slow-roast-ras-el-hanout-lamb-a7a8445.jpg,Prep:40Cook:4hrsplusatleast1hrmarinating,"['5 garlic cloves ', '1 lemon, juiced ', '6 tbsp ras el hanout spice mix (shop-bought or see tip, below) ', '2 tbsp olive oil ', 'small shoulder of lamb (about 2kg) ', '2 red onions, cut into large wedges ', '400g couscous ', '100g raisins ', '400g can chickpeas, drained ', 'small bunch of parsley, chopped ', 'small bunch of coriander, chopped ', '1 preserved lemon, finely chopped or the juice of ½ lemon ']","['  kcal 814  ', '  fat 39g  ', '  saturates 17g  ', '  carbs 57g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 56g  ', '  salt 0.4g  ']",moroccan,"['Using a pestle and mortar or a mini chopper, mash or chop the garlic with a generous pinch of salt, then add the lemon juice, ras el hanout spice mix and olive oil, then pound or chop to a rough paste. Use a small knife to make small incisions all over the lamb. Sit the lamb in a large, shallow casserole dish or deep roasting tin, then rub the paste all over the lamb and into the cuts. Leave at room temperature for 1 hr, or better still cover and chill overnight.', 'When ready to cook, heat the oven to 160C/140C fan/gas 3. Scatter the onion wedges around the lamb, then cover the dish with a lid or tightly with foil and roast for 3 hrs. Remove from the oven and uncover. Stir the onions and baste the lamb in the juices, then turn the oven up to 180C/160C fan/gas 4 and continue to roast the lamb, uncovered, for 25-30 mins until browned.', 'Lift the lamb and onions onto a board to rest and put the kettle on. Stir the couscous and raisins into the lamb dish so they’re coated in the roasting juices. Pour over enough boiling water from the kettle to just cover the couscous, then cover the dish and leave for 5 mins. Uncover and fluff the couscous up with a wooden spoon, then stir through the chickpeas, chopped herbs and preserved lemon or lemon juice, and season to taste. Bring the lamb, onions and the couscous to the table to serve.']"
Harira,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:15Cook:1hrs35,"['1 tbsp olive oil ', '300g braising beef or boneless beef, trimmed of excess fat, cut into 3cm pieces ', '1 small onion, finely chopped ', '1 tsp ground turmeric ', '½ tsp ground black pepper ', '¼ tsp ground ginger ', '1 tbsp chopped fresh parsley ', '1 tbsp tomato purée ', 'pinch of saffron ', '70g dried chickpeas, soaked overnight and drained (or 140g canned chickpeas, drained) ', '6 large tomatoes, grated or blitzed in a food processor ', '100g celery (2 stalks), finely chopped ', '80g dried green lentils ', '3 tbsp cornflour or plain flour ', '2 tbsp chopped fresh coriander and lemon wedges, to serve ']","['  kcal 224  ', '  fat 6g  ', '  saturates 2g  ', '  carbs 23g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 17g  ', '  salt 1.3g  ']",moroccan,"['Heat the olive oil in a large flameproof casserole over a medium heat. Add the meat, onion and spices with 1½ tsp salt. Leave for 5-10 mins to lightly brown the meat, stirring occasionally. Add the rest of the ingredients except the lentils, cornflour, coriander and lemon wedges. Add 1 litre of boiling water, bring to the boil, cover with a lid and reduce the heat to low. Leave to simmer for 1 hr.', 'Add the lentils to the casserole, cover with a lid and cook for a further 20 mins. When the chickpeas, meat and lentils are cooked, mix the cornflour in a small bowl with 3 tbsp water, and stir until smooth. Stir the cornflour mixture into the casserole. Simmer for 5 mins until the harira thickens and takes on a velvety texture.', 'Scatter over the coriander, then serve hot with lemon wedges on the side for squeezing over.']"
Harissa-honey marinade,https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Harissa-honey-marinade-73cd86d.jpg,Prep:5Nocook,"['2 tbsp rose harissa ', '2 tbsp olive oil ', '1 crushed garlic clove ', '3 tbsp honey ']","['  kcal 113  ', '  fat 6g  ', '  saturates 1g  ', '  carbs 15g  ', '  sugars 0g  ', '  fibre 0.2g  ', '  protein 0.3g  ', '  salt 0.1g  ']",moroccan,"['Combine the rose harissa, olive oil, garlic clove and honey. Season with salt.']"
"Mackerel with date, aubergine & preserved lemon relish",https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/01/mackerel-with-date-aubergine-preserved-lemon-relish.jpg,Prep:10Cook:45pluscooling,"['½ tbsp cumin seeds', '½ tbsp coriander seeds', '8 mackerel fillets', '½ lemon, juiced', '2 aubergines (about 550g)', '2 tbsp olive oil, plus extra for frying', '1 small onion, finely chopped', '2 plum tomatoes, finely chopped', '2 garlic cloves, crushed', '1 red chilli, deseeded and chopped', '2 tsp ground cumin', '½ tsp ground ginger', '1 tbsp runny honey', '1 preserved lemon, plus 4 tsp juice from the jar', '8 dates, stoned and finely chopped', '8 mint sprigs, leaves torn', 'couscous or bulgur wheat and coriander sprigs, to serve (optional)']","['  kcal 597  ', '  fat 42g  ', '  saturates 9g  ', '  carbs 19g  ', '  sugars 18g  ', '  fibre 6g  ', '  protein 32g  ', '  salt 0.6g  ']",moroccan,"['First, make the relish. Cut the stalks off the aubergines, then cut the flesh into 1cm cubes. Heat\xa01½ tbsp of the oil in a large frying pan and fry the aubergine in batches over a medium heat for 8-10 mins, or until softened and golden. You may need to add more oil. Transfer to a plate and set aside.', 'Add another ½ tbsp oil to the pan and fry the onion until softened and golden, about 10 mins. Tip in the tomato and cook for another 10 mins, or until collapsed, then add the garlic, chilli, cumin and ginger, and cook for 2 mins more. Return the aubergine to the pan, add the honey, the juice from the jar of preserved lemons and the dates. Season. Turn the heat down and simmer for about 10 mins, or until thick but not stiff – add a splash of water if you need to. Chop the preserved lemon – pulp as well as skin – discarding any seeds, then add half to the relish. Taste to see if you need more – it should be assertive, sweet and savoury. You may want more honey as well. Leave to cool, then stir in the mint.\xa0', 'Toast the cumin and coriander seeds in a dry frying pan over a low heat until the seeds start to crackle and jump in the pan. Transfer to a pestle and mortar and crush to a coarse mixture. Add salt and pepper.\xa0', 'Rub olive oil all over the mackerel fillets, then sprinkle them with the spice mix. Heat a frying pan or griddle pan and, when it’s very hot, add the fish fillets, skin-side down. Cook for 2-3 mins. Turn them and cook for 2 mins more. Squeeze lemon juice all over the fillets and serve them with the relish. Serve with bulgur wheat or couscous and coriander, if you like.']"
Slow cooker Moroccan lamb stew,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/01/slow-cooker-moroccan-lambs-stew.jpg,Prep:10Cook:9hrs,"['2 tbsp olive oil or rapeseed oil', '1kg diced lamb shoulder', '2 onions, halved and sliced', '5 garlic cloves, crushed', 'thumb-sized piece ginger, peeled and grated or finely chopped', '1 tbsp ground cumin', '1 tbsp ground coriander', '1 tsp ground cinnamon', 'pinch saffron (or turmeric, to add colour)', '½ large or 1 small preserved lemon, skin only, finely chopped', '1 tbsp tomato purée', '600ml hot beef stock or lamb stock', '1 tbsp honey', '1 lemon, tested, plus a squeeze of juice', '80g pitted Kalamata olives', 'handful chopped mint, coriander or parsley (or a combination)', 'couscous or rice, to serve']","['  kcal 488  ', '  fat 35g  ', '  saturates 14g  ', '  carbs 7g  ', '  sugars 5g  ', '  fibre 3g  ', '  protein 34g  ', '  salt 1g  ']",moroccan,"['Set the slow cooker to low. Heat 1 tbsp oil in a pan and brown the lamb in batches, transferring to the slow cooker as you go. Add the remaining oil and the onions to the pan and cook for 8-10 mins until softened. Tip in the garlic and ginger and stir for 1-2 mins, then add the spices, preserved lemon and tomato purée. Warm through, then tip into the slow cooker. Swirl some water around the pan, then pour into the slow cooker along with the stock. Season, cover and cook for 6-8 hrs.', 'Once the meat is really tender, turn the heat up to high. Add the honey, lemon and olives and cook for 20-30 mins. Top with the herbs and serve with couscous or rice.']"
Moroccan sausage stew,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/sausages_1.jpg,Prep:5Cook:12pluscooling(tocookfromfrozenallow30utes),"['2 tsp vegetable oil', '8 good-quality pork sausage', '2 red onion, cut into wedges', '1 garlic clove, crushed', '2 tbsp Moroccan spice mix or ras el hanout', '100g soft pitted date, roughly chopped', '400g can chopped tomato', '175ml hot beef stock', '1 tbsp cornflour', 'mashed potato, to serve']","['  kcal 491  ', '  fat 30g  ', '  saturates 10g  ', '  carbs 39g  ', '  sugars 26g  ', '  fibre 5g  ', '  protein 17g  ', '  salt 2.8g  ']",moroccan,"['In a large saucepan or flameproof casserole dish, heat the oil and brown the sausages with the onions for 10 mins until golden. Add the garlic and spice mix with 75ml water to prevent them from burning, and cook for 2 mins until fragrant. Add the dates and tomatoes, mix well, then spread out onto 2 plates to cool before pouring into a freezer bag and freezing for up to 3 months.', 'To cook from frozen, put the stew into a large saucepan or flameproof casserole dish with all but 2 tbsp of the stock. Cover with a lid and gently heat to defrost for 25 mins, stirring occasionally.', 'Once the stew is fully defrosted, mix the cornflour with the reserved stock and pour into the pan. Bring to the boil and simmer, uncovered, for 5 mins until thickened and piping hot. Serve with mashed potato.']"
Stuffed Moroccan pitta,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/pitta.jpg,Prep:5Nocook,"['2 wheat-free pitta breads pockets', ""4 falafels, halved (from Falafels with houmous recipe, in 'goes well with')"", ""4 tbsp houmous (from Falafels with houmous recipe, see 'goes well with')"", '½ red pepper, deseeded and sliced', 'handful rocket leaves']","['  kcal 396  ', '  fat 11g  ', '  saturates 1g  ', '  carbs 61g  ', '  sugars 6g  ', '  fibre 9g  ', '  protein 14g  ', '  salt 0.4g  ']",moroccan,"['Spread the houmous on the inside of each pitta, then layer with the falafels, pepper and rocket.']"
"Lamb, apricot & shallot tagine",https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/tagine_1.jpg,Prep:30Cook:7hrs30plusovernightmarinating,"['1 large leg of lamb, bone in (about 2kg)', '600g shallots, halved if particularly large', '400g small apricots, halved and stoned', '85g whole skinless almonds', '2 preserved lemons, flesh discarded, peel and pith finely chopped', '1 tbsp ras el hanout', '1 tbsp clear honey', '150ml hot chicken stock', 'small pack coriander, leaves picked', 'couscous and natural yogurt, to serve', '4 tbsp olive oil', '4 garlic cloves, crushed', '1 tbsp ground cumin', '2 tbsp clear honey', '2 tsp ground cinnamon', '2 tsp ground ginger', '2 tsp coriander seeds', 'pinch of saffron strands']","['  kcal 659  ', '  fat 41g  ', '  saturates 13g  ', '  carbs 18g  ', '  sugars 16g  ', '  fibre 4g  ', '  protein 57g  ', '  salt 0.5g  ']",moroccan,"['Slash the lamb leg all over and put in a big food bag, or in a large casserole dish. Smash the marinade ingredients together using a pestle and mortar. Add some black pepper and rub all over the lamb. Marinate overnight, or up to 24 hrs. ', 'Heat oven to 140C/120C fan/gas 1. Sit the lamb in a big roasting tin, scraping off any leftover marinade on the top. Cover the tin with foil, pinching the edges to seal. Cook for 6-7 hrs, basting every hour or so, until the meat is incredibly tender. ', 'Remove the roasting tin from the oven and increase oven to 200C/180C fan/gas 6. Pour the juices from the lamb into a measuring jug, cool slightly and skim off the fat. Put the shallots in the tin with the lamb and toss to coat in some of the juices. Roast for 15 mins, then add the apricots and almonds. Whisk the cooking juices with the lemon, ras el hanout, honey and stock, then pour over the lamb and roast for another 20 mins. ', 'Rest for 10 mins, then scatter over the herbs and serve with couscous and yogurt.']"
Moroccan harira & chicken soup,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/moroccan-soup.jpg,Prep:20Cook:1hrs,"['3 tbsp olive oil, plus extra to drizzle', '4 boneless, skinless chicken thighs', '1 leek, washed and finely sliced', '4 fat celery sticks, chopped into small pieces', '3 large carrots, chopped into small pieces', '2 big parsnips, peeled and chopped into small pieces', 'small pack coriander, stalks finely chopped, leaves reserved to serve', '1 tbsp cumin seed', '2 tsp ground cumin', '2 tsp ground coriander', '2 tsp ground cinnamon', '2 tsp ground turmeric', '2 tbsp harissa (we used Belazu)', '2 x 400g cans chopped tomatoes', '2 chicken stock cubes, crumbled', '85g raw green lentils', 'zest and juice 1 lemon', '1 tbsp golden caster sugar', 'natural yogurt, toast and houmous, to serve']","['  kcal 316  ', '  fat 14g  ', '  saturates 3g  ', '  carbs 28g  ', '  sugars 17g  ', '  fibre 7g  ', '  protein 22g  ', '  salt 1.6g  ']",moroccan,"['Heat half the oil in a frying pan, season the thighs and brown really well on both sides. Remove to a plate. Tip a mug of water into the pan and simmer, scraping up all the browned bits. Tip this liquid into a measuring jug for later. ', 'Put the remaining oil, the vegetables and coriander stalks in a big saucepan. Gently cook until the veg is softened – about 5 mins. Stir in the spices, turn up the heat, and cook for a few mins. Stir in the harissa, followed by the tomatoes, the chicken, stock cubes and lentils. Top up your jug of chickeny juices to 500ml with water, then add this, too. Bring to a simmer, cover and cook for 30 mins. ', 'Lift the chicken from the soup and shred finely using a couple of forks. Return to the soup with the lemon zest and juice, sugar, and season to taste. Ladle into bowls with a dollop of yogurt and the coriander leaves, and serve with toast, spread with houmous and drizzled with oil.']"
