name,image,time,ingredient,nutrition,categoty,methode
Golden new potato & pea curry,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Golden-new-potato-and-pea-curry-aecd13f.jpg,Prep:20Cook:35,"['3 banana shallots, peeled and chopped ', '5 large garlic cloves, chopped ', '4 Thai red chillies ', '5cm piece of galangal, peeled and chopped, or 1 tbsp galangal paste ', '5cm piece of ginger, peeled and finely chopped ', '1 lemongrass stalk, outer leaves removed and end trimmed ', '2 tsp medium curry powder ', '2 tsp ground turmeric ', '½ tsp ground cumin ', '2 tbsp coriander seeds ', '900g new potatoes, halved (see tip, below) ', '2 tbsp rapeseed or vegetable oil ', '2 tbsp fish sauce (optional) ', '2 x 400g cans full-fat coconut milk ', '3 lime leaves ', '200g fresh peas ', '2-3 limes, juiced ', 'sticky jasmine rice, to serve ']","['  kcal 420  ', '  fat 28g  ', '  saturates 20g  ', '  carbs 31g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 8g  ', '  salt 0.04g  ']",thai,"['Tip the shallots, garlic, half the chillies, the galangal, ginger, lemongrass and spices into a food processor with 50ml water and blitz to a smooth paste. Cook the new potatoes in a pan of boiling salted water for 5 mins until just softened, then drain.', 'Heat the oil in a large saucepan over a medium heat, then tip in the paste and fry for 10 mins, stirring regularly with a wooden spoon. Add the potatoes, fish sauce (if using), coconut milk and lime leaves. Halve the remaining chillies and add these along with 100ml water. Bring the mixture to a simmer, cover with a lid and cook for 15 mins, or until the potatoes are tender but still holding their shape. Add the peas and cook for another 5 mins.', 'Season to taste with salt, pepper and the lime juice, then serve the curry over a bowl of sticky rice.']"
Sticky lime & coconut chicken drumsticks,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Sticky-lime-and-coconut-chicken-drumsticks-97e8e99.jpg,Prep:10Cook:50plusatleast2hrsmarinating,"['400g can coconut cream ', '1-2 tbsp Thai green curry paste (depending on how hot you like it) ', '1 lime, zested and juiced ', '3 tbsp honey ', '6 chicken drumsticks ']","['  kcal 365  ', '  fat 28g  ', '  saturates 21g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 0g  ', '  protein 15g  ', '  salt 0.2g  ']",thai,"['Mix the coconut cream, curry paste, lime zest and juice and 1 tbsp honey together in a large bowl, then spoon a quarter of the marinade into a second smaller bowl and set aside. Add the chicken to the large bowl and leave to marinate for at least 2 hrs, or chill for up to 24 hrs.', 'Heat the oven to 200C/180C fan/gas 6 and line a baking tray with foil. Arrange the chicken on the tray, and bake for 30 mins, turning the chicken over halfway through.', 'Mix the remaining honey into the reserved small bowl of marinade. Brush half of this over the chicken, then return to the oven for 10 mins more. Turn the chicken over and brush with the rest of the marinade, then bake for another 10 mins. Serve warm or leave to cool completely before packing into a container for a picnic.']"
Crispy coconut prawn & mango salad,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Crispy-coconut-prawn-and-mango-salad-8312438.jpg,Prep:20Cook:15,"['160g raw king prawns, peeled ', '200ml coconut milk ', '1 large lime, ½ juiced, ½ cut into wedges to serve ', '2 tsp sesame oil ', '½ tsp caster sugar or honey ', '2 large handfuls of watercress or baby spinach (or use a mixture) ', '½ mango, stoned, peeled and sliced or cut into chunks ', '1 small avocado, stoned, peeled and sliced ', '½ small red onion, halved and thinly sliced ', '½ small bunch of mint, leaves picked ', '1 large red chilli, deseeded and thinly sliced ', 'vegetable oil, for frying ', '2 tbsp desiccated coconut ', '2 tbsp cornflour ']","['  kcal 539  ', '  fat 41g  ', '  saturates 20g  ', '  carbs 26g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 14g  ', '  salt 1g  ']",thai,"['Run a sharp knife down the back of each prawn and remove the grey line that runs from the head to the tail. Whisk the coconut milk until smooth, then tip half into a bowl with the prawns. Add half the lime juice and a pinch of salt, mix well and set aside for 15 mins.', 'Meanwhile, mix the remaining coconut milk with the rest of the lime juice, the sesame oil, sugar or honey, and a pinch of salt.', 'Divide the watercress or spinach between two plates, then top with the mango, avocado and red onion slices, the mint and sliced chillies.', 'Pour a 1-2cm depth of oil into a large saucepan over a medium heat. Combine the desiccated coconut with the cornflour and some seasoning. Drain the prawns and turn in the cornflour mixture to coat, shaking off any excess.', 'Drop one prawn into the oil; if it sizzles, add a few more, but don’t overcrowd the pan. Fry for 1-2 mins on each side until crisp and golden, then transfer to a plate lined with kitchen paper. When all the prawns are fried, scatter them over the salad and drizzle with the dressing.']"
Coconut & turmeric baked chicken thighs,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Coconut-and-turmeric-baked-chicken-thighs-3593939.jpg,Prep:5Cook:40plusmarinating,"['6-8 chicken thighs, skin on ', '1 tsp turmeric ', '1 tsp cumin ', '2 garlic cloves, grated ', 'thumb-sized piece of ginger, grated ', '200ml coconut milk ', '1 onion, finely sliced ', '250g spring greens or spinach, roughly chopped ', '1 tsp maple syrup or honey ', '400g cooked rice, to serve ']","['  kcal 427  ', '  fat 18g  ', '  saturates 7g  ', '  carbs 36g  ', '  sugars 0g  ', '  fibre 5g  ', '  protein 28g  ', '  salt 0.4g  ']",thai,"['Put the chicken thighs in a bowl and add the turmeric, cumin, garlic, ginger and 3 tbsp of the coconut milk. Rub the marinade in and leave for at least 15 mins, or longer if you have time.', 'Heat the oven to 180C/160C fan/gas 4. Scatter the onion and spring greens in a baking tray, add the rest of the coconut milk, the maple syrup and 150ml water. Cook in the oven for 10 mins, stirring regularly to wilt the greens. Place the chicken thighs on top, then return to the oven for 20 mins, stirring the greens underneath occasionally.', 'Heat the grill and cook for a further 8-10 mins until the skin is crispy. Serve with rice.']"
"Fragrant coconut, salmon & prawn traybake",https://images.immediate.co.uk/production/volatile/sites/30/2020/12/Coconut-salmon-prawn-traybake-0db6b0e.jpg,Prep:10Cook:30,"['1 tbsp sunflower oil ', '5 tbsp Thai red curry paste ', '2 garlic cloves, grated ', 'thumb-sized piece of ginger, peeled and finely grated ', '2 x 400ml cans coconut milk ', '1 red chilli, halved ', '1 tbsp fish sauce ', '3 lime leaves (optional) ', '4 thick salmon fillets, skin left on ', '4 baby pak choi, cut into quarters ', '150g mangetout ', '150g raw king prawns ', '½ small bunch of coriander, roughly chopped ', '2-3 limes, cut into wedges to serve ', 'cooked jasmine rice, to serve ']","['  kcal 801  ', '  fat 61g  ', '  saturates 33g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 46g  ', '  salt 2.4g  ']",thai,"['Heat the oven to 200C/180C fan/gas 6. Heat the oil in a deep frying pan or wok, and fry the curry paste, garlic and ginger for 1 min. Stir in the coconut milk and chilli, and bring to a simmer. Add the fish sauce and lime leaves, if using.', 'Pour the mixture into a medium roasting tin, and nestle in the salmon, pak choi and mangetout. Cover and cook in the oven for 15 mins. Scatter in the prawns and cook for a further 10 mins. Garnish with the coriander and serve with the lime wedges and rice.']"
Chicken pad Thai,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/07/chicken-pad-thai.jpg,Prep:15Cook:15plus20soaking,"['150g dried flat rice noodles', '4 tbsp sunflower oil', '2 garlic cloves, crushed', '1 red chilli, finely chopped', '2 chicken breasts, sliced finely sliced', '½ small pack coriander, leaves picked, and stalks finely chopped', '60g spring onions, shredded (reserving some to serve)', '2 tbsp chopped pickled turnip (optional)', '50ml chicken stock', '100g beansprouts', '2 eggs', '60g roasted unsalted peanuts, chopped', 'soy sauce, to serve', 'fresh red chilli, sliced, to serve (optional)', '2 tbsp tamarind paste', '2 tbsp fish sauce', '1 tbsp light brown soft sugar', '1 lime, half juiced, half cut into wedges to serve', '½ tbsp siracha', 'pinch chilli powder (optional)']","['  kcal 1004  ', '  fat 45g  ', '  saturates 7g  ', '  carbs 87g  ', '  sugars 24g  ', '  fibre 6g  ', '  protein 60g  ', '  salt 5.73g  ']",thai,"['Soak the noodles in warm\xa0water for about 20 mins or until al dente, then drain. Meanwhile, make the sauce by\xa0mixing together the tamarind paste, fish sauce, sugar, lime and siracha until smooth.\xa0', 'Heat half the oil in a frying pan or a wok over a medium heat.\xa0Add the garlic and chilli and fry for 30 seconds until fragrant.\xa0Tip in the chicken and cook for 5 mins until golden.\xa0Add\xa0the coriander stalks, spring onions and\xa0turnip (if using), and fry for 1 min. Add in the soaked noodles, 50ml of the\xa0chicken stock and the prepared sauce. Keep stir-frying the noodles until they’re starting to dry, then add the sauce. Stir everything together and cook over a high heat for 3 mins until the noodles are just cooked. Add a splash more water if needed.', 'When the sauce has reduced, scatter over the beansprouts and fold them into the noodles. Push everything to one side of the pan, then pour in the rest of the oil on the empty side and crack in the eggs. Fry for 2 mins until the white is just set and beginning to crisp around the edges, then roughly scramble the runny yolks in with the whites. When the eggs have just set, combine with the noodles.', 'Scatter over half of the peanuts and quickly toss together. Divide between two plates with the remaining peanuts and spring onion, the lime wedges and soy sauce on the side.\xa0']"
Thai green tofu noodles,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/03/thai-green-tofu-noodles.jpg,Prep:15Cook:15,"['1 tbsp rapeseed oil', '280g pack firm tofu, cut into cubes', '300g bag stir-fry veg', '150g baby corn, halved lengthways', '150g mangetout', '2 tbsp Thai green curry paste', '1-2 green chillies, thinly sliced', '250ml light coconut milk', '250g fresh egg noodles', '4 spring onions, sliced', 'lime wedges, to serve']","['  kcal 331  ', '  fat 17g  ', '  saturates 5g  ', '  carbs 26g  ', '  sugars 7g  ', '  fibre 6g  ', '  protein 16g  ', '  salt 0.6g  ']",thai,"['Heat the oil in a non-stick frying pan or wok. Add the tofu and fry, turning regularly, over a high heat for 6-7 mins or until golden. Remove with a slotted spoon and set aside.', 'Tip the stir-fry veg, corn and mangetout into the pan and cook for 5 mins. Stir through the curry paste, chilli, coconut milk and noodles, then bring to a simmer and cook for 5 mins. Return the tofu to the pan. Divide between bowls and top with the spring onion. Serve with the lime wedges for squeezing over.']"
Thai red curry with quick pickled cucumber,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/09/red_thai.jpg,Prep:25Cook:35,"['2 tsp vegetable oil', '1 shallot, finely chopped', '4 tbsp vegan Thai red curry paste', '400ml Alpro coconut drink, unsweetened', '400ml vegan vegetable stock', '300g butternut squash, cut into 2cm cubes', '150g baby potatoes, halved', '150g green beans, trimmed', '60g baby spinach leaves', '100g shelled edamame beans', '1 tbsp low sodium soy sauce or tamari', '2 limes, juiced', 'coriander or Thai basil leaves, to serve (optional)', 'cooked brown rice, to serve', '1 large cucumber', '4 tbsp rice vinegar', 'pinch of chilli flakes']","['  kcal 251  ', '  fat 9g  ', '  saturates 1g  ', '  carbs 30g  ', '  sugars 17g  ', '  fibre 9g  ', '  protein 9g  ', '  salt 1.5g  ']",thai,"['To make the pickled cucumber, split the cucumber in half, remove the core\xa0with a teaspoon and discard. Cut the cucumber halves into thin semi-circles, then toss in a bowl with the vinegar, chilli and a pinch of salt. Leave to pickle while you make the curry.', 'Heat the oil in a deep frying pan over\xa0a medium heat. Add the shallot and fry for 5 mins until soft, then stir in\xa0the\xa0curry paste\xa0and cook for 2-3 mins until fragrant. Tip in the coconut milk and stock\xa0and bring to a simmer.', 'Add the squash and potatoes\xa0and cook uncovered for 20 mins until the potatoes are tender and the sauce has reduced and thickened slightly.', 'Stir in the green beans, spinach and edamame\xa0and cook for 4 mins more until tender. Season with the soy and lime juice\xa0and sprinkle over the coriander or Thai basil, if using. Serve in bowls over the rice\xa0with the pickled cucumber alongside.']"
Cheat’s sausage larb,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/10/cheats-sausage-larb.jpg,Prep:10Cook:10,"['3 tbsp sesame oil', '2 limes, juiced', '1 tbsp chilli sauce', '½ tbsp fish sauce', '3 pork sausages', '1 tbsp red Thai curry paste', '4 spring onions, sliced and shredded', '½ bunch of coriander, chopped', 'small bunch of mint, leaves picked and torn', '2 Little Gem lettuces, leaves separated', '1 small cucumber, cut into matchsticks']","['  kcal 422  ', '  fat 34g  ', '  saturates 8g  ', '  carbs 13g  ', '  sugars 7g  ', '  fibre 7g  ', '  protein 12g  ', '  salt 2g  ']",thai,"['Mix together 2 tbsp of the sesame oil, the lime juice, chilli sauce and fish sauce. Set aside.', 'Heat the remaining oil in a wok or non-stick frying pan over a medium heat. Squeeze the sausagemeat out of the skins and into the pan, breaking it up with a wooden spoon, and fry for 5-6 mins, or until golden brown. Stir through the curry paste and fry for 1 min. Mix through half the spring onions and half the herbs.', 'Arrange the lettuce and cucumber in two bowls, add the sausage mixture and drizzle over the spicy dressing. Finish with the remaining herbs.']"
Next level pad Thai,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/04/pad-thai.jpg,Prep:15Cook:10Plussoaking,"['200g dried flat rice noodles', '2 tbsp tamarind paste', '3 tbsp fish sauce', '1 tbsp light brown soft sugar', '1 lime, half juiced, half cut into wedges to serve', 'pinch chilli powder (optional)', '4 tbsp sunflower oil', '100g firm tofu, diced', '200g raw king prawns, butterflied', '100g beansprouts', '2 eggs', '100g salted roasted peanuts, chopped', '2 spring onions, shredded', '2 tbsp chopped pickled turnip (preserved radish)', 'soy sauce, to serve']","['  kcal 992  ', '  fat 45g  ', '  saturates 7g  ', '  carbs 98g  ', '  sugars 12g  ', '  fibre 6g  ', '  protein 45g  ', '  salt 7.5g  ']",thai,"['Soak the noodles in warm water for about 20 mins until softened but with plenty of bite, then drain. Meanwhile, mix together the tamarind paste, fish sauce, sugar and lime juice until the sugar dissolves. Season with a pinch of chilli powder if you like it spicy. Can be made up to two weeks ahead and kept in the fridge. If you make pad Thai regularly, double the quantity and keep half.', 'Heat half the oil in a frying pan and cook the tofu on each side until golden. Add the prawns and fry until they just start to turn pink. Tip the noodles into the pan and drizzle over the tamarind mixture with about 5 tbsp of water. Stir everything together and cook over a high heat for\xa03 mins until the noodles are just cooked. Add a splash more water if needed.\xa0', 'When the sauce has reduced, scatter over the beansprouts and fold them into the noodles. Push everything to one side of the pan, then pour in the rest of the oil on the empty side and crack in the eggs. Fry for 2 mins until the white is just set and beginning to crisp around the edges, then roughly scramble the runny yolks in with the whites. When the eggs have just set, combine with the noodles.', 'Scatter over half of the peanuts, half the spring onion and all the turnip, and quickly toss together. Divide between two plates with the remaining peanuts, spring onion, chilli powder, lime wedges and soy sauce on the side, to garnish as preferred.']"
