name,image,time,ingredient,nutrition,categoty,methode
Salted caramel & hazelnut banoffee pie,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Salted-caramel-and-hazelnut-banoffee-pie-2d0f8f0.jpg,Prep:30Cook:25pluscoolingandatleast5hrschilling,"['100g blanched hazelnuts ', '4 tbsp caster sugar ', '300g chocolate oat biscuits ', '85g salted butter, melted ', '400g dulche de leche ', '300ml double cream ', '3 tbsp dark muscovado sugar ', '1 tsp vanilla bean paste, or 1 tsp vanilla extract ', '3 medium bananas, peeled and sliced ']","['  kcal 631  ', '  fat 39g  ', '  saturates 20g  ', '  carbs 61g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.6g  ']",banana-recipes,"['Heat the oven to 200C/180C fan/gas 6. Tip the hazelnuts onto a baking sheet, and toast in the oven for 10-15 mins until evenly golden. Tip into a bowl. Line the baking sheet with baking parchment and set aside.', 'Tip the caster sugar, half the toasted hazelnuts and a small pinch of sea salt into a small saucepan set over a low heat. Cook gently for 7-10 mins until the sugar melts and turns an amber colour – do not stir, but swirl the pan every now and again. Tip the mix onto the baking sheet. Leave to cool completely, then break up into small pieces.', 'Line the base of a 23cm fluted tart tin with baking parchment. Break the biscuits into a food processor, and blitz with the rest of the hazelnuts to a fine crumb. Or, seal the biscuits and nuts in a food bag and crush with a rolling pin. Tip the crumbs into a bowl and combine with the melted butter. Press into the base of the tin and up the side, then chill for 2 hrs.', 'Remove the cold tart base from the tin (if it sticks slightly, put it in a warm oven for 3-4 mins to help release it), then set on a serving plate. Spoon the dulche de leche into a bowl and gently fold in a large pinch of sea salt (don’t overmix, or it will become too loose).', 'Tip the cream, muscovado sugar and vanilla into another bowl and gently beat with an electric whisk until softly whipped. Spread the salted caramel over the base of the tart, then arrange the banana slices on top. Spoon over the muscovado cream. Chill for at least 3 hrs, or overnight. Scatter with the hazelnut praline just before serving.']"
Mincemeat banana bread,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Mincemeat-banana-bread-0f1272e.jpg,Prep:20Cook:1hrspluscooling,"['150g unsalted butter, softened, plus extra for the tin ', '90g caster sugar ', '2 large eggs, beaten ', '150g self-raising flour ', '1 tsp baking powder ', '1 tsp mixed spice ', '2 ripe bananas (200g), peeled and mashed ', '150g mincemeat (ensure it’s vegetarian, if needed) ', '100g salted butter, softened ', '2 tbsp honey ', '2 tsp ground cinnamon ']","['  kcal 369  ', '  fat 23g  ', '  saturates 13g  ', '  carbs 37g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 4g  ', '  salt 0.5g  ']",banana-recipes,"['Heat the oven to 180C/160C fan/gas 4. Butter a 900g loaf tin and line the base and sides with baking parchment. Set aside.', 'Beat the butter and sugar with an electric whisk until light and fluffy, then slowly whisk in the beaten egg, followed by half the flour. Fold in the remaining flour, the baking powder, mixed spice, mashed bananas and mincemeat.', 'Pour into the tin and bake for 1 hr until a skewer inserted into the middle comes out clean (cover with foil if it darkens too quickly). Leave to cool in the tin for 10 mins, then transfer to a wire rack and leave to cool completely.', 'To make the whipped butter, beat the butter, honey and cinnamon using an electric whisk until pale and fluffy. If you like, toast slices of the bread and spread with the butter while warm. The bread will keep in an airtight container for three days, and the butter chilled for up to five.']"
Vegan banana cupcakes,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/05/vegan-cupcakes.jpg,Prep:10Cook:25,"['2 large bananas (about 225g), blackened and peeled', '50ml vegetable or sunflower oil', '65g light brown sugar', '150g plain flour', '2 tsp baking powder', '2 tsp cinnamon', '50g dried fruit and seed mix', '2 tbsp oats', '2 tbsp mixed seeds']","['  kcal 159  ', '  fat 6g  ', '  saturates 1g  ', '  carbs 23g  ', '  sugars 11g  ', '  fibre 2g  ', '  protein 3g  ', '  salt 0.2g  ']",banana-recipes,"['Heat the oven to 180C/160C fan/gas 4. Mash the bananas in a medium bowl with a fork, then mix in the oil and sugar until combined.', 'Add the flour, baking powder, cinnamon and dried fruit and seed mix. Mix until well combined.', 'Line a cupcake tray with 10-12 cupcake cases (the amount you need will depend on how big the bananas are) and fill them ¾ full of the mixture. Sprinkle with the oats and mixed seeds.', 'Bake for 25 mins, or until a skewer inserted into the middle of a muffin comes out clean. Leave to cool on a wire rack.']"
Easy banoffee pie,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/04/banoffee-pie.jpg,Prep:25pluschilling,"['225g digestive biscuits', '150g butter, melted', '397g can caramel or 400g dulce de leche', '3 small bananas, sliced', '300ml double cream', '1 tbsp icing sugar', '1 square dark chocolate (optional)']","['  kcal 518  ', '  fat 36g  ', '  saturates 21g  ', '  carbs 43g  ', '  sugars 29g  ', '  fibre 1g  ', '  protein 5g  ', '  salt 0.7g  ']",banana-recipes,"['Crush the digestive biscuits, either by hand using a wooden spoon, or in a food processor, until you get fine crumbs, tip into a bowl. Mix the crushed biscuits with the melted butter until fully combined. Tip the mixture into a 23cm loose bottomed fluted tart tin and cover the tin, including the sides, with the biscuit in an even layer. Push down with the back of a spoon to smooth the surface and chill for 1 hr, or overnight. ', 'Beat the caramel to loosen and spoon it over the bottom of the biscuit base. Spread it out evenly using the back of a spoon or palette knife. Gently push the chopped banana into the top of the caramel until the base is covered. Put in the fridge.', 'Whip the cream with the icing sugar until billowy and thick. Take the pie out of the fridge and spoon the whipped cream on top of the bananas. Grate the dark chocolate over the cream, if you like, and serve.']"
Gluten-free banana bread,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/04/banana-bread.jpg,Prep:10Cook:1hrs15,"['5 small ripe bananas (4 mashed, 1 sliced down the middle to decorate the top)', '150g gluten-free self-raising flour', '100g gluten-free oats', '50g ground almonds', '1 tsp gluten-free baking powder', '1 tsp cinnamon', '90g dark brown sugar', '90g caster sugar', '100g butter, melted', '2 large eggs, beaten', '1 tbsp icing sugar']","['  kcal 405  ', '  fat 16g  ', '  saturates 7g  ', '  carbs 57g  ', '  sugars 33g  ', '  fibre 2g  ', '  protein 7g  ', '  salt 0.6g  ']",banana-recipes,"['Heat the oven to 180C/160C fan/gas 4 and line a 900g loaf tin with parchment paper (our tin was 19 x 9 x 6cm). Put all the ingredients, except the sliced banana, 1 tbsp caster sugar and the icing sugar, into a large bowl and stir until smooth and combined. ', 'Pour into the tin and put the two remaining banana halves cut-side up across the top of the batter, pressing down slightly. Sprinkle over the caster sugar. Bake for 1hr-1hr 15 mins until a skewer comes out clean, covering with foil towards the end of cooking if it browns too much. ', 'Dust with icing sugar and leave to cool. ']"
Vegan chocolate banana ice cream,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2016/03/chocolate-banana-ice-cream.jpg,Prep:5,"['1 frozen banana', '1 tsp cocoa powder']","['  kcal 110  ', '  fat 1g  ', '  saturates 0g  ', '  carbs 23g  ', '  sugars 21g  ', '  fibre 2g  ', '  protein 2g  ', '  salt 0g  ']",banana-recipes,"['In a blender, blitz the frozen banana with the cocoa powder until smooth. Eat straight away.']"
Turkey Bánh mì,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/turkey-banh-mi.jpg,Prep:30Nocook,"['2 small baguettes', '50g chicken livers pâté', '¼ cucumber, thinly sliced on the diagonal', '140g leftover turkeys, shredded', '1 tbsp mayonnaise', '1 red chilli, ½ finely chopped, ½ finely sliced', 'handful mint leaf', '2 small carrots, coarsely grated', '75g red cabbage, thinly sliced', '¼ tsp grated ginger', '½ tbsp rice vinegar', '½ tsp golden caster sugar']","['  kcal 541  ', '  fat 15g  ', '  saturates 3g  ', '  carbs 64g  ', '  sugars 15g  ', '  fibre 7g  ', '  protein 34g  ', '  salt 1.6g  ']",banana-recipes,"['To make the pickled slaw, tip the carrots and cabbage into a large bowl. In a small bowl, combine the ginger, rice vinegar, sugar and a few pinches of salt. Pour over the vegetables and toss together. Set aside for at least 15 mins. ', 'Halve the baguettes lengthways and spread the pâté over the bottom half. Top with the pickled slaw, cucumber and turkey. Mix the mayonnaise with the chopped chilli and dollop over the top. Scatter over the mint leaves and sliced chilli. Sandwich together and dig in.']"
Frozen banana yogurt,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/ice-cream.jpg,Prep:20Nocook,"['4 overripe bananas - the blacker the better - about 375 after peeling', '500g pot full-fat Greek yogurt', '175g condensed milk', 'big handful banana chips']","['  kcal 200  ', '  fat 9g  ', '  saturates 6g  ', '  carbs 25g  ', '  sugars 24g  ', '  fibre 1g  ', '  protein 6g  ', '  salt 0.2g  ']",banana-recipes,"['Whizz the flesh from the bananas, yogurt and condensed milk together in a food processor or blender until smooth. Scrape into an ice cream container or loaf tin, or divide between individual pots. ', 'Crush up the banana chips, if using, by tipping them into a food bag and bashing with the end of a rolling pin – like you would biscuits for a cheesecake base. Swirl through the frozen yogurt mix, then cover the container or containers well with cling film and freeze overnight until solid. Will keep for 3 months in the freezer.']"
Hot Elvis toastie,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/toastie_0.jpg,Prep:5Cook:5,"['2 tsp butter', '2 slices white bread', '1 tbsp golden caster sugar', '½ tsp ground cinnamon', '2 tbsp crunchy peanut butter', '1 ripe banana, thinly sliced', '2 tsp clear honey', 'a little icing sugar', 'vanilla ice cream, to serve']","['  kcal 312  ', '  fat 13g  ', '  saturates 4g  ', '  carbs 44g  ', '  sugars 32g  ', '  fibre 3g  ', '  protein 6g  ', '  salt 0.5g  ']",banana-recipes,"['Using 1 tsp soft butter per side, butter one side only of two bread slices. Mix sugar with cinnamon, then sprinkle over the buttered slices of bread. ', 'Put one of the slices, buttered-side down, in a toasted sandwich maker. Spread the top of this slice with peanut butter, then layer over the banana. Drizzle with honey, and sandwich the second slice of bread on top, buttered-side up. Close and cook, following your sandwich maker instructions, until the toastie is crisp and golden. ', 'Cut in half, add a slice to each plate, dust with icing sugar and serve with vanilla ice cream.']"
Maryland chicken,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/maryland.jpg,Prep:25Cook:1hrs10,"['1 whole chicken, about 1.8kg', '2 tbsp paprika', '2 tsp garlic powder', '2 tsp dried oregano', '2 tsp English mustard powder', '1 tsp cayenne', '1 tsp caster sugar', '1 tsp ground black pepper', '1-2 tbsp sunflower oil', '1kg sweet potatoes', '1 large banana, unpeeled', '50g butter', '100ml milk', ""Creamed corn & bacon (recipe in 'goes well with', right)""]","['  kcal 685  ', '  fat 25g  ', '  saturates 7g  ', '  carbs 66g  ', '  sugars 38g  ', '  fibre 7g  ', '  protein 49g  ', '  salt 3.6g  ']",banana-recipes,"['Heat oven to 200C/180C fan/gas 6 and sit the chicken in a small roasting tin. Mix all the spices with 2 tsp salt using a pestle and mortar – try to grind the oregano finely so that it doesn’t burn. Rub the spice mix over the chicken with some oil, and cover loosely with foil. ', 'Sit the potatoes in another tin, and put them in the oven together with the chicken. After 30 mins, remove the foil. Pierce the banana once in the skin with a knife and put alongside the potatoes, and roast with the chicken for another 30 mins. ', 'Check the potatoes are soft, then remove them and the banana from the oven. Leave the chicken to cook for a final 10 mins. Split the potatoes and banana, and scrape all the flesh into a saucepan. Add 1 tsp salt, half the butter and the milk, then mash together. Season. ', 'Check the chicken is cooked by piercing the inner thigh and ensuring the juices run clear. Lift to a serving platter and rest for 10 mins. ', ""To serve, spoon the mash into a dish, topped with knobs of remaining butter, and carve the chicken at the table. Serve with Creamed corn & bacon (recipe in 'goes well with', right).""]"
"Beef, potato & banana curry with cashew rice",https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/curry_5.jpg,Prep:30Cook:2hrs30,"['2 tbsp sunflower oil', '800g stewing beef, cut into chunks', '2 onions, chopped', '2 lemongrass stalks, bashed', '2 tbsp grated ginger', '2 tbsp tamarind paste', '3 garlic cloves, crushed', '1 tsp ground turmeric', '2 tbsp medium curry powder', '2 tsp brown sugar', '400ml can coconut milk', '500g bag new potatoes, halved', '3 small or 2 large slightly underripe bananas, cut into 2cm-thick slices', '2 tsp garam masala', 'small pack coriander, leaves only', 'squeeze of lemon juice (optional)', '140g cashews, lightly bashed', '300g basmati rice', '4 tbsp crispy onions - make your own (see tip, below), or find them in tubs, alongside croutons, in supermarkets']","['  kcal 1210  ', '  fat 55g  ', '  saturates 24g  ', '  carbs 118g  ', '  sugars 30g  ', '  fibre 7g  ', '  protein 57g  ', '  salt 0.3g  ']",banana-recipes,"['Heat oven to 180C/160C fan/gas 4 and heat half the oil in a large frying pan. Brown the beef in batches, and transfer to a flameproof casserole dish. Add the remaining oil to the pan with the onions, and fry gently until softened. Stir in the lemongrass, ginger, tamarind, garlic, turmeric, curry powder and sugar, and fry for a few mins until fragrant. Add the coconut milk with 1 can of water, stir into the beef and bring to a simmer. Cover and bake for 1 hr. Meanwhile, toast the cashews in a dry frying pan until golden. ', 'After 1 hr, stir in the new potatoes and cook for 1 hr more until the potatoes are tender, removing the lid halfway. The casserole can now be cooled and chilled, or frozen, if preparing ahead. ', 'Put the casserole back onto the hob. Stir in the bananas and garam masala and simmer, uncovered, for 10 mins until the sauce has thickened. ', 'Cook the rice following pack instructions, then mix with the cashews, crispy onions and some salt. Scatter the curry with coriander, season well, then taste – it may need a squeeze of lemon to finish it off.']"
Upside-down banana cake with maple-caramel sauce,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/banana-cake.jpg,Prep:45Cook:1hrs10,"['100g softened butter, plus extra for greasing', '8 tbsp maple syrup', '3 small ripe bananas and 1 very overripe banana', '200g dark brown soft sugar', '4 large eggs', '2 tsp vanilla paste or extract', '200g self-raising flour', '100g pecans, broken into pieces', '1 tsp bicarbonate of soda', '1 tsp ground cinnamon', '200g pot full-fat Greek yogurt, plus extra, or vanilla ice cream, to serve', '100g whole pecans', '100g salted butter, diced', '100ml double cream', '100ml maple syrup']","['  kcal 802  ', '  fat 51g  ', '  saturates 21g  ', '  carbs 77g  ', '  sugars 56g  ', '  fibre 4g  ', '  protein 10g  ', '  salt 1.1g  ']",banana-recipes,"['Heat oven to 160C/140C fan/gas 3. Grease a 20cm square cake tin and line the base with baking parchment. For the cake, pour in half the syrup, swirling to coat the bottom. Peel and halve the 3 ripe bananas lengthways and lay, cut-side down, in the tin. ', 'Beat together the butter, sugar, eggs, vanilla and overripe banana with an electric whisk. Tip the flour and pecans into a food processor and pulse until finely ground together. Stir into the butter mixture with the bicarbonate of soda and cinnamon, then stir in the yogurt. Carefully spoon into the tin without dislodging the bananas. Bake the cake for 45 mins-1 hr until a skewer inserted into the centre comes out with only moist crumbs. ', 'Meanwhile, make the sauce. Toast the pecans for 1-2 mins in a pan, add the remaining ingredients and cook until the butter has melted. Then bubble for 5 mins until it has thickened a little. ', 'When the cake is cooked, poke it all over with the skewer – inserting it about halfway into the cake each time. Pour over the remaining maple syrup and allow it to soak in for a few mins, then turn the cake out of the tin, upside-down, onto a serving plate. Reheat the sauce, and serve with Greek yogurt or vanilla ice cream.']"
Fragrant spiced chicken with banana sambal,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/chicken-sambal.jpg,Prep:15Cook:45,"['2 large onions, quartered', '4 garlic cloves', 'thumb-sized piece ginger, peeled and roughly chopped', '600ml reduced-salt chicken stock', '1 tsp ground coriander', '1 tsp ground cumin', '½ tsp ground turmeric', '4 green cardamom pods', '1 large red chilli, deseeded and finely chopped', '2 tbsp ground almonds', '2 tbsp tomato purée', '500g skinless chicken breasts, cubed', 'small pack coriander, chopped', '1 small red onion, finely chopped', '¼ cucumber, peeled, deseeded and diced', '1 small banana, diced', 'zest and juice ½ lime', '250g pack ready-cooked brown basmati rice']","['  kcal 410  ', '  fat 9g  ', '  saturates 2g  ', '  carbs 48g  ', '  sugars 15g  ', '  fibre 5g  ', '  protein 34g  ', '  salt 1.2g  ']",banana-recipes,"['Put the onions in a food processor with the garlic and ginger. Blitz until it is as smooth as possible, then pour in half the stock and blitz again. ', 'Heat a large non-stick pan, sprinkle in the spices and toast for 1 min. Pour in the onion mixture, the remaining stock and all but ½ tsp of the chopped chilli. Add the almonds and tomato purée, and stir well. Simmer for 35 mins until completely soft, stirring every now and then and adding a little water if the mixture starts to catch on the bottom of the pan. ', 'Add the chicken and half the fresh coriander. Heat very gently for 10 mins to cook the chicken through. Mix all the sambal ingredients with the remaining coriander and chilli, and heat the rice following pack instructions. Serve the chicken and sambal with the brown rice.']"
