name,image,time,ingredient,nutrition,categoty,methode
Chocolate Christmas biscuits,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Chocolate-christmas-biscuits-931156e.jpg,Prep:30Cook:10pluscooling,"['270g plain flour ', '50g cocoa powder ', '120g icing sugar ', '150g butter ', '2 eggs ', 'melted chocolate or piping icing, sugar pearls, sprinkles ']","['  kcal 376  ', '  fat 15g  ', '  saturates 5g  ', '  carbs 33g  ', '  sugars 0g  ', '  fibre 17g  ', '  protein 17g  ', '  salt 0.8g  ']",chocolate,"['Mix the flour, cocoa, icing sugar and a pinch of salt in a bowl. Rub in the butter and then mix in eggs. Knead quickly with your hands to a smooth dough. Wrap in foil, press into a flat disc and chill for 30 minutes.', 'Heat the oven to 180C/fan 160C/gas 4. Line a couple of baking sheets with baking parchment. Roll out the pastry on a lightly floured worksurface to about 3mm thin. Cut out shapes from the dough. Put the biscuits on the baking sheets – it’s best to put similarly sized cookies together. Bake for 7-10 minutes, depending on the size of the biscuits.', 'Knead the off-cuts of the dough together and chill again for 15 minutes. Roll, cut and bake as before. Cool completely.', 'When cooled, the cookies can be decorated with chocolate or icing and sugar pearls and sprinkles.']"
Quick florentines,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quick-florentines-4e0c1c3.jpg,Prep:25Cook:25,"['100g caster sugar ', '40g honey ', '60g butter ', '75g double cream ', '200g flaked almonds ', '60g ground almonds ', '100g dark chocolate ']","['  kcal 376  ', '  fat 15g  ', '  saturates 5g  ', '  carbs 33g  ', '  sugars 0g  ', '  fibre 17g  ', '  protein 17g  ', '  salt 0.8g  ']",chocolate,"['Heat the sugar, honey and butter with the cream in a small pan. Bring the mixture to a boil and cook for 5 minutes. Add the almond flakes and ground almonds, take off the heat and mix everything well.', 'Heat the oven to 180C/fan 160/gas 4. Use two teaspoons to form 35 small heaps on a baking sheet lined with baking parchment. Bake for 15 minutes or until lightly caramelised to a golden colour. If the mixtures separates, simply put it back into piles with the two teaspoons.', 'Let the florentines cool completely. Melt the dark chocolate in a microwave or a bowl set over a pan of simmering water. Using a pastry brush, brush the underside of each florentine with chocolate, place chocolate side up and leave to set.']"
Polish chocolate & walnut cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-chocolate-cake-0ee3219.jpg,Prep:45Cook:1hrs40,"['150g plain flour, plus 1 tbsp ', '50g cocoa ', '8 eggs, separated ', '200g caster sugar ', '5 eggs, separated (keep the yolks for the custard) ', '200g caster sugar ', '250g walnuts, a couple of handfuls saved for decoration and the rest chopped ', '1 tbsp plain flour ', '1 tbsp potato starch ', '100g double cream ', '100g chocolate, chopped ']","['  kcal 50  ', '  fat 3g  ', '  saturates 0.4g  ', '  carbs 5g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 1g  ', '  salt 0g  ']",chocolate,"['Before making the cake, take the eggs and butter out of the fridge to let them warm to room temperature.', 'Heat the oven to 170C/fan 150C/gas 3½. Sift the flour and mix it with cocoa. Beat the egg whites until stiff, then add the sugar to them in small batches. Then add the egg yolks one by one, whisking constantly. Sift the flour mixed with cocoa on the egg mixture and gently fold everything together with a spatula. Pour the prepared batter into a 30cm x 22cm shallow baking tin lined with baking parchment and bake it for 35 mins. Cool for 5 mins, remove from the tin and re-line the tin.', 'To make the meringue, whisk the whites until stiff, gradually adding the sugar, one tablespoon at a time. When you have a stiff and shiny meringue, fold in the finely chopped walnuts, flour and potato flour. Spread the mixture into the tin and cook for 40 mins. Carefully remove from the oven and leave to cool.', 'For the chocolate glaze,\xa0heat the cream over low heat, then remove from the heat, pour the chopped chocolate into it and mix it until it dissolves and the glaze becomes shiny and uniform.', 'Cut the cooled chocolate sponge cake into two layers. Put the nut meringue on top of the bottom layer of sponge and sprinkle on some of the reserved walnuts. Add another layer of meringue and then\xa0the upper layer of chocolate sponge cake\xa0and cover the top with chocolate glaze. Decorate with walnuts. Put the finished cake in the fridge for 1-2 hours before serving.']"
Pear & chocolate flapjacks,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Pear-and-chocolate-flapjacks-676c592.jpg,Prep:10Cook:40,"['150g butter, plus a little extra for the tin ', '150g light brown soft sugar ', '4tbsp honey ', '300g porridge oats ', '4 pear halves in juice, from a can ', '100g dark chocolate, melted ', 'pastry brush ', '20cm x 20cm square baking tin ', 'baking parchment ', 'weighing scales ', 'large saucepan ', 'measuring spoons ', 'wooden spoon ', 'large mixing bowl ', 'can opener ', 'sieve ', 'kitchen paper ', 'chopping board ', 'knife ', 'oven gloves ', 'cooling rack ', 'small bowl ']","['  kcal 320  ', '  fat 16g  ', '  saturates 9g  ', '  carbs 39g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 4g  ', '  salt 0.25g  ']",chocolate,"['Heat the oven to 200C/180C fan/gas 6. Brush a 20 x 20cm square baking tin with butter, then line with two strips of baking parchment (see How to Line a Cake Tin).', 'Weigh the butter and sugar into a large saucepan. Add the honey and a pinch of salt to the pan. Place the pan on the hob and turn the heat to medium. Stir carefully while the butter and sugar melt; once it’s bubbling, turn off the heat and leave to cool for 5 mins.', 'Meanwhile, place a large mixing bowl on the scales and weigh the oats.', 'Open the can of pears and drain off the liquid through a sieve (save the liquid for another recipe, see below). Dry the pears on a little kitchen paper and chop them into small pieces. Add the pear pieces to the oats.', 'Carefully pour the melted butter and sugar mixture into the bowl along with the oats and pears. Stir until well combined.', 'Tip the oat mixture into the lined baking tin and press down with the back of your spoon to make a flat, even surface. Use oven gloves to carefully place the tin in the oven on the middle shelf. Bake for 25-30 mins until golden brown.', 'Wearing oven gloves, carefully remove the tin from the oven and place on a cooling rack.', 'Break the chocolate into small pieces and put in a small bowl. Microwave for 30 seconds, then stir and microwave for another 15 seconds, or until the chocolate has melted. Drizzle the chocolate over the flapjacks. Leave to cool completely, then remove the flapjacks from the tin and cut into nine or 12 pieces.']"
Chocolate & vanilla celebration cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Chocolate-and-vanilla-celebration-cake-a79b7f2.jpg,Prep:35Cook:30pluscooling,"['225ml vegetable oil, plus extra for the tins ', '300g plain flour ', '100g cocoa powder ', '2 tsp baking powder ', '1½ tsp bicarbonate of soda ', '400g light brown soft sugar ', '300ml milk ', '2 tsp white wine vinegar ', '100ml strong coffee or espresso, cooled ', '2 tsp vanilla extract or paste ', '3 medium eggs ', '400g butter, at room temperature ', '800g icing sugar ', '2 tsp vanilla extract or paste ', '4-5 tbsp milk ', 'food colouring pastes ', 'edible flowers, pastel sugared almonds or chocolate eggs ']","['  kcal 778  ', '  fat 40g  ', '  saturates 16g  ', '  carbs 97g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 6g  ', '  salt 1g  ']",chocolate,"['Heat the oven to 180C/160C fan/gas 4. Oil three 20cm cake tins and line with baking parchment. Weigh out the flour, cocoa powder, baking powder, bicarb and sugar into a large bowl, add a pinch of salt and whisk gently to combine. Shake the bowl to bring any lumps of sugar to the surface and squeeze these with your fingertips.', 'Measure the oil, milk, vinegar, coffee and vanilla into a jug, then add the eggs and whisk to combine. Pour the wet ingredients into the dry and stir with a whisk until smooth, making sure there are no pockets of flour at the bottom of the bowl – the mixture will be quite runny. Divide the batter evenly between the prepared tins, then bake on the middle shelf of the oven (or middle and top if they don’t all fit on one shelf) for 25 mins. Swap the tins around and bake 5 mins more.', 'Check the cakes are cooked by inserting a skewer into the centre of each – if any wet batter clings to the skewer, return the tins to the oven for another 5 mins, then check again. Leave to cool in the tins for 30 mins, then turn the sponges out onto wire racks to cool completely. If making ahead, wrap the cooled sponges well and store in an airtight container for up to three days, or the freezer for up to two months.', 'For the buttercream, beat the butter using an electric whisk or in a stand mixer for a few minutes until smooth and creamy. Add half the icing sugar and beat again to combine. Add the remaining icing sugar, the vanilla and 4 tbsp milk and beat again to combine, adding a splash more milk if needed to make a smooth, fluffy buttercream. Divide between three bowls. Add a few drops of different food colouring paste to each bowl, then mix well – we used pastel pink, purple and yellow.', 'Spoon the coloured buttercream mixtures into three separate piping bags and snip off the tips. Pipe a dot of buttercream onto a cake stand or board and place a sponge on top to help keep it in place. Pipe small blobs of purple buttercream all over the top of the sponge by holding the piping bag directly above the cake, about ½cm from the surface, and squeezing the bag while pulling upwards to create a small peak.', 'Place the second sponge on top, then repeat the process with the pink buttercream. Add the third sponge on top, then neatly pipe blobs of yellow buttercream over the surface. Decorate with edible flowers, sugared almonds or mini chocolate eggs, if you like. Will keep in a tin at room temperature for up to five days.']"
Jaffa cakes,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Jaffa-cakes-57e4d67.jpg,Prep:35Cook:9plusatleast3hrssetting,"['butter, for the tin ', '1 egg ', '2 tbsp caster sugar ', '2 tbsp self-raising flour ', '1 orange, zested ', '125g dark chocolate ', '135g pack orange jelly, cut into cubes (ensure vegetarian, if needed) ', '1 tbsp orange marmalade (optional) ', '1-2 oranges, juiced (you’ll need 50ml juice) ']","['  kcal 107  ', '  fat 4g  ', '  saturates 2g  ', '  carbs 16g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.1g  ']",chocolate,"['First, make the orange jelly. Put the jelly cubes and marmalade (if using) in a medium heatproof bowl. Pour in the orange juice and 100ml boiling water, then stir until the jelly cubes have dissolved. Pour the mix into a shallow baking tray (ours was 25 x 20cm) lined with cling film – it should come about ½cm up the side. Chill for 2 hrs or overnight until set.', 'Heat the oven to 180C/160C fan/gas 4 and butter a shallow 12-hole cupcake tin. Tip the egg and sugar into a bowl and beat with an electric whisk for 5 mins until pale and fluffy. Or, do this in a stand mixer. Sift over the flour, add the orange zest and fold gently until there are no more pockets of flour. Spoon 1 tbsp into each hole of the tin and gently spread to the edges using the back of the spoon. Bake for 8-9 mins until the sponge is golden and a skewer comes out clean. Cool in the tin for 2 mins, then transfer to a wire rack to cool completely.', 'Invert the set jelly onto a board, remove the cling film and stamp out discs using a 5cm round cutter. Flip the sponges over so the flat side is facing up, then top each with a jelly disc. Tip the chocolate into a heatproof bowl and melt in short bursts in the microwave, or set the bowl over a pan of simmering water ensuring the bowl doesn’t touch the water. Spoon 1-2 tsp of the melted chocolate over each disc of jelly, spreading it gently to cover. Leave to set for 2-3 mins, then gently press the tines of a fork into the chocolate. Leave to set for 1 hr before serving. Will keep for up to three days in an airtight container.']"
Affogato chocolate pots,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Affogato-chocolate-pots-e31ba10.jpg,Prep:15Cook:5plusatleast2hrssetting,"['150g dark chocolate (at least 70% cocoa solids), chopped into small pieces ', '2 shots hot espresso or 100ml hot strong instant coffee ', '150ml double cream ', '½ tsp vanilla extract ', '2 egg yolks (freeze the whites for another recipe) ', '50g golden caster sugar ', '4 of your favourite biscuits to serve with coffee (we used amaretti), plus extra to serve ']","['  kcal 504  ', '  fat 38g  ', '  saturates 22g  ', '  carbs 35g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 5g  ', '  salt 0.1g  ']",chocolate,"['Tip the chocolate into a heatproof bowl. Pour the coffee, double cream and vanilla into a small saucepan and bring to the boil over a medium heat, then pour this over the chocolate. Leave to stand for a minute, then stir together until the chocolate has melted and the sauce is smooth. Set aside.', 'Beat the egg yolks and sugar together for 5 mins in a separate bowl using an electric whisk until pale, thick and fluffy. Carefully fold in the melted chocolate mixture until everything is combined into a rich mousse. Crumble the biscuits and put most of the crumbs into the bases of four small coffee cups or ramekins, then spoon over the chocolate mousse. Chill for at least 2 hrs. Will keep chilled for up to two days. Serve cold topped with the remaining crumbled biscuits and some extra whole biscuits on the side for dunking.']"
Baked oats,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Easy-Classic-Baked-Oats-b173e46.jpg,Prep:5Cook:25,"['100g porridge oats ', '1 tsp baking powder ', '1 banana, peeled and chopped ', '1 tbsp maple syrup or honey ', '2 eggs ', 'pinch of mixed spice or ground cinnamon ', '100g chocolate chips, blueberries or raspberries, plus extra to serve ', 'flavourless oil, for the ramekins ']","['  kcal 300  ', '  fat 12g  ', '  saturates 6g  ', '  carbs 38g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 8g  ', '  salt 0.5g  ']",chocolate,"['Heat the oven to 180C/160C fan/gas 4. Put the oats in a blender and pulse a few times until they start to resemble flour. Add the baking powder, chopped banana, maple syrup or honey, eggs and mixed spice or cinnamon, and whizz until smooth. Stir in the chocolate chips or berries.', 'Lightly oil four heatproof ramekins, then divide the batter between them. Bake for 20-25 mins, or until well-risen and the baked oats spring back when lightly pressed. Scatter with more chocolate chips or berries before serving, if you like.']"
Chocolate roulade,https://images.immediate.co.uk/production/volatile/sites/30/2021/11/Chocolate-roulade-9e58973.jpg,Prep:30Cook:25,"['vegetable oil, for the tin ', '5 egg whites ', '1 tsp lemon juice ', '225g caster sugar ', '60g cocoa powder, plus extra for dusting ', '1 tsp cornflour ', '100g dark chocolate, plus extra to serve ', '100ml double cream ', '150ml double cream ', '25g caster sugar ', '100g caramel sauce (from a can or jar), stirred until smooth ', 'pinch of sea salt flakes ']","['  kcal 462  ', '  fat 28g  ', '  saturates 17g  ', '  carbs 46g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0.5g  ']",chocolate,"['Heat the oven to 180C/160C fan/gas 4. Oil the base and sides of a 23 x 32cm baking tray and line with baking parchment. Beat the egg whites, lemon juice and a pinch of salt together using a stand mixer or electric whisk until very stiff. Add 1 tbsp of the sugar and beat to stiff peaks, then add the rest of the sugar, a spoonful at a time, until the mixture is thick and shiny. Sift over the cocoa and cornflour, then gently fold these in with a spatula until completely combined. Spread the mixture evenly into the prepared tin, then bake for 14-15 mins until just crisp to the touch. Leave to cool completely in the tin.', 'Meanwhile, make the fillings. For the chocolate filling, tip the chocolate and cream into a heatproof bowl set over a pan of simmering water and stir until the chocolate has melted and the mixture is shiny and smooth. Remove from the heat and leave to cool to room temperature. For the cream filling, whisk the cream and sugar together to stiff peaks using an electric whisk.', 'Dust a large sheet of baking parchment with cocoa powder, then carefully flip the meringue onto it. Remove the tin and carefully peel away the parchment. With a short end facing you, score a line across the meringue, 2cm in from the edge. Spread over the chocolate filling followed by the cream, then drizzle with most of the caramel sauce. Sprinkle over the sea salt flakes and drag a palette or cutlery knife through the fillings to gently swirl them. Roll up the roulade into a tight log, starting at the scored end and using the parchment underneath to help you. Lift onto a platter or board. Will keep chilled for up to a day. Drizzle over the remaining caramel sauce, then finely grate over more chocolate to serve.']"
Hot chocolate station,https://images.immediate.co.uk/production/volatile/sites/30/2021/11/New-Years-Eve-hot-chocolate-station-701f44a.jpg,Prep:20Cook:10,"['1 litre milk ', '300ml double cream ', '5 tbsp cocoa, plus a little for dusting ', '50g light brown soft sugar ', '150g dark chocolate, finely chopped ', 'whipped cream or squirty cream ', 'chocolate shaving or buttons ', 'mini marshmallows ', 'mini choc chip cookies ', 'festive sprinkles ', 'ground cinnamon, for dusting ', 'candy canes ']","['  kcal 408  ', '  fat 32g  ', '  saturates 19g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 8g  ', '  salt 0.2g  ']",chocolate,"['Put the milk, cream, cocoa, sugar and dark chocolate in a large saucepan. Heat gently for 5-10 mins, stirring continuously until the chocolate has melted and looks smooth. You can now keep the pan warm over a low heat for up to 1 hr (stir it regularly), or ideally transfer to a large slow cooker set to low and keep warm throughout the party.', 'Make your hot chocolate station by transferring the toppings to bowls or jars and arranging them close to your hot chocolate pan. Put out plenty of mugs, spoons and mini tongs or scoops for sprinkling on the toppings. Let your guests create their own customised mugs of hot chocolate, then tuck in with the Christmas tunes playing.']"
