name,image,time,ingredient,nutrition,categoty,methode
Iced caramel macchiato,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Iced-Caramel-Macchiato-f4a10f9.jpg,Prep:5,"['two handfuls of ice ', '250ml milk ', '2 tbsp vanilla syrup ', '2 shots espresso or 50ml strong coffee ', '2 tbsp caramel sauce ']","['  kcal 239  ', '  fat 9g  ', '  saturates 6g  ', '  carbs 35g  ', '  sugars 0g  ', '  fibre 0g  ', '  protein 5g  ', '  salt 0.61g  ']",coffee,"['Fill two tall glasses with ice and divide the milk and vanilla syrup between them before mixing well.', 'Pour an espresso shot into each glass, then drizzle with the caramel sauce before serving.']"
Affogato chocolate pots,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Affogato-chocolate-pots-e31ba10.jpg,Prep:15Cook:5plusatleast2hrssetting,"['150g dark chocolate (at least 70% cocoa solids), chopped into small pieces ', '2 shots hot espresso or 100ml hot strong instant coffee ', '150ml double cream ', '½ tsp vanilla extract ', '2 egg yolks (freeze the whites for another recipe) ', '50g golden caster sugar ', '4 of your favourite biscuits to serve with coffee (we used amaretti), plus extra to serve ']","['  kcal 504  ', '  fat 38g  ', '  saturates 22g  ', '  carbs 35g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 5g  ', '  salt 0.1g  ']",coffee,"['Tip the chocolate into a heatproof bowl. Pour the coffee, double cream and vanilla into a small saucepan and bring to the boil over a medium heat, then pour this over the chocolate. Leave to stand for a minute, then stir together until the chocolate has melted and the sauce is smooth. Set aside.', 'Beat the egg yolks and sugar together for 5 mins in a separate bowl using an electric whisk until pale, thick and fluffy. Carefully fold in the melted chocolate mixture until everything is combined into a rich mousse. Crumble the biscuits and put most of the crumbs into the bases of four small coffee cups or ramekins, then spoon over the chocolate mousse. Chill for at least 2 hrs. Will keep chilled for up to two days. Serve cold topped with the remaining crumbled biscuits and some extra whole biscuits on the side for dunking.']"
Plantain puffs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Plantain-puffs-858cba9.jpg,Prep:30Cook:50plus1hrproving,"['2 plantain ', '100ml whole milk ', '50g golden caster sugar, plus 1 tbsp ', '7g sachet fast-action dried yeast ', '400g plain flour, plus extra for dusting ', '150g condensed milk ', '2 x 50ml shots of strong coffee ', '500ml-1 litre vegetable oil for deep-frying ', '75g caster sugar ', '2 tsp ground cinnamon ', '½ tsp ground nutmeg ']","['  kcal 74  ', '  fat 1g  ', '  saturates 0.3g  ', '  carbs 14g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 1g  ', '  salt 0.01g  ']",coffee,"['Heat the oven to 200C/180C fan/gas 6. Roast the plantain, in its skin, for 20-30 mins until the flesh is soft. Meanwhile, gently warm the milk in a pan until lukewarm. Stir in 1 tbsp of the sugar, then add the yeast. Take off the heat and leave to stand for 10 mins.', 'Take the plantain out of the oven and, once cool enough to handle, scoop the flesh into a bowl. Mix the flour with the remaining sugar, then mix in the plantain flesh. Stir in 150ml water gradually using a cutlery knife until you have a loose, sticky dough. Leave in a warm place, covered with a damp tea towel, for 1 hr or until doubled in size.', 'Mix the condensed milk and coffee in a small bowl and set aside. Mix the ingredients for the dusting together in a wide, shallow bowl.', 'Fill a heavy-based saucepan half-full with the oil, and gently heat to 180C. If you don’t have a thermometer, drop a small bit of batter into the oil. It’s ready when the batter drops to the bottom, then rises after 3-5 seconds. Wet your hands to stop the dough sticking, and take a small amount, about the size of a walnut, and carefully drop into the oil. Repeat, working in batches and ensuring there is space enough so the puffs aren’t touching. Cook for 2 mins or until golden brown, then turn and fry for another 2 mins until brown all over. Remove using a slotted spoon and drain on kitchen paper, then roll each puff in the dusting and transfer to a plate. Serve with the coffee sauce on the side, for dunking.']"
Bicerin,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Bicerin-470299c.jpg,Prep:4Cook:3,"['125ml double cream ', '250ml whole milk or single cream ', '50g dark chocolate (at least 70% cocoa solids), finely chopped ', 'demerara sugar, to taste ', '2 shots of freshly brewed espresso ', '10g hazelnuts, finely grated or chopped ', 'pinch of cocoa powder ']","['  kcal 567  ', '  fat 51g  ', '  saturates 29g  ', '  carbs 18g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 7g  ', '  salt 0.2g  ']",coffee,"['Whisk the double cream in a bowl until it holds its shape but is still pourable. Set aside.', 'Pour the milk or single cream into a saucepan with the dark chocolate. Stir continuously over a low-medium heat using a whisk until the mixture comes to the boil. Reduce the heat to low and simmer while continuing to whisk. Add the demerara sugar to taste.', 'Warm two heatproof glasses by rinsing with hot water, then dry and pour in the espresso. Carefully pour over the chocolate mixture, then top with the whipped cream, hazelnuts and a pinch of cocoa powder.']"
Gluten-free chocolate cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Gluten-free-chocolate-cake-eae2d2f.jpg,Prep:45Cook:35,"['150ml vegetable oil, plus extra for the tins ', '175g gluten-free flour ', '1 tsp xanthan gum ', '50g cocoa powder ', '1 tbsp baking powder ', '½ tsp bicarbonate of soda ', '75g dark brown soft sugar ', '75g caster sugar ', '2 tbsp golden syrup ', '2 eggs ', '100g Greek yogurt ', '100ml milk ', '2 tbsp instant coffee, dissolved in 4 tbsp hot water ', '300g icing sugar ', '25g cocoa powder ', '150g soft salted butter ', '3 tbsp milk ', '65g dark chocolate, melted ']","['  kcal 604  ', '  fat 35g  ', '  saturates 13g  ', '  carbs 66g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 6g  ', '  salt 0.9g  ']",coffee,"['Heat the oven to 180C/160C fan/gas 4. Oil the base of two 18cm sandwich tins and line with baking parchment. Mix the flour, xanthan gum, cocoa, baking powder, bicarbonate of soda, a large pinch of salt and both sugars together in a large bowl.', 'Whisk\xa0the golden syrup, eggs, oil, yogurt, milk and coffee together in a jug. Gradually whisk the wet ingredients into the dry until you have a smooth mixture.', 'Pour the mixture into the prepared tins and bake for 30-35 mins until risen and firm to the touch. Remove from the oven and leave to cool for 10 mins in the tins before turning out onto a cooling rack.', 'While the cakes are cooling, make the icing. Beat the icing sugar, cocoa powder, butter and milk together for 5 mins until smooth and fluffy. Gradually pour in the melted chocolate while beating, scraping down the sides of the bowl to make sure everything’s included.', 'Spread half the icing over the middle of one sponge using a small palette knife. Sandwich the other sponge on top, with the flat bottom-side facing up. Spread the remaining icing around the top and sides of the cake, smoothing over with a palette knife. If you have any icing left, you can pipe some rosettes on top of the cake.']"
Espresso & dark chocolate biscotti,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Espresso-and-dark-chocolate-biscotti-cb3ea74.jpg,Prep:20Cook:50pluscoolingandsetting,"['300g plain flour ', '100g caster sugar ', '50g light brown soft sugar ', '1½ tsp baking powder ', '80g vegetable oil ', '1 large egg ', '2 tsp vanilla extract ', '2½ tbsp instant coffee granules, dissolved in 3 tbsp hot water and cooled ', '250g dark chocolate chips ']","['  kcal 192  ', '  fat 8g  ', '  saturates 3g  ', '  carbs 27g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 3g  ', '  salt 0.2g  ']",coffee,"['Heat the oven to 180C/160C fan/gas 4, and line a baking tray with baking parchment. Set aside. Put the flour, sugars, baking powder and a good pinch of salt into a large bowl, then stir to combine.', 'Whisk the oil, egg, vanilla extract and coffee together in a separate small bowl. Slowly pour the wet ingredients into the dry, mixing until you have a dry dough. Fold in 100g of the chocolate chips. Knead the dough until smooth – it will be quite dry, but if it’s too difficult to knead, add another 1 tbsp water. Divide the dough in half, shaping each piece into a 25 x 8cm log, and transfer both to the prepared tray. Bake for 25-30 mins, then leave to cool on the tray for 15 mins.', 'Reduce the oven to 160C/140C fan/gas 3. Slice the biscotti logs into 1-2cm-thick slices crosswise using a sharp knife, you should have about 16. Return to the tray and bake for 15-20 mins more, turning the tray around halfway through. Leave to cool slightly on the tray, then transfer to a wire rack and leave to cool completely. Melt the remaining chocolate chips in the microwave in 20-second bursts until smooth, or in a heatproof bowl set over a pan of barely simmering water, then dip one end of the cooled biscotti into the melted chocolate. Transfer to a sheet of baking parchment and leave to set. Will keep in an airtight container for up to five days.']"
Pumpkin spice latte,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Pumpkin-Spice-Latte-a05c0ca.jpg,Prep:5Cook:5,"['2 tsp pumpkin purée ', 'pinch of ground cinnamon, plus extra to serve (or use pumpkin spice) ', 'pinch of ground ginger ', 'pinch of ground nutmeg ', '30ml espresso or strong coffee ', '250ml milk (any will work) ']","['  kcal 185  ', '  fat 9g  ', '  saturates 6g  ', '  carbs 17g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 8g  ', '  salt 0.28g  ']",coffee,"['Put the pumpkin purée in a large heatproof glass or mug. Stir in the spices and espresso or strong coffee.', 'Heat the milk in a saucepan over a low heat until steaming and frothy. Pour into the glass or mug, and spoon over any froth. Stir to combine, then dust with more cinnamon or some pumpkin spice before serving.']"
Chocolate salted caramel cookie cake,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-cookie-cake1-affeae8.jpg,Prep:40Cook:35pluschilling,"['150ml vegetable oil , plus extra for the tins ', '200g self-raising flour ', '50g cocoa powder ', '1 tsp baking powder ', '250g brown sugar ', '150ml Greek yogurt ', '50ml milk ', '100ml strong coffee , cold ', '2 large eggs ', '100g white chocolate chips ', '150g salted butter , softened ', '300g icing sugar ', '1 tbsp cocoa powder ', '50g dark chocolate ', '200g cookies ', '4 tbsp salted caramel sauce ', '½ tbsp milk ', 'dark chocolate (optional) ']","['  kcal 803  ', '  fat 42g  ', '  saturates 17g  ', '  carbs 95g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 8g  ', '  salt 1g  ']",coffee,"['Heat the oven to 190C/170C fan/gas 5. Oil two\xa020cm sandwich tins and line the bases with non-stick baking paper. Sieve the flour, cocoa and baking powder into a large bowl, then stir\xa0in the sugar. Whisk together the yogurt, milk, coffee and eggs in a jug until combined. Gradually whisk\xa0the wet ingredients into the flour mixture\xa0until you have a smooth batter. Fold in the chocolate chips.', 'Divide\xa0the mixture between the\xa0tins and bake for 30-35 mins, until a skewer inserted into the centre of each sponge\xa0comes out clean. Remove from the tins and put on a wire\xa0rack to cool completely.', 'Meanwhile, make the buttercream. Beat together the butter, icing sugar and cocoa for 5-8 mins until smooth and creamy. Melt the dark chocolate in a bowl over a pan of boiling water, or in 30 second\xa0blasts in the microwave.\xa0Whisk\xa0the melted chocolate into the buttercream until fully incorporated. Put three quarters of it into a piping bag with a large, round nozzle.', 'Put one of the sponges onto a plate and\xa0pipe buttercream around its edge, with dots going around the circumference. Spread 2 tbsp of the remaining buttercream in the centre\xa0of the cake\xa0using a spoon or palette knife.', 'Mix together the caramel and milk with a pinch of salt. Spread\xa0half the caramel into the centre to cover the layer of buttercream.\xa0Crumble half of the cookies on top of that. Chill for 30 mins until the buttercream has hardened slightly.', 'Lay the second sponge on top of the first. Repeat the piping of the dots\xa0around the top of the cake, but this time fill\xa0the whole circle with dots of buttercream. Drizzle the salted caramel over the buttercream dots. Break the remaining cookies\xa0into halves or\xa0quarters and arrange on top of the cake, then grate over a little dark chocolate, if you like.']"
Flourless chocolate cake,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/05/flourless-chocolate-cake.jpg,Prep:35Cook:1hrs20pluscooling,"['225g salted butter, cubed, plus more for the tin', '300g dark chocolate, roughly chopped', '1 tbsp coffee powder', '6 large eggs, whites and yolks separated', '100g soft light brown sugar', '200g caster sugar', '2 tsp vanilla paste', '30g cocoa powder', 'berries, to serve (optional)']","['  kcal 436  ', '  fat 29g  ', '  saturates 17g  ', '  carbs 34g  ', '  sugars 31g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.5g  ']",coffee,"['Heat the oven to 160C/140C fan/gas 3. Butter a 23cm springform cake tin and line the base with baking parchment.', 'Melt the butter and chocolate in a medium heatproof bowl in the microwave or over a pan of gently simmering water. Mix the coffee powder with 2 tbsp hot water until dissolved. Stir the coffee into the chocolate and set aside to cool slightly.', 'Whisk the egg whites in a large bowl for 2 mins with an electric whisk until soft peaks form. In another large bowl, whisk both the sugars, the vanilla and egg yolks for 5-8 mins, or until pale and fluffy. Sift the cocoa powder into the egg yolk mixture and mix gently to combine. ', 'Stir the cooled chocolate into the egg yolk mixture, then gently fold through the egg whites until smooth. Transfer to the tin and bake for 1hr-1hr 20 mins, or until a skewer inserted into the middle of the cake comes out clean. Allow to cool, remove from the tin and serve with fresh berries, if you like.']"
Dalgona coffee,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/04/dalgona-coffee.jpg,Prep:8,"['3 tbsp instant coffee', '2 tbsp sugar', '400-500ml milk (we used whole milk)']","['  kcal 211  ', '  fat 7g  ', '  saturates 5g  ', '  carbs 29g  ', '  sugars 29g  ', '  fibre 0g  ', '  protein 7g  ', '  salt 0.6g  ']",coffee,"['Whisk the coffee, sugar and 3 tbsp boiling water in a bowl for approximately 5 mins until the mixture is thick and fluffy with stiff peaks. This is easiest done using an electric whisk but can be done by hand. ', 'For hot coffee, heat the milk and pour into two heatproof glasses. For cold coffee, pour the cold milk into two glasses. Divide the coffee mixture in half and spoon evenly on top of the glasses. Serve and stir thoroughly before drinking. ']"
Frappé,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2020/02/frappe.jpg,Prep:5,"['200ml strong coffee, chilled', '50ml whole milk', '1-3 tbsp sugar syrup (see goes well with)', 'ice cubes', 'whipped cream or ice cream to serve (optional)']","['  kcal 89  ', '  fat 2g  ', '  saturates 1g  ', '  carbs 16g  ', '  sugars 16g  ', '  fibre 0g  ', '  protein 2g  ', '  salt 0.1g  ']",coffee,"['Pour the coffee into a blender with the milk and two or three\xa0handfuls of ice. Add as much\xa0sugar syrup as you like, starting with a small amount – you can always stir more in at the end if you’d like it sweeter.', 'Blend until foamy and the ice is broken into\xa0slush. Pour into a glass and add a scoop of ice cream or some whipped cream, if you like.']"
Next level chocolate fondant,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/09/chocolate-fondant.jpg,Prep:40Cook:15pluschillingandfreezing,"['200g butter, melted', '3 tbsp cocoa powder, for dusting', '50g caramel sauce', '200g dark chocolate, chopped', '4 tbsp very strong coffee powder (espresso is ideal)', '6 eggs, three whole, plus the yolks of 3 (freeze the leftover egg whites for another recipe)', '75g golden caster sugar', '50g plain flour', '6 small metal pudding basins']","['  kcal 643  ', '  fat 50g  ', '  saturates 29g  ', '  carbs 37g  ', '  sugars 26g  ', '  fibre 5g  ', '  protein 10g  ', '  salt 0.9g  ']",coffee,"['Use 50g of the butter to brush the insides of the pudding basins. Put them on a baking tray and transfer to the fridge to chill until the butter sets. Brush over another layer of the butter, then dust generously with the cocoa. Return to the fridge to set. Mix the caramel sauce with a good pinch of sea salt flakes, then chill in the fridge until ready to use.\xa0', 'Tip the remaining butter, the chocolate and coffee powder into a heatproof bowl. Set the bowl over a pan of gently simmering water, ensuring the bottom of the bowl doesn’t touch the water. Stir the mixture until smooth, adding another small pinch of sea salt. Tip the whole eggs, egg yolks and sugar into another bowl and beat together using an electric whisk until very pale – the whisk should leave a trail in the mixture when lifted. Sift in the flour, then gently fold in the melted chocolate mixture.', 'Spoon the fondant mixture into the prepared basins until just about halfway full, then transfer to the freezer on a baking tray for about 20-25 mins, or until the mixture\xa0is just set. Add 1 tsp of the salted caramel sauce to the middle of each fondant, then top up with the remaining fondant mixture. Return to the freezer until frozen. Can be prepared up to two weeks ahead.', 'Heat the oven to 200C/180C fan/gas 6. Put the fondants on a baking tray and bake for 15 mins until the tops have formed a crust and they are starting to come away from the sides of the basins. Remove from the oven, then leave to rest for 1 min before turning out onto warm plates. Sprinkle with extra sea salt, then serve straightaway.']"
Coffee ice cream terrine,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/07/coffee_terrine.jpg,Prep:20Cook:5Plusatleast2hrsfreezing,"['300g coffee ice cream', '300g vanilla ice cream', '1 tbsp vegetable oil, for the tin', '300g dark chocolate, roughly chopped', '50g coconut oil', '50g honeycomb or Maltesers, crushed']","['  kcal 387  ', '  fat 28g  ', '  saturates 18g  ', '  carbs 27g  ', '  sugars 23g  ', '  fibre 3g  ', '  protein 5g  ', '  salt 0.1g  ']",coffee,"['Leave the ice creams out at room temperature for a few mins to soften slightly. Brush a 1.2-litre loaf tin with the vegetable oil and line with cling film. Put 250g dark chocolate and the coconut oil in a small heatproof bowl over a pan of just simmering water. Stir to melt, then set aside to cool.', 'Spoon half the coffee ice cream into the base of the tin and level the surface. Working quickly, spread over a quarter of the chocolate sauce, then half the vanilla ice cream and another quarter of chocolate sauce. Repeat with the remaining chocolate sauce and ice creams, finishing with a layer of chocolate sauce. Cover loosely with cling film and freeze for at least 2 hrs, or ideally overnight.', 'Melt the remaining 50g chocolate in a heatproof bowl over a pan of simmering water. Lift the terrine out of the tin and turn out onto a plate. Drizzle with the melted chocolate and top with the crushed honeycomb or Maltesers. Cut into thick slices to serve.']"
Coffee-walnut Eton mess,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/06/coffee-walnut-eton-mess.jpg,Prep:20Cook:2,"['400ml double cream', '2 tbsp icing sugar', '4 tbsp coffee essence', '½ tsp vanilla extract', '80g walnut halves', '2 meringue nests, crushed', '120g coffee walnut cake, cut into cubes']","['  kcal 574  ', '  fat 50g  ', '  saturates 25g  ', '  carbs 26g  ', '  sugars 23g  ', '  fibre 1g  ', '  protein 4g  ', '  salt 0.1g  ']",coffee,"['Whisk the double cream and\xa0icing sugar to soft peaks. Fold through the coffee essence and vanilla extract. Toast the walnut halves in a dry frying pan for 2 mins until just golden, then set aside to cool. Roughly chop the toasted walnuts and fold half through the coffee cream. Layer the coffee cream mixture into dessert glasses with the remaining chopped walnuts,\xa0crushed meringue nests and cubed coffee walnut cake, then serve.']"
