name,image,time,ingredient,nutrition,categoty,methode
Strawberry crumble buns,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Strawberry-crumble-buns-c9519d3.jpg,Prep:1hrsCook:30plusrising,"['120g butter, 70g at room temperature and 50g chilled and cubed ', '370g plain flour ', '2 eggs ', '135g caster sugar ', '7g dried fast action yeast ', '100ml milk, lukewarm ', '250g strawberries, halved ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",fruit,"['Melt the 70g butter and let it cool. Sift 300g flour into a bowl, add the eggs, 75g sugar and the yeast and mix everything with a spoon. Slowly add the lukewarm milk and cooled butter. Mix until all ingredients are well combined into a very soft, sticky dough. Cover the bowl with a clean cloth and put in a warm place to rise for 40–60 mins until doubled in volume.', 'To make the crumble, combine the remaining flour with the remaining sugar and chilled butter. Rub the butter into the flour until you have a breadcrumb-like texture. Chill.', 'When the dough has risen, divide it into six portions, squashing it down slightly and then shape each into a ball on a floured worksurface – the dough may still be sticky, so dust it with flour and work quickly. Flatten the balls gently with your hand so that they look like buns. Put on a baking tray lined with baking parchment.', 'Divide the strawberries between the buns, putting them in the centre of each and sprinkle with crumble. Heat the oven to 180C/fan 160C/gas 4. Bake the buns for 25 mins until puffed and cooked. Cool and then dust with icing sugar, if you like.']"
Peach cheesecake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-cheesecake-pie-f329bf6.jpg,Prep:25Cook:1hrs35,"['5 eggs, separated, plus 7 yolks ', '375g icing sugar ', '1 tbsp vanilla sugar ', '1 orange ', '450g plain flour ', '80g potato flour ', '½ tsp baking powder ', '500g butter, cold ', '3 tbsp caster sugar ', '1kg curd cheese, at room temperature ', '50g vanilla pudding (or cornflour plus 1 tsp vanilla extract) ', '3 drops orange extract ', '1 tin peaches ']","['  kcal 576  ', '  fat 11g  ', '  saturates 4g  ', '  carbs 85g  ', '  sugars 0g  ', '  fibre 18g  ', '  protein 27g  ', '  salt 1.5g  ']",fruit,"['Whisk 4 egg yolks with 125g icing sugar and the vanilla sugar until light and fluffy. Scald the orange with hot water and grate off the zest.', 'Sift the plain flour and potato flour and tip them onto a pastry board or lightly floured worksurface, together with the baking powder. Grate over 250g of the butter and chop it through the flour with a knife and then rub it in to make the mixture more like crumbs. Pour on the yolk mixture and orange zest and bring the mixture together, then knead to a soft dough.', 'Cut off a third of the dough, wrap it tightly and put it in the fridge. Roll out the remaining dough and use it to line the base and sides of a 26cm springform pan that you have already lined with a circle of buttered baking parchment. Put the tin in the fridge for 20 minutes. Heat the oven to 180C/fan 160C/gas 4. Line the dough with baking parchment and fill with baking beans to keep the sides in place, then bake the base for 10-15 minutes.', 'To make the filling, push the curd cheese through a metal strainer. Beat the remaining butter until light and fluffy, add the cheese, 8 egg yolks, 80g icing sugar, the pudding powder and orange extract. Mix for about 2 minutes until fluffy. Beat 2 egg whites with a pinch of salt until stiff and beat in the remaining icing sugar to make a stiff meringue mixture. Fold the egg whites into the curd mixture.', 'Beat the remaining 3 egg whites with the caster sugar until meringue-like. Unwrap the raw dough and grate it on a large-tooth grater. Spread the cheese mixture into the baked base. Drain the peaches, cut them into smaller pieces and put them on top of the cheese filling. Cover the dough with meringue, then sprinkle a little grated pastry on top. Knead the remaining dough, roll it out, cut out thin strips and arrange them in a lattice pattern. Bake for 50 mins-1 hr. Cool in the turned off oven for 40 mins before removing. Cool completely.']"
Blueberry cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Blueberry-cake-81763c6.jpg,Prep:10Cook:50,"['1 tsp butter ', '400g frozen blueberries ', '335g flour, plus a spoonful for berries ', '275g caster sugar ', '2 eggs ', '165ml vegetable oil ', '2 tbsp lemon zest ', '65ml lemon juice ', '250ml thick natural yogurt ', '4 tsp baking powder ']","['  kcal 501  ', '  fat 19g  ', '  saturates 4g  ', '  carbs 51g  ', '  sugars 0g  ', '  fibre 19g  ', '  protein 23g  ', '  salt 0.6g  ']",fruit,"['Preheat the oven to 200C/fan 180C/gas 6. Butter a 22cm cake tin, line the bottom with baking parchment. Put a third of the frozen blueberries aside, sprinkle the rest with flour, set aside (do not defrost).', 'In a large bowl, beat the sugar and eggs until smooth, add the vegetable oil, lemon zest and juice and yogurt. Combine the wet ingredients with the flour, baking powder and a pinch of salt using a whisk. Don’t worry if a few lumps remain. Add the blueberries mixed with flour.', 'Pour the cake mixture into the prepared tin. Sprinkle the remaining berries on top. Put the tin in the oven, reduce the temperature to 180C/fan 160C/gas 4. Bake for 1 hr 10 mins-1hr 20 mins or until a skewer inserted into the cake comes out clean. Remove from oven and set aside to cool. After removing from the baking tin, sprinkle the cake with icing sugar, if you like.']"
Royal summer trifle,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/20220324_goodfood2252-d6595a0.jpg,Prep:25Cook:20plusseveralhourschilling,"['500ml fresh shop-bought vanilla custard ', '400g madeira cake, cut into chunks ', '70ml berry cordial of your choice ', '150g raspberries ', '300ml double cream ', '3 tbsp icing sugar ', '1 tsp vanilla bean paste ', '250g strawberries ', 'small handful of mint leaves, to garnish ', '1 orange, halved and sliced ', '6 gelatine leaves ', '100g caster sugar ', '1 lemon, zest pared into strips, juiced ', '500g strawberries, hulled ', 'a drop of red food colouring (optional) ', '600ml double cream ', '200ml caster sugar ', '2 oranges, zested and juiced ']","['  kcal 840  ', '  fat 56g  ', '  saturates 34g  ', '  carbs 75g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 7g  ', '  salt 0.5g  ']",fruit,"['First, make the jelly. Put the gelatine in a small bowl, cover with water and set aside to soak. Meanwhile, tip the sugar, lemon zest and juice and 400ml water into a pan over a low heat and simmer, stirring occasionally until the sugar has dissolved. Add the strawberries and bring to the boil, then reduce the heat to a simmer and cook for 5 mins until the strawberries have broken down. Pour the mixture through a sieve into a jug. Squeeze the excess water from the gelatine and stir this through the strawberry mixture until dissolved, then stir in a drop of red food colouring, if using.\xa0', 'Pour the custard into the base of a 3-litre trifle bowl and top with the cake pieces. Drizzle with the berry cordial and scatter with the raspberries. Slowly and carefully pour over the jelly mixture and chill for 5 hrs until set.', 'When the jelly layer is set, make the orange cream layer. Put the cream, sugar and orange zest in a pan over a low heat and bring to a simmer. Turn up the heat to medium and bubble for 3 mins exactly, then immediately remove from the heat and stir in the orange juice. Pour the mixture through a sieve over the set jelly layer and chill for 4 hrs. ', 'Whip the double cream, icing sugar and vanilla bean paste to soft peaks using an electric whisk, then dollop the whipped cream over the trifle using a large spoon. Chill for at least 1 hr or until ready to serve. Halve most of the strawberries through the stem and scatter these over the trifle along with the mint leaves. Serve the orange slices and remaining whole strawberries in a bowl on the side.']"
Vanilla pavlova with pineapple & passion fruit,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Vanilla-pavlova-with-pineapple-and-passion-fruit-8a83b88.jpg,Prep:25Cook:1hrspluscooling,"['3 egg whites ', '115g caster sugar ', '2 tsp cornflour ', '1 tsp lemon juice ', '200g crème fraîche ', '25g icing sugar ', '¼ tsp vanilla extract ', '200g pineapple, chopped into small chunks ', '2 passion fruit, seeds scooped out ', 'mint leaves, shredded (optional) ']","['  kcal 373  ', '  fat 20g  ', '  saturates 14g  ', '  carbs 43g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 4g  ', '  salt 0.1g  ']",fruit,"['Heat the oven to 130C/110C fan/gas 1. Line a baking sheet with baking parchment. Draw four circles, 8-10cm in diameter, on the baking parchment, then flip over. Whisk the egg whites in a large bowl using an electric whisk until stiff peaks form. Gradually whisk in the sugar until thick and glossy, then the cornflour and lemon juice. Pile the meringue in swirls onto the marked circles, making a dip in the middle, then bake on the lowest shelf for 55 mins-1 hr until crisp on the outside and dry underneath. Turn the oven off, leave the door ajar and leave the meringues to cool completely. Can be made a day ahead and kept in an airtight container.', 'Whisk the crème fraîche in a bowl with the icing sugar and vanilla extract until thick and pillowy. Mix the pineapple and passion fruit together in a separate bowl. To assemble, spoon a quarter of the crème fraîche mixture onto each meringue, top with pineapple and passion fruit and drizzle with the passion fruit juice. Finish with mint leaves to serve, if you like.']"
Citrus marmalade,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Citrus-marmalade--603ac65.jpg,Prep:25Cook:3hrs30pluscooling,"['1kg unwaxed citrus fruit (we used a mixture of grapefruit, lemons and limes) ', '2.25kg granulated sugar ']","['  kcal 46  ', '  fat 0g  ', '  saturates 0g  ', '  carbs 12g  ', '  sugars 0g  ', '  fibre 0.4g  ', '  protein 0g  ', '  salt 0g  ']",fruit,"['Chill a saucer in the freezer, ready for checking the setting point of your jam later. Wash the citrus fruits and remove the top parts that were attached to the stalks.', 'Put the whole citrus fruits in a large saucepan with 2½ litres of cold water. Bring to the boil, then cover the pan and simmer for 2 hrs 30 mins, or until the skins can be pierced easily with a small knife.', 'Use a slotted spoon to scoop the fruits out of the liquid and set aside to cool for at least 10-15 mins. Measure out 1.5 litres of the liquor and pour it back into the pan. If you don’t have enough, top up with water.', 'Halve the citrus fruits, remove the pips and set aside. Cut the peel and flesh into thin 0.2 cm strips (depending on how thick-cut you would like it to be). Tip all of the flesh and skin, along with any juices, back into the pan with the liquid. Put the pips in a small piece of muslin and tie up with string. Add this to the pan as well, which will help the setting process.', 'Tip in the sugar and bring to the boil, stirring frequently. Continue to boil rapidly for 45-50 mins – it should reach 105C. Test the setting point by dropping a little marmalade onto the chilled saucer, allowing it to cool for 1 min, then push gently with your finger. If it crinkles, it has reached the setting point. If it doesn’t, continue to boil and check again after 5-10 mins.', 'Leave the marmalade to cool in the pan for 10-15 mins, then carefully scoop out the muslin bag using a slotted spoon. Gently stir the marmalade in one direction to disperse any air bubbles, then pour into sterilised jars and seal with a lid. Find out how to sterilise jars. Will keep for up to a year.']"
Blueberry smoothie recipe,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Blueberry-smoothie-573aa19.jpg,Prep:5,"['175g blueberries ', '1 small banana, sliced ', '1 tbsp natural or Greek yogurt ', '100ml apple juice, chilled ', '3-4 mint leaves (optional), plus extra to garnish ']","['  kcal 120  ', '  fat 3g  ', '  saturates 2g  ', '  carbs 21g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 3g  ', '  salt 0.05g  ']",fruit,"['Put the blueberries, banana, yogurt, apple juice and mint, if using, in a blender and blitz until smooth. Add a splash of water if it seems too thick.', 'Pour the smoothie into a tall glass with a glass straw to serve. Garnish with a sprig of mint, if you like.']"
Baked oats,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Easy-Classic-Baked-Oats-b173e46.jpg,Prep:5Cook:25,"['100g porridge oats ', '1 tsp baking powder ', '1 banana, peeled and chopped ', '1 tbsp maple syrup or honey ', '2 eggs ', 'pinch of mixed spice or ground cinnamon ', '100g chocolate chips, blueberries or raspberries, plus extra to serve ', 'flavourless oil, for the ramekins ']","['  kcal 300  ', '  fat 12g  ', '  saturates 6g  ', '  carbs 38g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 8g  ', '  salt 0.5g  ']",fruit,"['Heat the oven to 180C/160C fan/gas 4. Put the oats in a blender and pulse a few times until they start to resemble flour. Add the baking powder, chopped banana, maple syrup or honey, eggs and mixed spice or cinnamon, and whizz until smooth. Stir in the chocolate chips or berries.', 'Lightly oil four heatproof ramekins, then divide the batter between them. Bake for 20-25 mins, or until well-risen and the baked oats spring back when lightly pressed. Scatter with more chocolate chips or berries before serving, if you like.']"
Chocolate orange baked cheesecake,https://images.immediate.co.uk/production/volatile/sites/30/2021/11/Chocolate-orange-baked-cheesecake-521efd6.jpg,Prep:1hrsCook:1hrs15plus6hrschilling,"['225g gingernuts or digestives ', '115g unsalted butter, melted ', '1 orange, zested ', 'candied orange slices, to serve (optional) ', '600g full-fat soft cheese ', '3 eggs, plus 2 egg yolks (freeze the extra white for another recipe) ', '175g double cream ', '175g light brown soft sugar ', '350g dark chocolate (at least 70% cocoa solids), roughly chopped, plus extra to serve ', '3 oranges, zested ']","['  kcal 532  ', '  fat 38g  ', '  saturates 23g  ', '  carbs 39g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.5g  ']",fruit,"['For the filling, take the soft cheese, eggs and double cream out of the fridge to come to room temperature 1 hr before you begin. Heat the oven to 180C/160C fan/gas 4 and line the base of a 23cm springform cake tin with baking parchment: unclip the ring, lay the parchment over the base and clip the ring back. This will ensure there is no lip on the bottom of the finished cheesecake.', 'Tip the gingernuts into a food processor and blitz to a fine crumb. Add the melted butter and orange zest, then blitz briefly until the crumbs are coated. Tip the mixture into the prepared tin and press into an even layer using the back of a spoon. Bake for 10-15 mins until the base is slightly crisped up.', 'Beat the soft cheese and light brown sugar together until creamy using an electric whisk. Whisk in the whole eggs, the egg yolks and cream until smooth. Tip the dark chocolate into a heatproof bowl and melt in the microwave in 20-second bursts, or do this in a heatproof bowl set over a pan of simmering water, ensuring the bowl doesn’t touch the water. Leave to cool until warm to the touch. Slowly pour the melted chocolate over the soft cheese mixture, whisking continuously until combined. Stir in the orange zest, reserving the oranges.', 'Tightly wrap the bottom of the cake tin in foil to prevent leaking, then sit it in a deep roasting tin. Pour the cheesecake filling over the biscuit base. Put the roasting tin in the oven, then pour enough hot water into the roasting tin to come 2½cm up the side of the cake tin. Bake for 1 hr-1 hr 15 mins until the edge of the cheesecake is set, but the centre has a slight wobble (it will continue to set in the fridge).', 'Put the cake tin on a wire rack, then run a small, sharp knife around the edge to loosen. Remove the foil and leave to cool completely in the tin, then chill for at least 6 hrs in the fridge before removing to a plate. Segment the reserved oranges, avoiding the pith, and use these to decorate the top along with a grating of dark chocolate and candied orange slices, if you like. Will keep covered in the fridge for up to three days.']"
Strawberry halva hamantaschen,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Hamantaschen-258bb24.jpg,Prep:45Cook:20plusabout1hr30chillingandcooling,"['300g plain flour, plus extra for dusting ', '165g unsalted butter, softened ', '65g icing sugar ', '50g double cream ', '1 egg yolk ', '120ml tahini ', '2 tbsp honey ', '100g strawberry jam ', '1 egg, beaten ']","['  kcal 166  ', '  fat 10g  ', '  saturates 5g  ', '  carbs 16g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 3g  ', '  salt 0.04g  ']",fruit,"['To make the dough, mix all the ingredients together with your hands to form a dough. Cut it in half and form into two discs. Wrap the discs and chill for about 1 hr.', 'To make the halva filling, mix the tahini and honey in a small bowl with a pinch of sea salt. If it’s very thick, add a little water – take care not to add too much or it will become too liquid.', ""Roll out one of the pieces of dough on a lightly floured surface until it's about 2-3mm thick. It’s important to keep it thin or the hamantaschen will be too chunky once folded. Cut out circles of the dough using a 6 or 7cm pastry cutter – the smaller the cutter, the more hamantaschen you will have."", ""Smear about ½ tsp of the halva filling on each circle, and top with about ¼ tsp jam – you don't want any more than about a teaspoon of the two combined, or it will be awkward to fold and the filling will ooze out when baking."", ""To assemble the hamantaschen, paint the outer edge of a circle very lightly with egg wash. Take the lower left edge of the circle (if it was a clock face, it would be from 5 to 8 o'clock) and fold it at an angle towards the centre to make a flap that covers the left third of the circle. Next, take the opposite side of the circle (7 to 3 o’clock) and fold it up towards the centre, slightly overlapping the left side flap to create a triangular tip at the bottom of the circle. You should be able to see the filling in the middle. Finally, fold the top part of the circle downwards to create a third flap and complete the triangle — a small triangle of filling should be visible in the centre. Gently press the points of the triangle together to make them really stick. Ideally, you want the edges to be over the next one on one side and under on the other to create a pinwheel effect. Place the hamantaschen on a baking tray lined with baking parchment and chill for 20-30 mins to firm up. Repeat with the remaining circles, then with the second disc of dough and the remaining filling."", 'Heat the oven to 180C/160C fan/gas 4. Bake for about 20 mins until golden brown – check after 15 mins that they’re not getting too dark. Transfer to a wire rack to cool.']"
