name,image,time,ingredient,nutrition,categoty,methode
Fruity flapjack cookies,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Fruity-flapjack-cookies-173ad8f.jpg,Prep:20Cook:40,"['125g jumbo oats ', '150g softened butter ', '100g light muscovado sugar ', '1 egg ', '1 tbsp golden syrup ', '½ tsp vanilla extract ', '100g self-raising flour ', '100g mixed dried fruit or raisins ', '75g dried apricots, finely chopped ', '50g desiccated coconut ', '½ tsp ground cinnamon (optional) ']","['  kcal 247  ', '  fat 12g  ', '  saturates 7g  ', '  carbs 31g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 3g  ', '  salt 0.4g  ']",grains-pulses,"['Heat the oven to 180C/160C fan/gas 4. Scatter the oats over a baking tray and bake for 20 mins, turning once until lightly browned. Remove from the oven and set aside to cool. Tip the butter and sugar into a bowl and beat with an electric whisk for 2 mins until fluffy. Crack in the egg and add the golden syrup and vanilla, then beat until completely combined. Scatter in the flour, all the dried fruit, the coconut, cinnamon (if using), the toasted oats and a pinch of salt. Beat again until everything is combined and you have a thick dough. Use the dough straightaway or cover and chill for up to two days.', 'Line two baking sheets with baking parchment and arrange six large spoonfuls of dough on each, well- spaced apart. Bake for 15 mins (or 18-20 mins if the dough is fridge-cold) until the cookies have spread and are brown at the edges but soft in the middle. Leave to cool on the baking sheet for 5 mins, then transfer to a wire rack and leave to cool completely. Will keep in an airtight container or tin for up to five days.']"
Harira,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:15Cook:1hrs35,"['1 tbsp olive oil ', '300g braising beef or boneless beef, trimmed of excess fat, cut into 3cm pieces ', '1 small onion, finely chopped ', '1 tsp ground turmeric ', '½ tsp ground black pepper ', '¼ tsp ground ginger ', '1 tbsp chopped fresh parsley ', '1 tbsp tomato purée ', 'pinch of saffron ', '70g dried chickpeas, soaked overnight and drained (or 140g canned chickpeas, drained) ', '6 large tomatoes, grated or blitzed in a food processor ', '100g celery (2 stalks), finely chopped ', '80g dried green lentils ', '3 tbsp cornflour or plain flour ', '2 tbsp chopped fresh coriander and lemon wedges, to serve ']","['  kcal 224  ', '  fat 6g  ', '  saturates 2g  ', '  carbs 23g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 17g  ', '  salt 1.3g  ']",grains-pulses,"['Heat the olive oil in a large flameproof casserole over a medium heat. Add the meat, onion and spices with 1½ tsp salt. Leave for 5-10 mins to lightly brown the meat, stirring occasionally. Add the rest of the ingredients except the lentils, cornflour, coriander and lemon wedges. Add 1 litre of boiling water, bring to the boil, cover with a lid and reduce the heat to low. Leave to simmer for 1 hr.', 'Add the lentils to the casserole, cover with a lid and cook for a further 20 mins. When the chickpeas, meat and lentils are cooked, mix the cornflour in a small bowl with 3 tbsp water, and stir until smooth. Stir the cornflour mixture into the casserole. Simmer for 5 mins until the harira thickens and takes on a velvety texture.', 'Scatter over the coriander, then serve hot with lemon wedges on the side for squeezing over.']"
Classic minestrone soup,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Classic-Minestrone-Soup-13720e5.jpg,Prep:15Cook:50,"['3 tbsp olive oil, plus extra to serve ', '1 onion, finely chopped ', '1 celery stick, finely chopped ', '1 carrot, peeled and finely chopped ', '1 courgette, finely chopped ', '70g diced smoked pancetta ', '1 large garlic clove, crushed ', '½ tsp dried oregano ', '1 x 400g can cannellini beans ', '1 x 400g can chopped tomatoes ', '2 tbsp tomato purée ', '1.2 litre vegetable stock ', '1 bay leaf ', '70g small pasta ', '100g greens - kale, chard or cavolo nero work well ', 'handful of basil ', 'finely grated parmesan, to serve ']","['  kcal 225  ', '  fat 10g  ', '  saturates 2g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 9g  ', '  salt 0.98g  ']",grains-pulses,"['Heat the oil in a large saucepan or casserole pot over a low-medium heat and gently fry the onion, celery, carrot, courgette and pancetta for 10 mins. Add the garlic and oregano, and cook for 1 min. Tip in the beans, chopped tomatoes, purée, stock and bay leaf. Season to taste. Bring to the simmer and cook for 30 mins.', 'Add the pasta and greens, and cook for a further 10 mins. Ladle into bowls and scatter with the basil and some parmesan.']"
Fennel-roasted cauliflower with quinoa,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Fennel-roasted-cauliflower-with-quinoa-2437e83.jpg,Prep:15Cook:40,"['1 large cauliflower, or 2 small ones, separated into florets ', '1 tbsp fennel seeds ', '1 tsp coriander seeds ', '1 tsp smoked paprika ', '2 tbsp olive oil ', '1 red onion, chopped ', '2 peppers (mix of red, yellow or orange), chopped ', '1 courgette, halved lengthways, cored and chopped ', '1 small garlic clove, crushed ', '1 lemon, juiced and zested ', '4 tbsp yogurt ', '250g quinoa, cooked ']","['  kcal 260  ', '  fat 10g  ', '  saturates 2g  ', '  carbs 27g  ', '  sugars 0g  ', '  fibre 9g  ', '  protein 10g  ', '  salt 0.1g  ']",grains-pulses,"['Heat the oven to 200C/180C fan/gas 6. Bring a large pan of salted water to the boil and cook the cauliflower for 5 mins. Drain and spread out on a surface so any excess water evaporates.', 'Crush the fennel and coriander seeds using a pestle and mortar and mix with the paprika and a pinch of seasoning Put the cauliflower in a large bowl, drizzle with half the olive oil and sprinkle over the spice mix. Toss the florets to fully coat them.', 'Tip the florets onto a baking tray and space them apart. Put the red onions, peppers and courgettes on a separate baking tray, drizzle with the remaining oil, and cook both for 30-35 mins, turning halfway through so they brown all over and turn slightly crisp in places.', 'Mix the garlic with lemon juice and stir through the yogurt, adding a little extra water to loosen if needed. Stir the roasted onions, peppers and courgettes into the cooked quinoa along with the lemon zest and a pinch of salt.', 'Pile the quinoa salad onto a plate, then top with the cauliflower florets. Drizzle over the garlic yogurt.']"
Lentil dumplings in yogurt (dahi bhalla),https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Dhai-bhalle-7f90c94.jpg,Prep:40Cook:20,"['65g skinned white urad dal (dhuli urad), soaked overnight ', '65g yellow mung dal, soaked overnight ', '¾ tsp ground cumin ', '¼ tsp coarsely ground black peppercorns ', '40g ginger, peeled and roughly chopped ', '2 green chillies, deseeded and roughly chopped ', '½ tsp bicarbonate of soda ', 'vegetable or sunflower oil for deep-frying ', '1 x 268ml carton buttermilk ', '300ml Greek or natural yogurt ', '1 tsp caster sugar ', '3-4 tbsp milk ', '1 tsp ground cumin ', '¼ tsp Kashmiri chilli powder ', '2 tbsp coriander relish ', '4 tbsp date & tamarind sauce ', 'a few coriander leaves ']","['  kcal 251  ', '  fat 16g  ', '  saturates 4g  ', '  carbs 16g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 11g  ', '  salt 0.42g  ']",grains-pulses,"['Drain both lots of lentils using a sieve and discard the soaking water. Tip into a food processor and add the ground cumin, peppercorns, ginger and green chillies. Blitz to a soft paste, adding 1-2 tbsp water as required.', 'Spoon the lentil mixture into a bowl and beat vigorously for 5-7 mins, or until the mixture becomes light and fluffy. It’s easier to do this in a food mixer fitted with a beater.', 'Heat the oil in a wok or karahi over a medium heat, ensuring it is no more than two-thirds full. Stir the bicarbonate of soda into the lentil mixture, then use two dessert spoons to gently scoop and shape dumplings about the size of a small walnut. Working in batches, lower the dumplings into the oil using a slotted spoon.', 'Fry the dumplings for 3-4 mins on each side, turning with a slotted spoon, until golden. Lift out and drain on kitchen paper. You should have 22-24 dumplings when all the batter is used up. Set aside.', 'Whisk the buttermilk with an equal quantity of cold water in a large shallow baking dish. Coat the dumplings in the buttermilk mixture and leave overnight in the fridge (they will soften as they soak).', 'The next day, gently press the dumplings to remove any excess buttermilk and arrange on a serving plate.', 'To serve, whisk the yogurt with the sugar and enough milk to create a consistency that is just thick enough to coat the dumplings. Coat the dumplings with the yogurt and sprinkle with the ground cumin and chilli powder. Drizzle over some coriander relish and date & tamarind sauce, then sprinkle with the coriander leaves.']"
Scotch broth,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Scotch-broth-899f7bb.jpg,Prep:20Cook:1hrs25plusovernightsoaking,"['250g broth mix (or a mixture of 75g pearl barley, 75g yellow split peas, 50g red split lentils and 50g green split or marrowfat peas) ', '1 tbsp vegetable or olive oil ', '1 large onion, finely chopped ', '1 leek, washed and sliced ', '1 medium turnip, peeled and finely chopped ', '3 carrots, finely chopped ', '3 celery sticks, trimmed and finely chopped ', '3 litres lamb stock ', '200g kale chopped ']","['  kcal 278  ', '  fat 4g  ', '  saturates 0.4g  ', '  carbs 25g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 33g  ', '  salt 0.1g  ']",grains-pulses,"['Rinse the soup mix and soak in cold water for 8 hrs or overnight, covered in a cool place. Drain and rinse well.', 'Heat the oil in a large pan and fry the onion, leek, turnip, carrots and celery for 10 mins, covered with a lid, until soft but not golden. Add a generous pinch of salt and a good grinding of pepper.', 'Pour the stock into the pan and bring to a simmer. Add the drained soup mix, and gently simmer for 1 hr part-covered, until the barley and split peas are tender. Season again if needed. Stir in the kale, and cook for 10-15 mins until tender, then ladle into bowls to serve.']"
Saffron flatbread filled with lentils & jaggery (puran poli),https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Puran-poli-5d069b7.jpg,"Prep:30Cook:1hrsplusovernightsoaking,restingandcooling","['100g split yellow lentils (bengal gram or chana dhal) ', '125g jaggery or light muscovado sugar ', '2 tsp fennel seeds ', '¼ tsp grated nutmeg ', '½ tsp ground cardamom ', '250g plain flour ', '½ tsp fine salt ', '1 tbsp melted ghee, plus extra for rolling and cooking ', '¼ tsp saffron strands, soaked in 2 tbsp warm water ']","['  kcal 504  ', '  fat 18g  ', '  saturates 10g  ', '  carbs 77g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.7g  ']",grains-pulses,"['Wash the lentils and cover with cold water in a bowl. Leave to soak overnight.', 'Drain the lentils and put them in a pressure cooker. Pour over enough water to cover them by about 3cm. Cook for 20-30 mins, until completely soft. Alternatively, cook them in a medium pan for about 1-1½ hrs until tender, adding extra water as needed to prevent them catching. Drain and leave to cool.', 'Tip the cooled lentils into a food processor and whizz to a paste. Transfer the paste to a heavy-bottomed frying pan and add the jaggery, fennel seeds, nutmeg and cardamom. Cook over a medium heat for 5-7 mins, stirring all the time, until the paste has thickened. Set aside to cool.', 'To make the dough, sieve the flour and salt into a mixing bowl. Rub the ghee into the flour with your fingertips, then add the saffron and its soaking water followed by enough cold water (about 100-125ml) to make a soft, but not sticky, dough. Knead in the bowl until smooth, then cover and leave to rest for 30 mins.', 'Knead the dough for 1 min, then divide into nine 40g portions. Shape each into a 4cm diameter ball with your hands. Shape the lentil paste into slightly smaller 3cm balls in the same way.', 'Make an indentation in the middle of one of the dough balls with your fingers, pressing it into a bowl-like shape. Put one of the lentil balls in the cavity and pull the dough around it, pinching the edges together so the lentil ball is completely enclosed. Flatten it to a 2cm-thick disc and roll it out on a lightly oiled surface to a circle 17cm in diameter. Aim for the thickness of a £1 coin.', 'Heat a griddle or heavy frying pan over a medium heat and carefully lift the disc onto the griddle. Drizzle 1 tsp of melted ghee around the edges and cook on one side for 2-3 mins, until it starts to colour. Flip over using a fish slice and spoon another 1-2 tsp melted ghee around the edges. Cook\xa0 for a further 2-3 mins until golden. Repeat this process with the remaining dough balls. Serve straightaway with a glass of chilled milk or masala chai.']"
Beef & Boston baked beans,https://images.immediate.co.uk/production/volatile/sites/30/2021/01/Beef-and-Boston-baked-beans-5678a51.jpg,Prep:20Cook:4hrs30plusovernightsoaking,"['300g dried cannellini beans ', '1 fresh bay leaf ', '1 tbsp vegetable oil ', '500g beef shin, cut into 4cm chunks ', '120g smoked lardons ', '1 large onion, cut into wedges ', '2 large garlic cloves, thinly sliced ', '100g treacle ', '2 tbsp tomato purée ', '1 tbsp mustard powder ', 'pinch of ground cloves ', 'jacket potatoes or bread and coleslaw, to serve ']","['  kcal 400  ', '  fat 12g  ', '  saturates 3g  ', '  carbs 36g  ', '  sugars 0g  ', '  fibre 11g  ', '  protein 32g  ', '  salt 0.7g  ']",grains-pulses,"['Tip the beans into a large pan, then pour in enough water to cover the beans by 5cm. Add the bay and leave to soak overnight. The next day, drain the beans, return to the pan and pour in enough fresh water to cover the beans by 3cm. Bring to the boil, reduce the heat to a simmer and cook for 20 mins until the beans are tender (you may need to top up the water slightly as they cook).', 'Heat the oven to 140C/120C fan/gas 2. Heat the oil in a large casserole or ovenproof saucepan, and fry the beef for 5 mins over a high heat until evenly browned (you’ll need to do this in batches). Transfer to a plate using a slotted spoon. Add the lardons and onion to the pan, and cook over a medium- high heat for 5-7 mins until the onions are turning golden and the lardons are starting to crisp.', 'Stir the beef back into the pan. Add the beans along with the cooking liquid, and stir in the garlic, treacle, tomato purée, mustard powder and cloves. Season, then top up with some water so the beans are covered by 2-3cm. Cover and bring to a simmer, then transfer to the oven for 2 hrs 30 mins. Remove the lid, stir and return to the oven for 1 hr 30 mins until the meat is tender and the sauce rich. Once cooled, the beans can be frozen for up to three months (see below). Serve with jacket potatoes or bread and coleslaw.']"
Kisir,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/02/kisir.jpg,Prep:25Cook:5,"['1 tbsp olive oil', '1 small, sliced red onion', '2 garlic cloves, very finely chopped', '2 tsp ground cumin', '1 red chilli, halved, deseeded and cut into fine shreds', '1 green chilli, halved, deseeded and cut into fine shreds', '1¾ tbsp tomato purée', '250g bulgur wheat', '4 plum tomatoes, chopped', '15g walnuts, roughly chopped', 'pomegranate seeds from ½ pomegranate (about 60g)', '30g bunch flat-leaf parsley, finely chopped', 'big handful mint leaves, torn', '1 large lemon, juiced', '85ml extra virgin olive oil', '1¾ tbsp pomegranate molasses']","['  kcal 371  ', '  fat 19g  ', '  saturates 3g  ', '  carbs 40g  ', '  sugars 9g  ', '  fibre 5g  ', '  protein 7g  ', '  salt 0.2g  ']",grains-pulses,"['Heat the oil in a medium sized saucepan and sauté the onion to just take off the raw edge. Add the garlic and cook for another 30 secs or so. Add the cumin and chillies and cook for another 1 min. Stir in the tomato purée and 175ml boiling water. Add the bulgur, season, stir everything together, remove from the heat, cover and leave to sit for about 15 mins. The water should have been absorbed.', 'Fork the grains to separate and aerate them, then add the tomatoes, walnuts, pomegranate seeds and herbs and fork them through. Mix the lemon juice, extra virgin olive oil and pomegranate molasses in a small bowl. Add three quarters of this, then taste to see if it needs any more (if it seems well flavoured and moist enough, then leave it).', 'The kisir can sit at room temperature for a few hours, or covered in the fridge – but let it come to room temperature before serving.']"
Raspberry & lemon polenta cake,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/recipe-image-legacy-id--1259699_8.jpg,Prep:15Cook:30,"['225g very soft butter', '225g caster sugar, plus 1 tbsp', '4 eggs, beaten', '175g fine polenta', '50g plain flour', '1½ tsp baking powder', '½ tsp vanilla extract', 'finely grated zest of 1½ lemons', '200g frozen raspberries, left frozen', 'icing sugar, or more to taste (optional)', '100g soft cheese at room temperature (we used Philadelphia)', '1 tbsp icing sugar, or more to taste', 'finely grated zest of ½ lemon, plus a squeeze of juice', '142ml tub double cream', '100g frozen raspberries, defrosted']","['  kcal 608  ', '  fat 40g  ', '  saturates 23g  ', '  carbs 58g  ', '  sugars 38g  ', '  fibre 2g  ', '  protein 8g  ', '  salt 0.97g  ']",grains-pulses,"['Heat oven to 190C/fan 170C/gas 5 and butter two 20cm sandwich tins. Line the bottom of the tins with baking paper. In a large bowl, beat the butter and 225g caster sugar together until creamy and light. Gradually add the egg, little by little, until all the egg is worked in and the mix is pale and fluffy. If the mix looks like it’s starting to split, add 1 tsp of the flour, then carry on. ', 'Put the polenta in another bowl, then stir in the flour and baking powder. Beat the vanilla extract and zest into the eggy mix, then fold in the dry ingredients. Spoon half the batter into each tin and level the top. Scatter all but a handful of the raspberries over the mix and poke in gently. Sprinkle one of the sponges with the 1 tbsp sugar. Bake for 20 mins until risen and golden, but still with a little wobble under the crust. ', 'Open the oven, whip out the sugar-crusted sponge and quickly poke the remaining frozen raspberries into the top. Bake both sponges for 10 more mins or until springy in the middle. If this sounds too tricky, just leave the sponges to bake for 30 mins – the cake won’t look as glam, but will still taste great (you can add the leftover berries to the filling instead). Cool in the tin for 10 mins, then cool completely on a rack. Be careful when turning out the raspberry-topped sponge and slide it off its base rather than turning it upside down. ', 'When the sponges are cold, beat the soft cheese with the icing sugar, lemon zest and a little of the juice to loosen if it needs it. Very lightly whip the cream so that it just holds its shape, then fold into the cheese. Fold in the defrosted raspberries. Use to sandwich the sponges together, sugar-crusted on top, and serve dusted with more icing sugar. ']"
