name,image,time,ingredient,nutrition,categoty,methode
Parsley & caper dressing,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Parsley-and-caper-dressing-f6c9ce4.jpg,Prep:10Nocook,"['2 tbsp capers, drained ', 'small bunch of flat-leaf parsley ', '2 tsp Dijon mustard ', '4 tbsp olive oil ', '1 tbsp red wine vinegar ']","['  kcal 219  ', '  fat 23g  ', '  saturates 3g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 1g  ', '  salt 1.1g  ']",meat,"['Finely chop the capers and parsley by hand.', ""Tip the chopped parsley and capers into a bowl and stir through the mustard, olive oil and vinegar to make a dressing. Alternatively, tip everything into a mini chopper and blitz until it's as smooth as you want it. Serve with the lamb chops and potatoes. Will keep chilled for up to three days.""]"
One-pan roast rack of lamb & green olive potatoes,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/One-pan-roast-rack-of-lamb-and-green-olive-potatoes-b36ab75.jpg,Prep:25Cook:1hrs15plusresting,"['1 rack of lamb (6 bones is ideal) ', '25g butter ', '1 onion, finely sliced ', '1 garlic clove, crushed ', '1 anchovy, crushed using a pestle and mortar (optional) ', 'small handful of rosemary springs, roughly chopped ', '500g Maris Piper or King Edward potatoes, finely sliced (use a mandoline if you have one) ', '10 pitted green olives, chopped ', '100ml chicken or lamb stock ']","['  kcal 748  ', '  fat 44g  ', '  saturates 22g  ', '  carbs 53g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 31g  ', '  salt 1.2g  ']",meat,"['Heat the oven to 210C/190C fan/gas 7. Generously season the lamb all over and heat the butter in a large ovenproof frying pan over a medium heat. Brown the lamb all over for 10-15 mins, especially the fat side. Remove and set aside on a plate.', 'Put the pan back on the heat and fry the onion for 5-7 mins until softened, then add the garlic, anchovy (if using) and rosemary, and fry for 2 mins more. Carefully arrange the potatoes in the pan with the olives, season, then turn them over so they’re fully coated in the mixture, then spread out in an even layer. Pour over the stock, then put in the oven for 30 mins until the potatoes start to crisp at the edges.', ""Sit the lamb on top of the potatoes, fat-side up, and drizzle over any of the juices from the plate. Put the pan back in the oven for 20 mins for lamb that’s rare, 25 mins for lamb that’s pink but cooked through, and 30 mins for well done. When the lamb is done to your liking, lift onto a carving board and leave to rest for 10 mins. During this time, put the potatoes back in the oven to make them extra crisp. Cut the lamb into chops and serve with the potatoes, the cavolo nero and parsley & caper dressing (see 'goes well with', below).""]"
Meze meatballs,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Meze-meatballs-9509fc5.jpg,Prep:30Cook:15plusatleast30chilling,"['100g breadcrumbs ', '50ml milk ', '400g beef or lamb mince ', '1 egg ', '2 tsp dried oregano ', 'small bunch of flat-leaf parsley, finely chopped ', '1 onion, coarsely grated ', '2 garlic cloves, finely grated ', '2 tbsp plain flour ', '2 tbsp olive oil ', '½ cucumber, chopped into chunks ', '12 cherry tomatoes, quartered ', '1 red onion, finely sliced ', 'hummus ', 'tzatziki ', '4 pittas ']","['  kcal 802  ', '  fat 39g  ', '  saturates 10g  ', '  carbs 71g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 39g  ', '  salt 2g  ']",meat,"['Put the breadcrumbs in a bowl and add the milk. Leave for 5 mins, or until the milk has been absorbed. Add the rest of the meatball ingredients, except the flour and oil. Season well with salt and pepper and mix everything well with your hands, then shape into meatballs a bit larger than a cherry tomato. You should have about 24. Cover and chill the meatballs for at least 30 mins. Will keep covered and chilled for up to 24 hrs.', 'When you’re ready to cook, tip the flour into a shallow bowl. Roll the meatballs in the flour to coat, then heat the oil in a large frying pan over a medium heat. Fry the meatballs for 10-12 mins, rolling them around the pan until nicely browned on all sides and cooked through. To serve, arrange on a platter with some chopped salad made using the cucumber, tomatoes and red onion, and bowls of hummus and tzatziki alongside. Toast the pittas and let everyone make their own meatball kebab, stuffing the meatballs, salad and dips into the pittas.']"
Fatteh makdous (lamb-stuffed baby aubergines in tomato & tahini sauce),https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Fatteh-makdous-66ab5b9.jpg,Prep:20Cook:1hrs,"['oil, for deep-frying ', '8 baby aubergines ', '2 large round flatbreads, cut into squares ', 'cashew nuts, to serve ', 'oil, for frying ', '¼ tsp cumin seeds ', '1 garlic clove, crushed ', '1 tbsp tomato paste ', '½ tsp mild madras powder ', '½ tsp black pepper ', '½ tsp ground cumin ', '½ tsp seven spice powder (see tip, below) ', '100g lamb mince ', 'olive oil, for frying ', '25g pine nuts ', '200ml Greek yogurt ', '4 tbsp tahini ', '½ lemon, juiced ', '1 garlic clove, crushed ']","['  kcal 502  ', '  fat 35g  ', '  saturates 8g  ', '  carbs 24g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 19g  ', '  salt 0.4g  ']",meat,"['First, make the red sauce. Heat a little oil in a pan, then add the cumin seeds and fry until they smell fragrant. Add the rest of the ingredients along with ½ tsp salt and 200ml water, and cook until the sauce thickens a little – it should be the consistency of single cream.', 'Trim the tops off the baby aubergines, then peel strips of skin off in stripes and hollow out the core out witha small sharp knife or the end of a teaspoon. Soak the aubergines in salted cold water so they keep their colour, then drain well, squeeze lightly and pat dry.', 'Fill a pan one-third full of oil and heat until a cube of bread browns in 30 seconds. Deep-fry the flatbread pieces until they are crisp and browned but not burnt, about 30-40 seconds. Drain well. Deep-fry the aubergine in batches for 4-5 mins until browned and tender, then drain on kitchen paper.', 'Fry the minced lamb in a pan with a little olive oil until browned and cooked through, then add the pine nuts and season. Stuff the aubergines with the lamb mince mixture – you can either stuff the mince into the hole at either end, or split the aubergines and then add the stuffing (this way allows you to get more lamb in). Put the stuffed aubergines in a pan with 6 tbsp of the red sauce and cook for 5 mins.', 'Put the Greek yogurt, tahini, lemon juice, garlic and some salt in a bowl, and mix well. If it feels a little thick, add some cold water. You can make this ahead and chill in the fridge until ready to serve.', 'To serve, spoon the tahini yogurt into a large bowl. Top with a handful of the flatbread chips, the aubergines and all the red sauce. Finish with a sprinkle of cashew nuts, then serve the rest of the chips on the side.']"
Minced lamb & lentil patties (shami kebab),https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Minced-lamb-and-lentil-patties-7e1f4aa.jpg,"Prep:40Cook:1hrsplusatleast3hrssoaking,coolingandchilling","['80g split Bengal gram (chana dal) ', '30g ghee ', '1 onion, finely chopped ', '500g lamb mince ', '10 garlic cloves ', '50g ginger, peeled and finely chopped ', '1 tsp Kashmiri chilli powder ', '1 tsp garam masala ', '½ tsp black cumin seeds (shahi jeera), or ½ tsp ground cumin ', '1 egg, lightly beaten ', '1 lime, juiced ', '4 tbsp roughly chopped coriander ', '2 green chillies, finely chopped ', '50ml sunflower oil ', '150ml full-fat Greek yogurt ', '1 small garlic clove, crushed ', '2 tbsp shredded mint leaves ', '1 tsp ground cumin ', '1 tsp caster sugar ', 'lime juice, for seasoning ']","['  kcal 372  ', '  fat 24g  ', '  saturates 11g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 23g  ', '  salt 0.29g  ']",meat,"['Put the split Bengal gram in a small heatproof bowl, cover with boiling water from the kettle and leave to soak for 3 hrs or ideally overnight, if you have the time.', 'Melt the ghee in a flameproof casserole over a medium heat and fry the onions for 7-10 mins until starting to turn golden. Add the lamb mince. Peel the whole garlic cloves and tip these into the dish along with the ginger and cook, stirring often, for 10 mins more until any liquid from the lamb evaporates. Drain the soaked Bengal gram and add this to the dish with the chilli powder, garam masala and black cumin seeds or ground cumin.', 'Pour over 300ml hot water to just barely cover the mince, cover with a lid, reduce the heat and simmer for 20-25 mins until the mince is tender. Remove the lid and continue to cook, stirring frequently, until all the water has evaporated and the Bengal gram is tender. By now, the mince will be dry and crumbly in texture. Spread the mixture out on a baking tray and leave to cool completely before transferring to a large food processor.', 'Add the beaten egg, lime juice, coriander and green chillies to the processor and blend until smooth. Using damp hands, roll the lamb mixture into about 20 walnut-sized balls. Flatten each ball in your palm into a 4cm patty (with a thickness of 1cm) using your fingers. Transfer to a baking tray lined with baking parchment and chill for 30 mins.', 'For the mint raita, mix the yogurt with the garlic, mint, cumin and sugar and add enough lime juice to sharpen the flavour. Taste for seasoning, then set aside.', 'Heat 2 tbsp oil in a heavy-based frying pan over a medium heat and fry the kebabs in batches for 3-4 mins on each side until browned. Pour off the excess oil between batches and wipe the pan clean with kitchen towel before adding fresh oil. Drain the kebabs on kitchen paper and serve warm with the mint raita.']"
Sweet potato & corn cakes with tamarind bacon & avocado,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Sweet-potato-and-corn-cakes-with-tamarind-bacon-and-avocado-4ca8381.jpg,Prep:20Cook:1hrs10,"['2 sweet potatoes (500g) ', '1 potato (325g) ', '2 ripe avocados, peeled and stoned ', '4 spring onions, thinly sliced ', '¼-½ scotch bonnet chilli, finely chopped (optional) ', '1 lime, juiced ', '2 corn cobs (or 300g drained canned sweetcorn) ', '100g cassava flour ', '1 tsp tamarind extract ', '½ tsp honey ', '8 slices thick-cut bacon ', '100ml vegetable oil ', '8 tbsp soured cream, to serve (optional) ']","['  kcal 644  ', '  fat 30g  ', '  saturates 7g  ', '  carbs 70g  ', '  sugars 0g  ', '  fibre 14g  ', '  protein 17g  ', '  salt 1.5g  ']",meat,"['Heat the oven to 200C/180C fan/gas 6. Prick the sweet potatoes and potato with a knife and roast them until soft – about 45 mins-1 hr for the potato and 40-50 mins for the sweet potato, turning them halfway through. Remove from the oven, leave until cool enough to handle, then scoop the potato flesh out of the skins and lightly mash together but not so it’s smooth – keep it chunky.', 'While the potatoes are cooking, scoop the avocado into a bowl and mash lightly. Add half of the spring onions, the scotch bonnet, if using, the lime juice and a pinch each of salt and pepper. Keep chilled until ready to serve.', 'If using fresh corn, slice the kernels from the cob and boil in a pan of salted water for 3 mins. Rinse with cold water to cool. Add the sweetcorn to the potato mix, with the remaining spring onions and some salt and pepper. Gently mix, then take a handful the size of a tomato. Roll on your worktop, then flatten slightly until it is about 1-inch thick. Repeat until all the mixture is used up, you should have around 12-14 cakes. Put the cassava flour in a shallow bowl and gently drop the cakes in, one by one, then roll lightly to coat with the flour.', 'Mix the tamarind and honey with 1 tbsp warm water until fully dissolved. Warm a frying pan over a medium heat and add the bacon. After 1 minute, brush the tamarind mixture over the top side and turn, brushing the other side with a little more of the mixture. At first it will look as though the bacon is boiling, but keep adding the mixture and turning two more times, and it will start to caramelise. Once nicely browned on both sides, remove from the pan and keep warm.', 'Put the oil in a non-stick frying pan, enough so the oil will come halfway up the cakes. Heat over a medium-high heat and fry the cakes for 3-4 mins each side until golden brown. Drain on kitchen paper and keep warm while you cook the remaining cakes. To serve, pile two or three cakes onto each plate alongside some mashed avocado and put two slices of bacon on top. Serve 2 tbsp each of the soured cream on the side, if you like.']"
Pomegranate brisket,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/pomegranate-brisket-1da6477.jpg,Prep:30Cook:3hrsplusovernightmarinatingandresting,"['beef brisket (if rolled, unroll it) ', 'red onions, finely sliced ', '½ pomegranate, seeds only ', 'cooked giant couscous tossed through with 10g coriander leaves, a little urfa chilli, sliced cucumber and lemon zest (optional), to serve ', '120ml pomegranate molasses ', '60ml olive oil ', '2 tsp ras el hanout ', '4 garlic cloves, finely chopped ', '1 tsp urfa chilli flakes ']","['  kcal 612  ', '  fat 34g  ', '  saturates 10g  ', '  carbs 19g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 56g  ', '  salt 1.4g  ']",meat,"['Mix the marinade ingredients in a small bowl with ¾ tsp fine salt. Put the beef in a large, ovenproof dish. Pour half the marinade over the beef and spread evenly, then turn it over and pour the rest over the meat over the meat to coat. Cover and chill overnight.', 'Remove the meat from the fridge up to 1 hr before cooking to come up to room temperature. If it’s a hot day, you can reduce that to 30 mins. Heat the oven to 240C/220C fan/gas 9.', 'Turn the meat in the marinade to make sure it is well coated, leaving the fatty layer on the top. Put half the sliced onions underneath the meat and spread the rest over the top. Cover the dish loosely with foil, making sure it is properly covered.', 'Roast for 15 mins, then turn the oven down to 170C/150C fan/gas 3 and cook for a further 2 hrs 30 mins-3 hrs. Check it to see how tender it is – a fork should go in and come out easily and the meat should flake well, if not, put back in the oven for another 30 mins.', 'Rest the brisket for 15 mins, still covered with foil, then transfer to a board. Decorate with the pomegranate seeds. Serve with the giant couscous, if you like, or shred with two forks, then spoon over some of the pomegranate sauce, then serve with pitta bread and dips of your choice.']"
Simple salt beef,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Salt-beef-sandwich-7958446.jpg,Prep:20Cook:4hrsplusresting,"['1.6kg flat piece of pickled beef brisket ', '2 bay leaves ', '4 large carrots, peeled but left whole ', '1 tsp black peppercorns ', '4 juniper berries ', '1-2 tsp sugar (optional) ']","['  kcal 419  ', '  fat 32g  ', '  saturates 11g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0.1g  ', '  protein 31g  ', '  salt 4.2g  ']",meat,"['If you can, allow the pickled beef to come up to room temperature before you start by leaving it on the kitchen counter for an hour. It will speed up the cooking time. Put the beef in a large pan and cover with cold water. Bring to the boil, skimming away any foamy scum that rises to the surface. Once the foam has been mostly removed, add all the other ingredients. Adding them now means they don’t get in the way of the skimming.', 'Reduce the heat, cover and simmer gently for 2 hrs 30 mins-3 hrs 30 mins or until a fork pushed into the meat slides in easily – it should be really soft. Start checking after 2 hours – there should be no resistance when you pull the fork out of the meat. You could also use a skewer to do the testing – make sure to push it into the thickest part of the meat.', ""Once the beef is tender, turn off the heat. Either leave it sitting in the cooking liquor if you're not ready to eat (it can sit like this for up to an hour), or use two forks to lift the meat out, allow the water to drain off, then put it on a board. Keep the liquor if you plan to reheat or freeze the salt beef. Cover loosely with foil and allow to rest for 10-15 mins. To serve, slice thickly against the grain of the meat or it will crumble. Serve hot or cold.Leftovers will keep in the fridge for three days and in the freezer for up to six weeks. Before freezing, it’s best to slice it and wrap first in baking parchment, then foil. Make sure you also freeze the pot of cooking liquor. When you want to eat it, defrost and then put it (with slices arranged back into a whole brisket shape) in an ovenproof dish with the thawed liquor. Cover with foil and reheat at 180C/160C fan/gas 4 for 20 mins.""]"
Maple & chilli-glazed leg of lamb,https://images.immediate.co.uk/production/volatile/sites/30/2021/06/Maple-and-chilli-glazed-leg-of-lamb-e9fa707.jpg,Prep:20Cook:40,"['2.5kg leg of lamb, butterflied (ask your butcher to do this) ', '1 bunch of rosemary, snipped into 2cm lengths ', '100ml maple syrup ', '50g Dijon mustard ', '2 tbsp yeast extract ', '1 tbsp smoked paprika ', '3 medium green chillies, sliced ']","['  kcal 582  ', '  fat 31g  ', '  saturates 14g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 62g  ', '  salt 1.4g  ']",meat,"['Lay the butterflied lamb leg on a board and use a sharp knife to prick about 20 holes all over the skin side. Press the rosemary sprigs deep into the holes, then season all over.', 'To make the glaze, tip all of the ingredients into a small saucepan, reserving a few sliced chillies, and bring to the boil. Stir to combine, then remove from the heat and set aside. Light the barbecue. It’s ready when the coals are ashen and you can hold your hand 5cm above the grill for at least 5 seconds.', 'Lay the lamb skin-side down on the grill and cook for 10 mins. Turn over using tongs and cook for 10 mins more. Repeat this two more times for 5 mins on each side so the lamb cooks for a total of 30 mins. Baste with the glaze, turn the lamb again and keep basting for another 10 mins until deep brown and sticky. Remove to a board, cover loosely and leave to rest for 20 mins. Carve into thin slices to serve, then scatter over the reserved sliced chillies.']"
Chorizo & chickpea summer stew,https://images.immediate.co.uk/production/volatile/sites/30/2021/06/Chorizo-and-chickpea-summer-stew-7a4af9a.jpg,Prep:5Cook:20,"['1 tbsp olive oil ', '2 garlic cloves, crushed ', '2 thyme sprigs ', '1 tbsp smoked paprika ', '200g chorizo ring, sliced into thin coins ', '1 tbsp sherry vinegar ', '600g cherry tomatoes, halved ', '450g jar roasted red peppers, drained and cut into large strips ', '100g spinach ', '2 x 400g cans chickpeas, drained ', 'drizzle of extra virgin olive oil and crusty bread, to serve ']","['  kcal 449  ', '  fat 24g  ', '  saturates 7g  ', '  carbs 29g  ', '  sugars 0g  ', '  fibre 10g  ', '  protein 25g  ', '  salt 1.7g  ']",meat,"['Heat the oil in a large frying pan over a medium heat, add the garlic, thyme and smoked paprika, and stir for a few minutes, then tip in the chorizo and stir for another couple of minutes until its oil is released. Splash in the sherry vinegar and let it bubble for a minute or so.', 'Add the tomatoes, peppers, spinach and chickpeas along with 100ml water and a pinch of seasoning. Bring to the boil, then reduce the heat to a simmer and cook until the tomatoes have softened and there is a thickened sauce, about 15 mins. Adjust the seasoning and finish with a drizzle of extra virgin olive oil. Serve with crusty bread.']"
