Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:10,2 wholemeal noodle nests (85g) /,  kcal 407  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:10,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:15Cook:15,2 tsp rapeseed or sesame oil /,  fat 11g  /
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:10Cook:8,"200g lean fillet steak, fat removed and cut into strips /",  saturates 3g  /
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-doughnuts-efe4a33.jpg,Prep:15Cook:15,"1 small red onion (100g), finely chopped /",  carbs 41g  /
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Whole-baked-cauliflower-cheese-757e6fb.jpg,Prep:25Cook:50,"15g piece of ginger, peeled and finely chopped /",  sugars 0g  /
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:10Cook:1hrs10,"160g chestnut mushrooms, thickly sliced /",  fibre 8g  /
Herby fish fingers with Chinese-style rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Glamorgan-sausages-245ac2b.jpg,Prep:10Cook:35,"2 garlic cloves, finely chopped /",  protein 32g  /
Pineapple fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Spicy-kimchi-noodles-b042dfd.jpg,Prep:10Cook:10,160g ready-to-eat beansprouts /,  salt 1g  /
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/honey-sesame-orange-king-prawns.jpg,Prep:10Cook:5,1½ tsp tamari /,  kcal 263  /
Salt & pepper tofu,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Spring-green-salad-9e92bbd.jpg,Prep:15Cook:20pluspressing,1 tbsp brown rice vinegar /,  fat 13g  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:10,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,"Prep:15Cook:8cookingtimeperbatch,plus1hrchilling",2 tsp rapeseed or sesame oil /,  fat 11g  /
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:15Cook:15,"200g lean fillet steak, fat removed and cut into strips /",  saturates 3g  /
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-doughnuts-efe4a33.jpg,Prep:20Cook:20,"1 small red onion (100g), finely chopped /",  carbs 41g  /
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Whole-baked-cauliflower-cheese-757e6fb.jpg,Prep:15Cook:5,"15g piece of ginger, peeled and finely chopped /",  sugars 0g  /
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:5Cook:10,"160g chestnut mushrooms, thickly sliced /",  fibre 8g  /
Herby fish fingers with Chinese-style rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Glamorgan-sausages-245ac2b.jpg,Prep:5Cook:5,"2 garlic cloves, finely chopped /",  protein 32g  /
Pineapple fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Spicy-kimchi-noodles-b042dfd.jpg,Prep:10Cook:10,160g ready-to-eat beansprouts /,  salt 1g  /
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/honey-sesame-orange-king-prawns.jpg,Prep:25Cook:25,1½ tsp tamari /,  kcal 263  /
Salt & pepper tofu,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Spring-green-salad-9e92bbd.jpg,Prep:10Cook:25,1 tbsp brown rice vinegar /,  fat 13g  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:15Cook:10,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:5Cook:10,2 tsp rapeseed or sesame oil /,  fat 11g  /
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:10Cook:2hrs15Plusmarinating,"200g lean fillet steak, fat removed and cut into strips /",  saturates 3g  /
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-doughnuts-efe4a33.jpg,Prep:10Cook:10Plusmarinating,"1 small red onion (100g), finely chopped /",  carbs 41g  /
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Whole-baked-cauliflower-cheese-757e6fb.jpg,Prep:20Cook:10,"15g piece of ginger, peeled and finely chopped /",  sugars 0g  /
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:10Cook:10,"160g chestnut mushrooms, thickly sliced /",  fibre 8g  /
Herby fish fingers with Chinese-style rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Glamorgan-sausages-245ac2b.jpg,Prep:15Cook:2hrs30,"2 garlic cloves, finely chopped /",  protein 32g  /
Pineapple fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Spicy-kimchi-noodles-b042dfd.jpg,Prep:25Cook:2hrsPlusmarinating,160g ready-to-eat beansprouts /,  salt 1g  /
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/honey-sesame-orange-king-prawns.jpg,Prep:10Plusatleast2hourssalting,1½ tsp tamari /,  kcal 263  /
Salt & pepper tofu,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Spring-green-salad-9e92bbd.jpg,Readyin45,1 tbsp brown rice vinegar /,  fat 13g  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:10plusmarinating,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:10Cook:20plusmarinating,2 tsp rapeseed or sesame oil /,  fat 11g  /
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:25Cook:5,"200g lean fillet steak, fat removed and cut into strips /",  saturates 3g  /
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-doughnuts-efe4a33.jpg,Prep:10Cook:10,"1 small red onion (100g), finely chopped /",  carbs 41g  /
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Whole-baked-cauliflower-cheese-757e6fb.jpg,Prep:35Cook:3hrs,"15g piece of ginger, peeled and finely chopped /",  sugars 0g  /
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:20Cook:20,"160g chestnut mushrooms, thickly sliced /",  fibre 8g  /
Herby fish fingers with Chinese-style rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Glamorgan-sausages-245ac2b.jpg,Prep:40Cook:25,"2 garlic cloves, finely chopped /",  protein 32g  /
Pineapple fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Spicy-kimchi-noodles-b042dfd.jpg,Prep:5Cook:20,160g ready-to-eat beansprouts /,  salt 1g  /
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/honey-sesame-orange-king-prawns.jpg,Prep:20Cook:10,1½ tsp tamari /,  kcal 263  /
Salt & pepper tofu,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Spring-green-salad-9e92bbd.jpg,Prep:10Cook:10,1 tbsp brown rice vinegar /,  fat 13g  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:15Cook:10Plusmarinating,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:15Cook:15Plusmarinating,2 tsp rapeseed or sesame oil /,  fat 11g  /
Fried prawns with garlicky hot pepper sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:15Cook:1hrs10Plusmarinating,"200g lean fillet steak, fat removed and cut into strips /",  saturates 3g  /
Fridge-raid fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Polish-doughnuts-efe4a33.jpg,Prep:10Cook:18,"1 small red onion (100g), finely chopped /",  carbs 41g  /
Noodles with crispy chilli oil eggs,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Whole-baked-cauliflower-cheese-757e6fb.jpg,Readyinaround25,"15g piece of ginger, peeled and finely chopped /",  sugars 0g  /
Sticky rib hot pot,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:20Cook:10,"160g chestnut mushrooms, thickly sliced /",  fibre 8g  /
Herby fish fingers with Chinese-style rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Glamorgan-sausages-245ac2b.jpg,Prep:10Cook:10,"2 garlic cloves, finely chopped /",  protein 32g  /
Pineapple fried rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/04/Spicy-kimchi-noodles-b042dfd.jpg,Prep:10Cook:40,160g ready-to-eat beansprouts /,  salt 1g  /
Beef with mangetout & cashews,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2019/12/honey-sesame-orange-king-prawns.jpg,Readyinaround10utes,1½ tsp tamari /,  kcal 263  /
Salt & pepper tofu,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Spring-green-salad-9e92bbd.jpg,Prep:30Cook:3hrs,1 tbsp brown rice vinegar /,  fat 13g  /
Healthy beef chow mein,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Beef-chow-mein-e16180c.jpg,Prep:10Cook:5,2 wholemeal noodle nests (85g) /,  kcal 407  /
Sweet & sour prawns,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Harira-0ad84c9.jpg,Prep:30,2 tsp rapeseed or sesame oil /,  fat 11g  /
