name,image,time,ingredient,nutrition,categoty,methode
Quick florentines,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quick-florentines-4e0c1c3.jpg,Prep:25Cook:25,"['100g caster sugar ', '40g honey ', '60g butter ', '75g double cream ', '200g flaked almonds ', '60g ground almonds ', '100g dark chocolate ']","['  kcal 376  ', '  fat 15g  ', '  saturates 5g  ', '  carbs 33g  ', '  sugars 0g  ', '  fibre 17g  ', '  protein 17g  ', '  salt 0.8g  ']",easter-baking,"['Heat the sugar, honey and butter with the cream in a small pan. Bring the mixture to a boil and cook for 5 minutes. Add the almond flakes and ground almonds, take off the heat and mix everything well.', 'Heat the oven to 180C/fan 160/gas 4. Use two teaspoons to form 35 small heaps on a baking sheet lined with baking parchment. Bake for 15 minutes or until lightly caramelised to a golden colour. If the mixtures separates, simply put it back into piles with the two teaspoons.', 'Let the florentines cool completely. Melt the dark chocolate in a microwave or a bowl set over a pan of simmering water. Using a pastry brush, brush the underside of each florentine with chocolate, place chocolate side up and leave to set.']"
Vegetarian pastitsio,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Vegetarian-pastitsio-b35e6e0.jpg,Prep:25Cook:1hrs15,"['2 large onions (330g), halved and sliced ', '1 tbsp olive oil ', '2 tsp vegetable bouillon powder ', '2 bay leaves ', '2 tbsp balsamic vinegar ', '2 garlic cloves, finely grated ', '1 tsp dried oregano ', '1 tsp ground cinnamon ', '250g penne pasta ', '400g can chopped tomatoes ', '4 tbsp tomato purée ', '2 x 400g cans green lentils ', 'salad of tomatoes, onion and dill tossed with lemon and olives, to serve ', '500ml milk or plant-based milk ', '50g wholemeal flour ', '1 egg, separated ', '40g vegetarian feta, crumbled ', '½ tsp oregano ']","['  kcal 576  ', '  fat 11g  ', '  saturates 4g  ', '  carbs 85g  ', '  sugars 0g  ', '  fibre 18g  ', '  protein 27g  ', '  salt 1.5g  ']",easter-baking,"['Heat the oven to 190C/170C fan/gas 5. Put the onions and oil in a large saucepan with the bouillon, bay leaves, the vinegar, garlic, oregano and cinnamon. Add a mug of water (about 250ml), then cover and simmer for 10 mins until soft. Uncover and cook for 10 mins more, stirring frequently. The water should evaporate after this time and the onions should be soft.', 'Meanwhile, cook the pasta in a large pan of boiling water following pack instructions, or for 10 mins until al dente. Drain and set aside.', 'Stir the tomatoes, tomato purée and the lentils, along with their liquid, into the onions. Stir well, then cover and simmer for 5 mins. Remove the bay leaves.', 'To make the white sauce, pour the milk and 200ml water into a pan with the flour, whisk well to stop lumps forming and keep stirring until thickened, for about 8-10 mins.', 'Stir the egg white into the pasta and spoon over the base of a baking dish. Top with the lentil mixture. Stir the egg yolk into the white sauce, then spoon on top of the lentils, scatter over the feta and oregano, then bake in the oven for 40 mins until bubbling.', 'Serve half with the tomato and onion salad, and chill the rest for another day. Will keep chilled for up to two days. Reheat in the microwave on plates until piping hot.']"
Chocolate & vanilla celebration cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Chocolate-and-vanilla-celebration-cake-a79b7f2.jpg,Prep:35Cook:30pluscooling,"['225ml vegetable oil, plus extra for the tins ', '300g plain flour ', '100g cocoa powder ', '2 tsp baking powder ', '1½ tsp bicarbonate of soda ', '400g light brown soft sugar ', '300ml milk ', '2 tsp white wine vinegar ', '100ml strong coffee or espresso, cooled ', '2 tsp vanilla extract or paste ', '3 medium eggs ', '400g butter, at room temperature ', '800g icing sugar ', '2 tsp vanilla extract or paste ', '4-5 tbsp milk ', 'food colouring pastes ', 'edible flowers, pastel sugared almonds or chocolate eggs ']","['  kcal 778  ', '  fat 40g  ', '  saturates 16g  ', '  carbs 97g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 6g  ', '  salt 1g  ']",easter-baking,"['Heat the oven to 180C/160C fan/gas 4. Oil three 20cm cake tins and line with baking parchment. Weigh out the flour, cocoa powder, baking powder, bicarb and sugar into a large bowl, add a pinch of salt and whisk gently to combine. Shake the bowl to bring any lumps of sugar to the surface and squeeze these with your fingertips.', 'Measure the oil, milk, vinegar, coffee and vanilla into a jug, then add the eggs and whisk to combine. Pour the wet ingredients into the dry and stir with a whisk until smooth, making sure there are no pockets of flour at the bottom of the bowl – the mixture will be quite runny. Divide the batter evenly between the prepared tins, then bake on the middle shelf of the oven (or middle and top if they don’t all fit on one shelf) for 25 mins. Swap the tins around and bake 5 mins more.', 'Check the cakes are cooked by inserting a skewer into the centre of each – if any wet batter clings to the skewer, return the tins to the oven for another 5 mins, then check again. Leave to cool in the tins for 30 mins, then turn the sponges out onto wire racks to cool completely. If making ahead, wrap the cooled sponges well and store in an airtight container for up to three days, or the freezer for up to two months.', 'For the buttercream, beat the butter using an electric whisk or in a stand mixer for a few minutes until smooth and creamy. Add half the icing sugar and beat again to combine. Add the remaining icing sugar, the vanilla and 4 tbsp milk and beat again to combine, adding a splash more milk if needed to make a smooth, fluffy buttercream. Divide between three bowls. Add a few drops of different food colouring paste to each bowl, then mix well – we used pastel pink, purple and yellow.', 'Spoon the coloured buttercream mixtures into three separate piping bags and snip off the tips. Pipe a dot of buttercream onto a cake stand or board and place a sponge on top to help keep it in place. Pipe small blobs of purple buttercream all over the top of the sponge by holding the piping bag directly above the cake, about ½cm from the surface, and squeezing the bag while pulling upwards to create a small peak.', 'Place the second sponge on top, then repeat the process with the pink buttercream. Add the third sponge on top, then neatly pipe blobs of yellow buttercream over the surface. Decorate with edible flowers, sugared almonds or mini chocolate eggs, if you like. Will keep in a tin at room temperature for up to five days.']"
Flaounes,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Flaounes-2c2a536.jpg,Prep:40Cook:30plus1hrresting,"['2 eggs ', '250g grated cheese (a mixture of halloumi and cheddar works well, see tip below) ', '35g semolina ', '12g fresh yeast or ½ tsp fast-action dried yeast ', '¼tsp caster or granulated sugar ', '½ tsp baking powder ', 'small handful of mint, finely chopped, or ½ tbsp dried mint ', '35g sultanas or raisins ', '300g plain flour, plus extra for dusting ', '¼ tsp baking powder ', 'pinch of ground mastic ground (optional, see tip) ', 'pinch of mahlepi ground (optional, see tip) ', '¼ tsp caster or granulated sugar ', '60ml sunflower oil ', '160ml lukewarm milk ', '50g sesame seeds ', '1 egg, beaten ']","['  kcal 567  ', '  fat 31g  ', '  saturates 11g  ', '  carbs 49g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 22g  ', '  salt 1.3g  ']",easter-baking,"['If you have time, make the filling 2-3 hrs ahead so it develops more flavour. Whisk the eggs in a bowl until frothy. In a separate bowl, combine the grated cheese with the semolina, then make a well in the middle, tip in the yeast and 1 tbsp of the beaten egg. Mix to combine, then add the remaining egg – the mixture will be fairly firm. Add the sugar, baking powder, mint and sultanas or raisins, then mix again until the fruit is evenly distributed. Cover the bowl with a tea towel and set aside to rest until needed.', 'For the pastry, combine the flour, baking powder, mastic and mahlepi (if using) and the sugar. Tip in the oil and rub this into the flour mixture using your fingertips, then gradually mix in the milk (you may not need it all) until you have a soft dough. Cover with a tea towel and set aside to rest for 1 hr.', 'For the topping, tip the sesame seeds into a fine sieve, rinse with cold water, drain and spread out on a clean tea towel to dry slightly. Heat the oven to 200C/180C fan/gas 6 and line a baking tray with baking parchment. Once the dough has rested, divide it into six pieces, about 80g each. Roll each out on a lightly floured surface into a 16cm disc, about ¼cm thick. Lay each disc on the sesame seeds (on one side only) so they stick.', 'Divide the filling into six and shape into balls (about 65g each). Place one ball of filling into the middle of each pastry disc on its plain side. Lift the left and right edges of the pastry over the filling so it slightly overlaps it at the edges, leaving the middle exposed. Repeat with the top and bottom edges.', 'Brush the pastry with the beaten egg and bake for 15 mins. Reduce the oven to 180C/160C fan/gas 4 and bake for 15-20 mins more until golden and risen in the middle.']"
Classic carrot cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Carrot-cake-caf5ee1.jpg,Prep:40Cook:30plussettingand1hrchilling,"['vegetable oil, for the tins ', '200g butter, softened ', '200g light muscovado sugar ', '4 eggs ', '150g self-raising flour ', '50g rye or spelt flour (optional – use a total of 200g self-raising flour if you prefer) ', '½ tsp bicarbonate of soda ', '1 tsp ground cinnamon ', '¼ tsp mixed spice ', '250g (about 3 medium) carrots, trimmed and coarsely grated ', '75g raisins or sultanas ', '75g light muscovado sugar ', '100g pecans ', '150g butter, softened ', '150g icing sugar ', '340g full-fat soft cheese ', '½ lemon, zested ']","['  kcal 442  ', '  fat 28g  ', '  saturates 17g  ', '  carbs 42g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0.9g  ']",easter-baking,"['For the praline, line a baking tray with baking parchment, then tip the sugar into a saucepan with 1 tbsp water. Bring to the boil, then reduce the heat and simmer for 1-2 mins until the sugar starts to caramelise. Scatter in the pecans and a pinch of sea salt, and stir until the nuts are fully coated. Carefully scrape the hot pecan mix onto the tray and leave to set for at least 10 mins. Break about 12 whole pecans out of the praline and reserve for decorating later, then chop or smash the rest of the praline into small shards. Set aside. Will keep in an airtight container for a day.', 'Heat the oven to 180C/160C fan/gas 4. Oil two 20cm round sandwich tins and line with baking parchment. Tip the butter and sugar into a bowl and beat using an electric whisk for 3 mins until light and fluffy, then beat in the eggs, one at a time – or do this using a stand mixer. When the eggs are incorporated, fold in the flours, bicarb, spices and a pinch of salt, followed by the carrots, raisins and half of the smashed praline.', 'Divide the batter between the tins and level the surface with a spatula. Bake for 25-30 mins until the sponges are springy and a skewer inserted into the middle of each comes out clean. Cool in the tins for 10 mins, then put on a wire rack to cool fully. Will keep wrapped overnight.', 'To make the icing, beat the butter and sugar using an electric whisk until smooth. Add half the soft cheese and lemon zest and beat again, then add the remaining and beat until smooth.', 'To assemble, place one sponge, flat-side up, on a cake stand or plate and spread with a third of the icing. Scatter with most of the remaining smashed praline, then top with the other sponge, also flat-side up. Spread the rest of the icing over the top and sides, then decorate with the whole praline pecans. Chill for 1 hr to set, then slice and serve with any remaining smashed praline for sprinkling over. Will keep in an airtight tin for three days.']"
Simnel cinnamon rolls,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Simnel-cinnamon-rolls2-42fe0f0.jpg,Prep:50Cook:35pluschillingandatleast2hrsproving,"['3 eggs, beaten ', '125ml milk ', '7g sachet fast-action dried yeast ', '500g strong white bread flour, plus extra for dusting ', '½ tsp mixed spice ', '40g light muscovado sugar ', '100g unsalted butter, at room temperature, plus extra for the tin ', '100g raisins ', '125g butter, softened ', '125g light muscovado sugar, sifted ', '1 tbsp ground cinnamon ', '500g marzipan (see tip below) ', '2 tbsp golden syrup ']","['  kcal 574  ', '  fat 23g  ', '  saturates 11g  ', '  carbs 81g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 10g  ', '  salt 0.7g  ']",easter-baking,"['Tip the eggs, milk, yeast, flour, mixed spice, sugar and 1 tsp salt into the bowl of a stand mixer fitted with the paddle attachment. Beat until the mixture comes together into a smooth dough, then beat for 2 mins more. Gradually add the butter, 1-2 tsp at a time, while mixing on medium speed. When all the butter has been incorporated, tip in the raisins and mix for 1 min. If you don’t have a stand mixer, stir everything together in a bowl, slowly kneading in the butter using your hands, followed by the raisins. Tip the dough out onto a lightly floured surface and flatten into a square roughly 20 x 20cm. Cover and chill for 30 mins or up to 2 hrs.', 'Meanwhile, for the filling, beat the butter, sugar and cinnamon with a pinch of salt using an electric whisk. Set aside at room temperature. Butter a roughly 30 x 20cm baking tin and line with baking parchment. Roll the chilled dough out on a lightly floured surface to a roughly 40 x 30cm rectangle. Spread the cinnamon butter over the surface until completely covered. Roll out 400g of the marzipan on a lightly floured surface into a rectangle the same size as the dough, then lay this over the cinnamon butter layer. With a long edge facing you, roll the dough into a tight log. Cut in half to make two logs, then lift both onto a tray and freeze for 15 mins, or chill for 30 mins-1 hr mins to firm up.', 'Cut the chilled logs into 12 equal slices, then arrange these, spiral side-up, in the prepared tin. Leave to prove for 1 hr in a warm place, or for up to 24 hrs in the fridge until they’re about a third larger in size and are touching at the sides.', 'Heat the oven to 200C/180C fan/ gas 6. Bake the rolls for 20 mins. Meanwhile, roll the rest of the marzipan into 11 balls. After 20 mins, place the marzipan balls on 11 of the rolls, leaving one plain (this traditionally represents the apostles and Judas on a simnel cake). Bake for 10-15 mins more until the rolls are golden brown and the marzipan balls are toasted.', 'Mix the golden syrup with 2 tsp boiling water. Immediately brush the hot rolls (but not the marzipan balls) with the syrup glaze. Leave to cool slightly before eating warm or at room temperature. Will keep in an airtight container for two days.']"
Easter traybake,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Easter-Traybake-3a1fe61.jpg,Prep:20Cook:35pluscooling,"['150ml sunflower oil, plus extra for the tin ', '165g golden caster sugar ', '2 eggs ', '150ml milk ', '165g self-raising flour ', '3 tbsp cocoa powder ', '1 tsp bicarbonate of soda ', '100g milk or dark chocolate, chopped (either a chocolate bar or Easter egg, broken up) ', '100g butter, softened ', '100g icing sugar ', '100g Easter treats (chocolate eggs, sweets, chocolate bar pieces) ']","['  kcal 439  ', '  fat 27g  ', '  saturates 10g  ', '  carbs 43g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0.59g  ']",easter-baking,"['Heat the oven to 180C/160C fan/gas 4. Oil and line a traybake tin, about 20 x 30cm, and 5cm deep. Put the oil, sugar, eggs and milk in a bowl and whisk until well combined. Sieve over the flour, cocoa and bicarb, and stir briefly until combined. Pour the mixture into the tin, and bake for 20-25 mins until the cake is well risen and springs back when pressed. Transfer to a wire rack and leave to cool completely.', ""Melt the chocolate in a bowl set over a pan of simmering water, ensuring the bowl doesn't touch the water, or in short blasts in the microwave until melted. Leave to cool for a few minutes."", 'Beat the butter and icing sugar together until pale and fluffy, then drizzle in the chocolate and beat again until smooth and uniform in colour. Swirl the icing over the top of the cake, with a few peaks and swirls to decorate. Scatter with the Easter treats to serve.']"
White chocolate cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/07/White-Chocolate-Cake-2040c48.jpg,Prep:50Cook:35pluscoolingandchilling,"['300g butter, softened, plus extra for the tins ', '300g caster sugar ', '5 large eggs, beaten ', '1 tsp vanilla bean paste ', '1 tsp baking powder ', '300g self-raising flour ', '100g white chocolate, finely chopped ', '350g fresh raspberries, halved ', '450g white chocolate, finely chopped ', '200ml double cream ', '1 tbsp vanilla paste ']","['  kcal 501  ', '  fat 31g  ', '  saturates 19g  ', '  carbs 48g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 7g  ', '  salt 0.67g  ']",easter-baking,"['Heat the oven to 180C/160C fan/gas 4. Butter three 18cm sandwich cake tins and line with baking parchment. Beat together the butter, sugar, eggs, vanilla, baking powder and flour using a stand mixer or electric hand whisk until you have a fluffy mixture, about 5 mins. Fold in the white chocolate until it’s well distributed throughout.', 'Divide the mixture evenly between the tins and level out using a palette knife or the back of a spoon until smooth. Bake for 25-30 mins until a skewer inserted into the middle comes out clean. Remove from the oven and leave the sponges to cool in the tins for 10 mins, then remove from the tins and transfer to a cooling rack, top side down, and leave to cool completely. If the sponges are not level use a serrated knife to cut away the peaks.', ""While the sponges are cooling, make the ganache. Put the white chocolate in a large bowl. Pour the cream into a saucepan over a medium heat and bring to a simmer. Immediately pour the cream over the chocolate and leave to stand for 4-5 mins until the chocolate has melted. Mix together to form a smooth ganache, ensuring all the chocolate has fully melted, then mix in the vanilla. Chill in the fridge for 30 mins, stirring occasionally so it doesn't completely harden, until spreadable and thick enough to coat the cake."", 'Once the sponges are cool and the ganache has set to a spreadable consistency, you can construct the cake. Place one sponge on a serving plate, spread over a thin layer of the chocolate ganache, then fill the middle with a third of the raspberries. Place another sponge on top and repeat with a layer of ganache and another third of raspberries. Put the final sponge on top and gently coat the whole cake with a thin layer of ganache. Leave in the fridge to set for at least 20 mins. To finish, spread over any remaining ganache and top with the remaining raspberries. Will keep chilled for up to three days in an airtight container.']"
Maple & chilli-glazed leg of lamb,https://images.immediate.co.uk/production/volatile/sites/30/2021/06/Maple-and-chilli-glazed-leg-of-lamb-e9fa707.jpg,Prep:20Cook:40,"['2.5kg leg of lamb, butterflied (ask your butcher to do this) ', '1 bunch of rosemary, snipped into 2cm lengths ', '100ml maple syrup ', '50g Dijon mustard ', '2 tbsp yeast extract ', '1 tbsp smoked paprika ', '3 medium green chillies, sliced ']","['  kcal 582  ', '  fat 31g  ', '  saturates 14g  ', '  carbs 13g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 62g  ', '  salt 1.4g  ']",easter-baking,"['Lay the butterflied lamb leg on a board and use a sharp knife to prick about 20 holes all over the skin side. Press the rosemary sprigs deep into the holes, then season all over.', 'To make the glaze, tip all of the ingredients into a small saucepan, reserving a few sliced chillies, and bring to the boil. Stir to combine, then remove from the heat and set aside. Light the barbecue. It’s ready when the coals are ashen and you can hold your hand 5cm above the grill for at least 5 seconds.', 'Lay the lamb skin-side down on the grill and cook for 10 mins. Turn over using tongs and cook for 10 mins more. Repeat this two more times for 5 mins on each side so the lamb cooks for a total of 30 mins. Baste with the glaze, turn the lamb again and keep basting for another 10 mins until deep brown and sticky. Remove to a board, cover loosely and leave to rest for 20 mins. Carve into thin slices to serve, then scatter over the reserved sliced chillies.']"
Marzipan chocolate loaf cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Marzipan-chocolate-loaf-cake-d3a7950.jpg,Prep:25Cook:1hrs,"['165g salted butter, softened, plus extra for the tin ', 'icing sugar, for dusting ', '350g marzipan ', '100g caster sugar ', '60g dark brown soft sugar ', '3 large eggs ', '200g self-raising flour ', '½ tsp baking powder ', '½ tsp almond extract ', '75ml milk ', '3 tbsp cocoa powder ', '50g dark chocolate chips ', '180ml double cream ', '140g dark chocolate, finely chopped ', '1 tbsp golden syrup ', '1 tsp almond extract ']","['  kcal 653  ', '  fat 39g  ', '  saturates 21g  ', '  carbs 63g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 10g  ', '  salt 0.7g  ']",easter-baking,"['Heat the oven to 180C/160C fan/gas 4. Butter a 1kg loaf tin (ours was 14 x 24 x 7cm) and line with a long strip of baking parchment. Lightly dust a surface with icing sugar and roll the marzipan out to a 1cm-thick rectangle, then cut it so that it’s just smaller than the base of the loaf tin.', 'Beat the butter and both sugars together in a large bowl using an electric whisk until light and fluffy. Beat in the eggs, flour, baking powder, almond extract, milk and cocoa powder until smooth. Fold in the chocolate chips, scraping down the sides of the bowl to ensure everything is combined.', 'Pour half the batter into the tin. Top with the marzipan rectangle, then pour the remaining batter on top and smooth the surface. Bake for 1 hr-1 hr 15 mins until golden, risen and a skewer inserted into the middle comes out clean. Leave to cool completely in the tin.', 'To make the ganache, bring the cream to a simmer in a small pan. Meanwhile, put the dark chocolate, golden syrup and almond extract in a heatproof bowl. Once the cream is simmering, pour it over the chocolate mixture and set aside for 2 mins to melt. Whisk until smooth, then leave for 5 mins to cool and thicken slightly. Pour the ganache all over the cake, and cut into slices to serve.']"
