name,image,time,ingredient,nutrition,categoty,methode
Little burnt honey & almond cakes,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Little-burnt-honey-and-almond-cakes-317bd9b.jpg,Prep:10Cook:20,"['50g butter, plus extra for the tin ', '1 tbsp honey ', '1 egg ', '50g golden caster sugar ', '30g plain flour ', '30g ground almonds ', '½ tsp baking powder ', 'icing sugar, for dusting (optional) ']","['  kcal 508  ', '  fat 31g  ', '  saturates 14g  ', '  carbs 47g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 9g  ', '  salt 0.9g  ']",easy-pudding,"['Put the butter and honey in a small saucepan and cook over a medium-high heat for 2-3 mins until the butter foams and the mixture turns a mahogany colour.', 'Whisk the egg, sugar and the honey and butter mixture together in a large bowl. Stir in the flour, almonds, baking powder and a pinch of sea salt to make a batter. Can be used straightaway or kept in the fridge overnight.', ""Heat the oven to 200C/180C fan/gas 6 and butter four holes of a muffin tin. Divide the mixture between the holes and bake for 12-14 mins until golden and cooked through. Turn out onto a cooling rack and leave to cool for a few minutes. Dust with icing sugar, if you like, and serve with hot chocolate espresso sauce (see 'goes well with', below).""]"
Banana overnight oats,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Banana-Overnight-Oats-16f2208.jpg,Prep:5plusovernightchilling(nocook),"['2 bananas, peeled ', '100g porridge oats ', '¼ tsp ground cinnamon, plus a pinch to serve ', '1 tbsp maple syrup ', '300ml milk of your choice, plus a splash ', '2 tbsp peanut or almond butter, plus extra to serve ', '2 tbsp flaked or chopped almonds ', '2-4 tbsp natural yogurt, to serve (optional) ']","['  kcal 557  ', '  fat 23g  ', '  saturates 5g  ', '  carbs 65g  ', '  sugars 0g  ', '  fibre 6g  ', '  protein 20g  ', '  salt 0.3g  ']",easy-pudding,"['Mash 1 banana in a bowl with a fork until smooth. Stir in the oats, cinnamon, maple syrup, milk and peanut butter. Mix well, then cover and chill overnight.', 'The next morning, stir the porridge, adding another splash of milk if the mixture is quite stiff. Divide between two bowls. Slice the remaining banana and scatter this over the porridge, drizzle with more nut butter and sprinkle over the almonds. Top with spoonfuls of yogurt, if using, and sprinkle with a pinch more cinnamon before serving.']"
Baked oats,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Easy-Classic-Baked-Oats-b173e46.jpg,Prep:5Cook:25,"['100g porridge oats ', '1 tsp baking powder ', '1 banana, peeled and chopped ', '1 tbsp maple syrup or honey ', '2 eggs ', 'pinch of mixed spice or ground cinnamon ', '100g chocolate chips, blueberries or raspberries, plus extra to serve ', 'flavourless oil, for the ramekins ']","['  kcal 300  ', '  fat 12g  ', '  saturates 6g  ', '  carbs 38g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 8g  ', '  salt 0.5g  ']",easy-pudding,"['Heat the oven to 180C/160C fan/gas 4. Put the oats in a blender and pulse a few times until they start to resemble flour. Add the baking powder, chopped banana, maple syrup or honey, eggs and mixed spice or cinnamon, and whizz until smooth. Stir in the chocolate chips or berries.', 'Lightly oil four heatproof ramekins, then divide the batter between them. Bake for 20-25 mins, or until well-risen and the baked oats spring back when lightly pressed. Scatter with more chocolate chips or berries before serving, if you like.']"
Shahi tukda,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Shahi-tukda-4588a3a.jpg,Prep:20Cook:25,"['¼ tsp saffron stands ', '7 cardamom pods, seeds removed, plus 1 tsp caster sugar ', '1 tsp caster sugar ', '4 slices white bread , medium thickness, 2 days old ', 'sunflower oil, for shallow frying ', '1 litre full-fat milk ', '75g caster sugar ', '125ml double cream ', 'few drops rose water ', '1 tbsp almonds, chopped ', 'silver leaf (optional) ']","['  kcal 589  ', '  fat 39g  ', '  saturates 18g  ', '  carbs 47g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 19g  ', '  salt 0.64g  ']",easy-pudding,"['Put the saffron in a small bowl with 2 tbsp warm water and set aside for 1 hr. Meanwhile, grind the cardamom seeds to a powder with the caster sugar using a pestle and mortar.', 'Remove the crusts from the bread and cut the slices in half diagonally.', ""Pour the oil in a high-sided frying pan, until it's 2cm deep, and place over a medium heat. Once the oil reaches 180C, or when a cube of bread browns in 30 seconds, carefully add the bread slices in batches, and cook until golden on both sides. Drain on kitchen paper and set side."", ""Heat the milk and ground cardamom mixture in a wok or karahi over a medium-high heat, stirring occasionally. Once it comes to a boil, turn the heat to medium, and continue cooking the milk for about 15 mins, stirring often, until it's reduced by half."", 'Mix a ladleful of hot milk with the cream in a bowl, then pour it back into the pan. Stir in the saffron and its soaking water, and enough rose water to lend a soft floral flavour.', 'Add the fried bread in a single layer to the creamy milk – you will probably need to do this in two batches. Soften the bread over a low heat for 2-3 mins, then remove with a slotted spoon and arrange in a single layer on a serving plate.', 'Turn the heat to medium and reduce the milk left behind in the pan for a few mins, stirring all the time until creamy – it should have the consistency of double cream.', 'Leave the milk to cool and thicken for 15 mins, and then spoon it over the bread. Chill overnight so that the bread softens.', 'Sprinkle with the chopped almonds and silver leaf, if using, for a special occasion. Serve chilled.']"
Classic rice pudding,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Rice-pudding-e008fc9.jpg,Prep:5Cook:1hrs30,"['butter, for the dish ', '130g pudding rice ', '70g caster sugar ', '2 tsp vanilla bean paste or 1 vanilla pod, split and seeds scraped out ', '800ml whole milk ', '170ml double cream ', 'grating of nutmeg ', 'fruit jam of your choice, to serve (strawberry or apricot work well) ']","['  kcal 358  ', '  fat 21g  ', '  saturates 13g  ', '  carbs 36g  ', '  sugars 0g  ', '  fibre 0.3g  ', '  protein 6g  ', '  salt 0.2g  ']",easy-pudding,"['Heat the oven to 160C/140C fan/gas 3 and butter a 1.5-litre baking dish. Put the pudding rice, sugar, vanilla, milk and cream in a bowl and stir to combine. Pour the mixture into the prepared dish and grate over a generous layer of nutmeg. Bake for 1 hr 30 mins until a brown skin has formed on top and the rice is cooked and tender.', 'Leave to cool slightly, then scoop the warm pudding into bowls and serve with a dollop of jam on top.']"
Vanilla & cinnamon breakfast rice,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Vanilla-and-cinnamon-breakfast-rice-a4f3268.jpg,Prep:10Cook:35,"['200g wholemeal basmati rice ', '200ml whole milk ', '2 tsp vanilla extract ', '3 bay leaves ', '1 cinnamon stick ', '12 dried apricots split in half widthways (so they still look whole) ', '4 x 100ml pots bio yogurt ', '12 walnut halves, broken into pieces ']","['  kcal 378  ', '  fat 11g  ', '  saturates 4g  ', '  carbs 54g  ', '  sugars 0g  ', '  fibre 4g  ', '  protein 14g  ', '  salt 0.3g  ']",easy-pudding,"['Tip the rice into a large, deep non-stick pan with 600ml water, the milk, vanilla, bay leaves and cinnamon stick. Bring to the boil, then cover with a lid and simmer for 25-30 mins until the rice is tender. Keep an eye on it to ensure it doesn’t boil dry towards the end of its cooking time.', 'Meanwhile, tip the apricots into a small pan with 300ml water and cook over a low-medium heat until tender, about 10-15 mins. Set aside.', 'Remove the bay leaves and cinnamon stick from the rice, then stir in half the yogurt. Both the rice and the apricots will keep chilled, separately, for up to 24 hrs. Spoon the rice into bowls and top with the remaining yogurt, the apricots and their juices and the walnuts. If you’ve prepared the rice and apricots the day before, eat cold or reheat until warm, adding a splash of milk to the rice to loosen.']"
Toffee apple turnover puff pie,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Toffee-apple-turnover-puff-pie-4fd08c3.jpg,Prep:20Cook:40,"['6 eating apples (about 800g), peeled, cored and quartered ', '25g butter ', '50g golden caster sugar ', '320g sheet ready-rolled puff pastry ', '1 egg yolk, beaten ']","['  kcal 356  ', '  fat 19g  ', '  saturates 9g  ', '  carbs 40g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 4g  ', '  salt 0.5g  ']",easy-pudding,"['Chop the apples into small chunks. Heat the butter in a pan over a medium-high heat until sizzling, then scatter in most of the sugar, reserving about 1 tsp. Bubble until the sugar has dissolved and the mixture is sticky. Tip in the apples and stir to coat. Season with a small pinch of sea salt flakes and cook for 5-6 mins until the apples have softened and started to caramelise and any juices they have released have evaporated. Remove from the heat and set aside to cool completely. Once cooled, will keep chilled for up to a day.', 'Heat the oven to 200C/180C fan/gas 6 with a baking tray inside on the middle shelf. Unravel the pastry on its baking parchment. Spoon the apple mixture over the right side of the pastry, leaving about a 1-2cm border around the edge, then brush the border all around the pastry with some of the beaten egg yolk. Fold the left side of the pastry over the apple filling to enclose it. Crimp or pinch the edge, or use a fork to seal. Use the back of a knife to score six triangles over the top of the pie, and make a few small slits in the centre of each. Brush all over with the rest of the egg yolk, then scatter with the reserved 1 tsp sugar.', 'Carefully lift the pie, still on its parchment, onto the hot baking tray in the oven. Bake for 25-30 mins until puffed up and deeply golden. Leave to cool for 10 mins, then cut into wedges using the marked-out triangles as a guide.']"
Salted caramel & hazelnut banoffee pie,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Salted-caramel-and-hazelnut-banoffee-pie-2d0f8f0.jpg,Prep:30Cook:25pluscoolingandatleast5hrschilling,"['100g blanched hazelnuts ', '4 tbsp caster sugar ', '300g chocolate oat biscuits ', '85g salted butter, melted ', '400g dulche de leche ', '300ml double cream ', '3 tbsp dark muscovado sugar ', '1 tsp vanilla bean paste, or 1 tsp vanilla extract ', '3 medium bananas, peeled and sliced ']","['  kcal 631  ', '  fat 39g  ', '  saturates 20g  ', '  carbs 61g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.6g  ']",easy-pudding,"['Heat the oven to 200C/180C fan/gas 6. Tip the hazelnuts onto a baking sheet, and toast in the oven for 10-15 mins until evenly golden. Tip into a bowl. Line the baking sheet with baking parchment and set aside.', 'Tip the caster sugar, half the toasted hazelnuts and a small pinch of sea salt into a small saucepan set over a low heat. Cook gently for 7-10 mins until the sugar melts and turns an amber colour – do not stir, but swirl the pan every now and again. Tip the mix onto the baking sheet. Leave to cool completely, then break up into small pieces.', 'Line the base of a 23cm fluted tart tin with baking parchment. Break the biscuits into a food processor, and blitz with the rest of the hazelnuts to a fine crumb. Or, seal the biscuits and nuts in a food bag and crush with a rolling pin. Tip the crumbs into a bowl and combine with the melted butter. Press into the base of the tin and up the side, then chill for 2 hrs.', 'Remove the cold tart base from the tin (if it sticks slightly, put it in a warm oven for 3-4 mins to help release it), then set on a serving plate. Spoon the dulche de leche into a bowl and gently fold in a large pinch of sea salt (don’t overmix, or it will become too loose).', 'Tip the cream, muscovado sugar and vanilla into another bowl and gently beat with an electric whisk until softly whipped. Spread the salted caramel over the base of the tart, then arrange the banana slices on top. Spoon over the muscovado cream. Chill for at least 3 hrs, or overnight. Scatter with the hazelnut praline just before serving.']"
Chia pudding,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Chia-pudding-1667b59.jpg,Prep:5plusovernightchilling,"['2 tbsp chia seeds ', '125ml oat milk, or substitute for any nut milk, rice milk or dairy milk ', '2 tsp maple syrup, plus a drizzle to serve ', 'fruit, such as berries, banana, kiwis or mango, to serve ']","['  kcal 230  ', '  fat 11g  ', '  saturates 1g  ', '  carbs 21g  ', '  sugars 0g  ', '  fibre 12g  ', '  protein 5g  ', '  salt 0.1g  ']",easy-pudding,"['Combine the chia seeds, milk and 2 tsp maple syrup in a jar or bowl. Cover and chill overnight or for at least 8 hrs.', 'When ready to serve, top with fruit and a drizzle of maple syrup.']"
Salted caramel & apple pudding,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Salted-caramel-and-apple-pudding-8b0b0ab.jpg,Prep:15Cook:35,"['1 tbsp butter, softened ', '3 large eggs, and 2 egg yolks ', '50g dark brown soft sugar ', '200ml whole milk ', '300ml double cream ', '375g can caramel, beaten until smooth ', '2 tsp vanilla extract ', '75g plain flour ', '3 apples (we used Pink Lady) ', 'ice cream, to serve (optional) ']","['  kcal 631  ', '  fat 39g  ', '  saturates 22g  ', '  carbs 57g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 12g  ', '  salt 0.34g  ']",easy-pudding,"['Heat the oven to 180C/160C fan/gas 4. Butter a 30 x 20 x 4cm baking dish. Put the eggs, extra yolks, sugar, milk, cream, 200g of the caramel, the vanilla and a large pinch of sea salt in a large bowl, then whisk until combined. Stir in the flour until the batter is smooth.', 'Halve, core and cut the apples into 1cm slices – there’s no need to peel them. Arrange in the baking dish and pour over the batter. Bake for 30-35 mins until the batter is set in the centre, golden and slightly risen.', 'Drizzle over the remaining caramel, then sprinkle with a little extra sea salt. Leave to rest for 5-10 mins (it will deflate a little). Serve warm with vanilla or peanut butter ice cream, if you like.']"
