name,image,time,ingredient,nutrition,categoty,methode
Chocolate Christmas biscuits,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Chocolate-christmas-biscuits-931156e.jpg,Prep:30Cook:10pluscooling,"['270g plain flour ', '50g cocoa powder ', '120g icing sugar ', '150g butter ', '2 eggs ', 'melted chocolate or piping icing, sugar pearls, sprinkles ']","['  kcal 376  ', '  fat 15g  ', '  saturates 5g  ', '  carbs 33g  ', '  sugars 0g  ', '  fibre 17g  ', '  protein 17g  ', '  salt 0.8g  ']",easy,"['Mix the flour, cocoa, icing sugar and a pinch of salt in a bowl. Rub in the butter and then mix in eggs. Knead quickly with your hands to a smooth dough. Wrap in foil, press into a flat disc and chill for 30 minutes.', 'Heat the oven to 180C/fan 160C/gas 4. Line a couple of baking sheets with baking parchment. Roll out the pastry on a lightly floured worksurface to about 3mm thin. Cut out shapes from the dough. Put the biscuits on the baking sheets – it’s best to put similarly sized cookies together. Bake for 7-10 minutes, depending on the size of the biscuits.', 'Knead the off-cuts of the dough together and chill again for 15 minutes. Roll, cut and bake as before. Cool completely.', 'When cooled, the cookies can be decorated with chocolate or icing and sugar pearls and sprinkles.']"
Black and white pinwheel cookies,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Black-and-white-cookies-84e25c4.jpg,Prep:25Cook:12pluscooling,"['300g plain flour ', '100g icing sugar ', '8g vanilla sugar or 8g caster sugar, plus 1 tsp vanilla extract ', '1 egg, plus 1 egg white for glazing ', '125g butter, softened ', '1 tbsp cocoa ', '1 tbsp milk ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",easy,"['Put the flour, icing sugar, vanilla sugar, a pinch of salt, egg and soft butter in a stand mixer and mix. Tip the dough onto a lightly floured worksurface and knead briefly by hand. Cut the dough in half. Wrap one half and chill for an hour. Knead the cocoa and milk into the other half. Wrap and chill for an hour.', 'Roll each batch of dough into a rectangle (about 30cm x 20cm) on a lightly floured worksurface. Coat the top of one layer with egg white then lift the other colour of dough on top and coat the top with egg white. Roll up tightly like a Swiss roll. Wrap and chill for 30 minutes.', 'Heat the oven to 175C/fan 155C/gas 3½. Line 2 baking sheets with baking parchment. Cut the dough into slices about 5mm thick with a sharp knife. Bake in batches for 10-12 minutes, but don’t let the pale dough darken as you want to keep the contrast. Allow to cool completely.']"
Butter cookies,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Butter-biscuits-62fabdf.jpg,Prep:20Cook:12pluscooling,"['165g butter ', '100g icing sugar ', '1 tsp lemon zest ', '250g plain flour ', '1 tbsp milk ', '100g dark chocolate, milk chocolate or white chocolate ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",easy,"['Beat the butter with the icing sugar, a pinch of salt and the lemon zest until a smooth.', 'Sift in the flour and add the milk, mix to a dough and then knead briefly. Wrap and chill for 1-2 hours.', 'Heat the oven to 200C/fan 180C/gas 6. Line 2 baking sheets with baking parchment. Roll the dough out on a floured worksurface to 2mm and cut out different shapes. Arrange the biscuits on the baking sheets, grouping all the same sizes together. Bake for 10-12 minutes until golden, then cool completely.', 'Melt the chocolate in a microwave or in a bowl set over simmering water. Dip one side of each cookie into the chocolate and leave to cool and set.']"
Sugar-free cookies,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Sugar-free-cookies-f1caf8f.jpg,Prep:15Cook:10pluscooling,"['150g plain flour ', '80g butter ', '3 tbsp agave syrup ', '2 egg yolks ', '1 vanilla pod ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",easy,"['Beat the flour, butter, agave syrup, egg yolks, the seeds from the vanilla pod and a pinch of salt together in a stand mixer to make a smooth dough. Wrap the dough and chill for 30 minutes.', 'Roll out the dough on a lightly floured worksurface and cut out 36 cookies with biscuit cutters.', 'Heat the oven to 180C/fan 160C/gas 4. Cover 2 baking sheets with baking parchment. Lift the cookies onto the baking sheets and bake for 8-10 minutes until golden. Allow to cool completely. Store in an airtight container.']"
Milk-free cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Milk-free-cake-63c3b04.jpg,Prep:20Cook:50,"['250g butter ', '4 eggs ', '250g sugar ', '250g plain flour ', '80g vanilla pudding (or cornflour plus 1 tsp vanilla extract) ', '5g baking powder ', '5ml vanilla extract ', '20g cocoa ', 'icing sugar for dusting ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",easy,"['Start by melting the butter and cooling it down. Heat the oven to 180C/fan 160C/gas 4. Beat the eggs with the sugar in a mixer until pale and fluffy, then fold in the flour, vanilla pudding, baking powder, vanilla and cooled butter to make a smooth batter.', 'Pour ¾ of the prepared dough into a 950g loaf tin or 20cm round lined cake tin, and add the cocoa to the remaining batter. Pour the chocolate mixture down the centre of the pale batter. Bake for 40 mins. After baking, cool the cake and sprinkle it with icing sugar or cover it with chocolate glaze, if you prefer.']"
Gingery broccoli-fry with cashews,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Gingery-broccoli-fry-with-cashews-42012f6.jpg,Prep:15Cook:10,"['320g head of broccoli, stalks and florets separated ', '40g cashews, roughly chopped ', '1 tbsp sesame oil ', '15g ginger, finely sliced ', '1 small red onion, finely chopped ', '1 red pepper, deseeded and cut into thin strips ', '1 large carrot (160g), cut into thin strips ', '2 garlic cloves, thinly sliced ', '1 red chilli, deseeded and finely chopped, plus extra sliced, to serve ', '1 tbsp tamari ', '1 lime, juiced and zested ', '7g chopped coriander, plus extra to serve ', '2 eggs, beaten ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",easy,"['Blitz the broccoli stalks in a food processor until finely chopped. Add the florets and pulse again to achieve a rice-like texture.', 'Lightly toast the cashews in a wok or frying pan, then tip onto a plate and set aside. Heat the oil in a pan over a high heat and add the ginger, onion, pepper, carrot, garlic and chilli. Stir-fry for 2-3 mins until starting to brown, then put a lid on and cook for another 2 mins.', 'Add the broccoli and 3 tbsp water and stir-fry for 3 mins until all the veg is tender. Pour in the tamari, lime juice and zest and coriander, stir well, then pour in the eggs and stir-fry very briefly to just set. Serve with the cashews, extra coriander and extra sliced chilli scattered over, if you like.']"
Quinoa salad with shredded greens & raisins,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:10Cook:20,"['150g quinoa ', '3 tbsp balsamic vinegar ', '2 tbsp extra virgin olive oil ', '200g cavolo nero, shredded ', '1 red onion, finely chopped ', '1 green pepper, deseeded and chopped into small pieces ', '30g raisins ', '2 small avocados, chopped ', '40g vegetarian feta ']","['  kcal 381  ', '  fat 20g  ', '  saturates 5g  ', '  carbs 35g  ', '  sugars 0g  ', '  fibre 9g  ', '  protein 11g  ', '  salt 0.4g  ']",easy,"['Rinse the quinoa in a sieve under running water until the water runs clear, then cook for 20 mins following pack instructions. Leave to rest for 5 mins. Rinse again and drain well by pressing in the sieve.', 'Meanwhile, put the vinegar and oil in a large bowl, add the cavolo nero and massage in the dressing with your hands to soften it.', 'Add the quinoa, onion, pepper and raisins, then toss well. Spoon half onto plates, scatter over 1 chopped avocado, crumble in half the feta and toss. The remainder will keep chilled for up to three days. Top with the remaining avocado and feta, then serve.']"
Sweet potato gnocchi with tomato sauce,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Sweet-potato-gnocchi-with-tomato-sauce-e821bb0.jpg,Prep:40Cook:1hrs10,"['350g sweet potatoes ', '4 baking potatoes (950g) ', '200g wholemeal spelt flour, plus extra if needed ', '1 tbsp olive oil ', '4 garlic cloves, finely grated ', '1-2 fresh chillies, deseeded and finely chopped ', '600g large vine-ripened tomatoes, finely chopped ', '15g basil, half chopped ', '50g finely grated Italian-style vegetarian hard cheese ']","['  kcal 507  ', '  fat 9g  ', '  saturates 3g  ', '  carbs 85g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 16g  ', '  salt 0.3g  ']",easy,"['Heat the oven to 200C/180C fan/gas 6. Put both types of potato on a baking tray, prick all over with a fork, then bake for 50-60 mins until a knife easily slides into them. Cut all the potatoes in half to allow excess steam to escape as they cool.', 'Meanwhile, make the sauce. Heat the oil in a pan over a medium heat and fry the garlic and chillies until softened. Tip in the tomatoes, stir in half the chopped basil, then cover and leave to cook over a low heat for 20-30 mins to make a thick sauce.', 'When the baked potatoes are cool enough to handle, carefully peel and discard the skins, then mash well until smooth. Stir in the flour, then knead briefly with your hands to create a dough, adding a little extra flour if the mixture is sticky.', 'Halve the dough, then wrap one half and put it in the fridge for another day. Will keep chilled for up to three days. Quarter the remaining dough, then roll each piece into a sausage about 28cm long and cut into even bite-sized chunks. Lightly press using the back of a fork to create ridges, if you like, then set aside, spaced apart.', 'Bring a large pan of water to the boil, then drop in the gnocchi and cook for 2-4 mins until they rise to the surface, then scoop them out using a slotted spoon. Don’t let them overcook or they’ll fall apart. Toss with half the tomato sauce, tear in half the remaining basil, and scatter over half the cheese. The remainder will keep chilled for up to three days. Make the rest of the gnocchi as described in step 4, then reheat in the sauce and serve as above with the remaining basil and cheese.']"
Blueberry cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Blueberry-cake-81763c6.jpg,Prep:10Cook:50,"['1 tsp butter ', '400g frozen blueberries ', '335g flour, plus a spoonful for berries ', '275g caster sugar ', '2 eggs ', '165ml vegetable oil ', '2 tbsp lemon zest ', '65ml lemon juice ', '250ml thick natural yogurt ', '4 tsp baking powder ']","['  kcal 501  ', '  fat 19g  ', '  saturates 4g  ', '  carbs 51g  ', '  sugars 0g  ', '  fibre 19g  ', '  protein 23g  ', '  salt 0.6g  ']",easy,"['Preheat the oven to 200C/fan 180C/gas 6. Butter a 22cm cake tin, line the bottom with baking parchment. Put a third of the frozen blueberries aside, sprinkle the rest with flour, set aside (do not defrost).', 'In a large bowl, beat the sugar and eggs until smooth, add the vegetable oil, lemon zest and juice and yogurt. Combine the wet ingredients with the flour, baking powder and a pinch of salt using a whisk. Don’t worry if a few lumps remain. Add the blueberries mixed with flour.', 'Pour the cake mixture into the prepared tin. Sprinkle the remaining berries on top. Put the tin in the oven, reduce the temperature to 180C/fan 160C/gas 4. Bake for 1 hr 10 mins-1hr 20 mins or until a skewer inserted into the cake comes out clean. Remove from oven and set aside to cool. After removing from the baking tin, sprinkle the cake with icing sugar, if you like.']"
Veggie nuggets with summer slaw,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Veggie-nuggets-with-summer-slaw-ce40d59.jpg,Prep:35Cook:40,"['100g quinoa ', '2 onions (320g), very finely chopped ', '2 tbsp olive oil ', '2 x 400g cans black beans, drained ', '2 tsp dried oregano ', '3½ tbsp crunchy peanut butter ', '3 tbsp parsley, chopped ', '1 tsp vegetable bouillon powder ', '2 eggs, beaten ', '90g pot bio yogurt ', '1 tsp English mustard powder ', '1 tsp apple cider vinegar ', '1 carrot (150g), coarsely grated ', '1 red pepper, deseeded and finely chopped ', '1 very small onion, finely chopped ', '320g white cabbage, finely shredded ', '4 tbsp chopped coriander ']","['  kcal 501  ', '  fat 19g  ', '  saturates 4g  ', '  carbs 51g  ', '  sugars 0g  ', '  fibre 19g  ', '  protein 23g  ', '  salt 0.6g  ']",easy,"['Boil the quinoa for 20 mins following pack instructions, leave to stand for 5 mins, then drain well. Meanwhile, fry the onions in 1 tbsp oil over a medium-low heat for 5 mins with the lid on the pan, then uncover and fry for 5 mins more until soft and starting to colour. Take off the heat, stir in the black beans, oregano, peanut butter, parsley and bouillon, then mash everything together with a potato masher to crush the beans. Add the quinoa and eggs and mix well.', 'Heat the remaining 1 tbsp oil in a large non-stick frying pan then, using a measuring tablespoon, scoop rounded spoonfuls of the mixture and add to the pan, spaced apart. Cook for about 2-3 mins each side until the nuggets are browned. Cook half the mixture and save the remainder for another day. Will keep chilled for up to three days.', 'To make the coleslaw, put the yogurt, mustard powder and vinegar in a bowl, stir together to make a dressing, then add the vegetables and coriander and toss well. Serve half the coleslaw with two portions of the nuggets. The remainder will keep chilled for up to three days.']"
