name,image,time,ingredient,nutrition,categoty,methode
Gingery broccoli-fry with cashews,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Gingery-broccoli-fry-with-cashews-42012f6.jpg,Prep:15Cook:10,"['320g head of broccoli, stalks and florets separated ', '40g cashews, roughly chopped ', '1 tbsp sesame oil ', '15g ginger, finely sliced ', '1 small red onion, finely chopped ', '1 red pepper, deseeded and cut into thin strips ', '1 large carrot (160g), cut into thin strips ', '2 garlic cloves, thinly sliced ', '1 red chilli, deseeded and finely chopped, plus extra sliced, to serve ', '1 tbsp tamari ', '1 lime, juiced and zested ', '7g chopped coriander, plus extra to serve ', '2 eggs, beaten ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",quick-and-healthy,"['Blitz the broccoli stalks in a food processor until finely chopped. Add the florets and pulse again to achieve a rice-like texture.', 'Lightly toast the cashews in a wok or frying pan, then tip onto a plate and set aside. Heat the oil in a pan over a high heat and add the ginger, onion, pepper, carrot, garlic and chilli. Stir-fry for 2-3 mins until starting to brown, then put a lid on and cook for another 2 mins.', 'Add the broccoli and 3 tbsp water and stir-fry for 3 mins until all the veg is tender. Pour in the tamari, lime juice and zest and coriander, stir well, then pour in the eggs and stir-fry very briefly to just set. Serve with the cashews, extra coriander and extra sliced chilli scattered over, if you like.']"
Quinoa salad with shredded greens & raisins,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quinoa-salad-with-shredded-greens-and-raisins-3da2933.jpg,Prep:10Cook:20,"['150g quinoa ', '3 tbsp balsamic vinegar ', '2 tbsp extra virgin olive oil ', '200g cavolo nero, shredded ', '1 red onion, finely chopped ', '1 green pepper, deseeded and chopped into small pieces ', '30g raisins ', '2 small avocados, chopped ', '40g vegetarian feta ']","['  kcal 381  ', '  fat 20g  ', '  saturates 5g  ', '  carbs 35g  ', '  sugars 0g  ', '  fibre 9g  ', '  protein 11g  ', '  salt 0.4g  ']",quick-and-healthy,"['Rinse the quinoa in a sieve under running water until the water runs clear, then cook for 20 mins following pack instructions. Leave to rest for 5 mins. Rinse again and drain well by pressing in the sieve.', 'Meanwhile, put the vinegar and oil in a large bowl, add the cavolo nero and massage in the dressing with your hands to soften it.', 'Add the quinoa, onion, pepper and raisins, then toss well. Spoon half onto plates, scatter over 1 chopped avocado, crumble in half the feta and toss. The remainder will keep chilled for up to three days. Top with the remaining avocado and feta, then serve.']"
Spicy microwave popcorn,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Spicy-microwave-popcorn-3d96cde.jpg,Prep:5Cook:5,"['50g corn kernels ', '1 tbsp sesame oil ', '1 tsp garlic granules ', '2-3 tsp smoked paprika ']","['  kcal 50  ', '  fat 3g  ', '  saturates 0.4g  ', '  carbs 5g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 1g  ', '  salt 0g  ']",quick-and-healthy,"['Tip the corn kernels into a large heatproof bowl, cover and microwave for 5-8 mins, or until the popping stops.', 'Stir in the oil and spices, and toss well to coat. Will keep in an airtight container for up to a week.']"
Hummus snack packs,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Hummus-snack-packs-626073e.jpg,Prep:10Nocook,"['400g can chickpeas, drained, liquid reserved ', '1 garlic clove ', '½ tsp ground cumin ', '1 tsp ground coriander ', '1-2 tbsp lemon juice ', '1 tbsp extra virgin olive oil ', '2 x 200g bags rainbow carrots or 4 regular carrots ', '2 x 200g bags baby cucumbers or 4 regular cucumbers ']","['  kcal 164  ', '  fat 6g  ', '  saturates 1g  ', '  carbs 18g  ', '  sugars 0g  ', '  fibre 8g  ', '  protein 6g  ', '  salt 0.1g  ']",quick-and-healthy,"['Tip the chickpeas and garlic into a bowl with the cumin, coriander, 1 tbsp lemon juice and the oil. Add 2 tbsp of the reserved liquid from the chickpeas, then blitz using a hand blender until smooth. If the blender is struggling, add another splash of the liquid. Season and add a little more lemon juice if needed.', 'Spoon the hummus into four small containers. Will keep covered and chilled for up to three days. Slice the carrots and cucumber into batons when you’re ready to eat and serve with the hummus.']"
Chicken pesto orzo salad,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Chicken-pesto-orzo-salad-70b1d4c.jpg,Prep:25Cook:15,"['2 boneless, skinless chicken breasts ', '1 lemon, zested and juiced ', '3 garlic cloves, 2 crushed, 1 left whole ', '1 tbsp olive oil ', '25g flaked almonds ', 'large bunch of flat-leaf parsley ', 'small bunch of basil ', 'small bunch of mint, leaves picked ', '25g parmesan, grated, plus extra shaved parmesan to serve ', '100ml extra virgin olive oil, plus a drizzle to serve ', '250g orzo ', '16 asparagus spears ']","['  kcal 461  ', '  fat 25g  ', '  saturates 4g  ', '  carbs 33g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 25g  ', '  salt 0.2g  ']",quick-and-healthy,"['Put the chicken breasts on a board and cover with a sheet of baking parchment. Use a rolling pin or meat mallet to bash to an even thickness of about 2cm, being careful not to break the chicken into pieces.', 'Combine the lemon zest, crushed garlic, olive oil and some seasoning in a medium bowl, then add the chicken and turn in the marinade to coat. Transfer to the fridge while you make the pesto.', 'Toast the flaked almonds in a dry frying pan over a medium heat for 2-3 mins, shaking the pan often until the almonds are golden brown. Tip into a small food processor or blender. Peel the whole garlic clove and tip this into the food processor along with the parsley, basil, most of the mint leaves, the parmesan, extra virgin olive oil and lemon juice. Season, then blitz to a fine texture.', 'Cook the orzo in a large pan of boiling salted water following the pack instructions, or until al dente. Heat a griddle pan over a medium-high heat and cook the marinated chicken for 4-5 mins on each side until cooked through with char lines. Drain the orzo and transfer the chicken to a plate to rest.', 'Drizzle the asparagus spears with a little extra virgin olive oil and season with salt, then griddle for 3 mins until just softened. Remove from the heat and set aside.', 'Toss most of the pesto through the cooked orzo along with any resting juices from the chicken. The remaining pesto will keep covered in the fridge for up to five days. Slice the chicken breasts. Tip the orzo onto a large serving platter and pile the asparagus and chicken on top, then scatter with the remaining mint leaves, some parmesan shavings and a grinding of black pepper. Drizzle with a little extra virgin olive oil and serve warm.']"
Taramasalata,https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Taramasalata-40cb1a2.jpg,Prep:20Nocook,"['100g crustless stale white bread (about 5-6 slices) ', ""250g smoked cod's roe "", '½ red onion, chopped ', '1 garlic clove, chopped ', '1 lemon, juiced ', '75ml olive oil, plus a drizzle to serve ', '75ml sunflower oil ', 'toasted pittas, to serve ']","['  kcal 233  ', '  fat 20g  ', '  saturates 3g  ', '  carbs 6g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 7g  ', '  salt 0.22g  ']",quick-and-healthy,"['Soak the bread in a bowl of cold water, then squeeze out the excess and tip into a food processor or blender. Cut through the thick skin of the roe lobes, scrape out the soft roe underneath and tip into the food processor with the bread. Add the onion, garlic, lemon juice and a good grind of black pepper, then whizz to a paste.', 'With the motor running, gradually drizzle in the olive oil, then the sunflower oil, until everything is incorporated and you have a slightly thicker paste. Scrape the taramasalata into a serving bowl, drizzle with a little more olive oil and serve with toasted pittas for dipping.']"
Coconut & corn curry,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Coconut-and-corn-curry-3ef570b.jpg,Prep:5Cook:30,"['150g red lentils ', '1 tbsp vegetable oil ', '1 onion, finely sliced ', 'thumb-sized piece of ginger, finely sliced, plus extra to serve ', '1 tbsp turmeric ', '1 tbsp curry powder (check it’s gluten free if needed) ', '250g baby corn, halved diagonally ', '110g coconut yogurt, plus extra to serve ', '½ small bunch of coriander, leaves picked ']","['  kcal 473  ', '  fat 14g  ', '  saturates 6g  ', '  carbs 57g  ', '  sugars 0g  ', '  fibre 14g  ', '  protein 24g  ', '  salt 0.1g  ']",quick-and-healthy,"['Put the lentils in a sieve and rinse until the water runs clean. Put the oil in a saucepan over a medium heat, tip in the onion and cook for 8 mins until softened. Add the ginger, turmeric and curry powder, and cook for another minute until fragrant. Stir in the lentils.', 'Tip in 400ml hot water and bring to the boil. Turn the heat down to medium and simmer for 15 mins until most of the water has been absorbed. Add the baby corn and 100ml water, cover and continue to simmer for 5-10 mins until the lentils are soft and the corn still has a little bite. Stir in the coconut yogurt to warm up, but don’t let it boil. Serve topped with more coconut yogurt, if you like, and coriander leaves sprinkled over.']"
Herby paneer baked rice,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Herby-paneer-baked-rice-b4cd1b0.jpg,Prep:5Cook:25,"['150g basmati rice ', '1 tbsp rapeseed oil ', '400ml hot vegetable stock ', '½ small pack of parsley, finely chopped ', '1 lemon, zested and juiced ', '65g paneer, cut into 1½ cm cubes ', '100g mangetout, halved lengthways ', '100g frozen peas ']","['  kcal 492  ', '  fat 16g  ', '  saturates 6g  ', '  carbs 64g  ', '  sugars 0g  ', '  fibre 7g  ', '  protein 20g  ', '  salt 0.5g  ']",quick-and-healthy,"['Heat the oven to 200C/180C fan/gas 6. Tip the rice and rapeseed oil into a medium casserole dish (around 25 x 20cm), season and mix to coat the rice in the oil. Add the stock, most of the parsley, most of the lemon zest and all the juice, stir together and season.', 'Dot the paneer cubes all over the top of the rice and bake for 20 mins until the rice is very nearly cooked and the paneer is beginning to turn golden on top. Mix through the mangetout and peas, then put back in the oven for 5-7 mins until the veg is cooked but still bright in colour. Sprinkle over the reserved parsley and lemon zest.']"
Healthy tuna pasta,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Healthy-tuna-pasta-67b6fbb.jpg,Prep:10Cook:14,"['150g wholemeal penne ', '1 large leek (200g), halved, and thinly sliced ', '1 tsp olive oil ', '160g cherry tomatoes, preferably on the vine ', '198g can sweetcorn, drained ', '75g ricotta ', '160g can tuna in spring water, drained ', 'handful of basil, chopped, plus a few whole leaves to serve ']","['  kcal 459  ', '  fat 11g  ', '  saturates 4g  ', '  carbs 56g  ', '  sugars 0g  ', '  fibre 12g  ', '  protein 28g  ', '  salt 0.7g  ']",quick-and-healthy,"['Boil the penne with the leek in a large pan of salted water following pack instructions, until al dente.', 'Meanwhile, heat the oil in a large pan over a medium-high heat and fry the tomatoes for a few minutes, until they start to burst and soften. Add the sweetcorn and cook for 2-3 mins to heat through. Drain the pasta and leeks, reserving a little of the pasta water. Tip the drained pasta and leeks into the pan with the tomatoes, then toss through the ricotta and tuna.', 'Season with plenty of black pepper. If you want to loosen the consistency, stir in some of the reserved pasta water along with the chopped basil. Serve scattered with the whole basil leaves.']"
Easy pesto,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/perfect-pesto-feb1d6d.jpg,Prep:15Cook:5,"['50g pine nuts or cashews ', 'large bunch of basil, leaves picked ', '50g parmesan or vegetarian alternative ', '1 garlic clove, chopped ', '100ml olive oil ']","['  kcal 188  ', '  fat 19g  ', '  saturates 3g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0.2g  ', '  protein 4g  ', '  salt 1g  ']",quick-and-healthy,"['Toast the nuts in a pan over a low heat. Tip into a mini chopper with the remaining ingredients, or use a large pestle and mortar, then blitz or pound into a rough sauce. Will keep for three days in the fridge.']"
