name,image,time,ingredient,nutrition,categoty,methode
Milk-free cake,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Milk-free-cake-63c3b04.jpg,Prep:20Cook:50,"['250g butter ', '4 eggs ', '250g sugar ', '250g plain flour ', '80g vanilla pudding (or cornflour plus 1 tsp vanilla extract) ', '5g baking powder ', '5ml vanilla extract ', '20g cocoa ', 'icing sugar for dusting ']","['  kcal 388  ', '  fat 21g  ', '  saturates 4g  ', '  carbs 22g  ', '  sugars 0g  ', '  fibre 13g  ', '  protein 20g  ', '  salt 1g  ']",quick-cake,"['Start by melting the butter and cooling it down. Heat the oven to 180C/fan 160C/gas 4. Beat the eggs with the sugar in a mixer until pale and fluffy, then fold in the flour, vanilla pudding, baking powder, vanilla and cooled butter to make a smooth batter.', 'Pour ¾ of the prepared dough into a 950g loaf tin or 20cm round lined cake tin, and add the cocoa to the remaining batter. Pour the chocolate mixture down the centre of the pale batter. Bake for 40 mins. After baking, cool the cake and sprinkle it with icing sugar or cover it with chocolate glaze, if you prefer.']"
Blackberry Victoria sponge,https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Blackberry-Victoria-sponge-22a0bfd.jpg,Prep:20Cook:25,"['200g butter, softened, plus a little for greasing ', '200g caster sugar ', '1 tsp vanilla extract ', '4 medium eggs ', '200g self-raising flour, plus extra for dusting ', '250ml double cream ', '1 tbsp icing sugar, plus extra for dusting ', '250g blackberries ', 'pastry brush ', '2 x 20cm round loose-bottom cake tins ', 'cloth ', 'large mixing bowl ', 'weighing scales ', 'measuring spoons ', 'electric hand whisk ', 'small bowl ', 'spatula ', 'oven gloves ', 'skewer ', 'cooling rack ', 'measuring jug ', 'small sieve or icing shaker ']","['  kcal 391  ', '  fat 27g  ', '  saturates 16g  ', '  carbs 32g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0.53g  ']",quick-cake,"['Heat the oven to 190C/170C fan/gas 5. Use a pastry brush to brush two 20cm round cake tins with a little butter, then line them with baking parchment (see How to Line a Cake Tin).', 'Place a clean cloth under a large bowl – this will keep it steady as you mix. Weigh the butter, caster sugar and vanilla extract into the bowl.', 'Make sure the whisk attachments are fitted securely in your hand whisk, then plug it in. Turn the whisk on to a medium speed and use it to whisk the ingredients together for 2 mins, or until they look smooth and creamy. Make sure you keep your fingers away from the whisk while it’s turned on.', 'Crack the eggs into a small bowl. Continue whisking the butter and sugar and use your other hand to tip in the eggs, one at a time. Mix for 1 min more or until smooth.', 'Weigh the flour and add it to the bowl. Use a spatula to fold the ingredients together until there are no pockets of flour and the cake mixture is smooth.', 'Use your spatula to divide the cake mixture evenly between the cake tins, then spread the mixture to the edges and smooth the surface.', 'Use oven gloves to place the tins on the middle shelf of the oven and set a timer for 22 mins. When the timer beeps, use your oven gloves to pull the oven rack out of the oven slightly but leave the cakes inside, they should be risen and golden brown. Insert a skewer into the centre of the cakes to check if they’re cooked: if the skewer comes out dry, they’re cooked; if there is any wet cake mixture on the skewer, the cakes need a little longer in the oven. If this is the case, return them to the oven and bake for another 5 mins, then check again.', 'Use your oven gloves to carefully remove the cakes from the oven, place them on a cooling rack and allow to cool for 15 mins in the tin. When cool enough to handle, turn the cakes out onto the rack and remove the baking parchment, then leave until completely cool.', 'Measure the double cream in a jug and pour it into a large mixing bowl. Measure the icing sugar in a measuring spoon and add it to the cream. Use your electric hand whisk to whip the cream until it is softly whipped, like clouds.', 'Place one of the cakes on a plate or cake stand, then use a spatula or palette knife to spread the cream over the cake in an even layer. Put the blackberries on top of the cream, then put the other cake on top. Use a sieve or icing shaker to dust the cake with a little icing sugar. This is best served straight away but will keep in the fridge for two days.']"
Lemon & blueberry cheesecake tart,https://images.immediate.co.uk/production/volatile/sites/30/2022/02/Custard-tart-4878630.jpg,Prep:10Cook:25,"['320g sheet ready-rolled puff pastry ', '1 egg, beaten ', '225g full-fat soft cheese ', '2 lemons, zested and 1 juiced ', '4 tbsp icing sugar, sieved ', '3 tbsp lemon curd ', '100g blueberries ']","['  kcal 288  ', '  fat 18g  ', '  saturates 10g  ', '  carbs 25g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 5g  ', '  salt 0.6g  ']",quick-cake,"['Heat the oven to 200C/180C/gas 6 with a baking tray inside to heat up. Unravel the puff pastry on its baking parchment and lightly score a border about 2cm from the edge all the way around the pastry. Brush a little of the beaten egg around the border, then set aside.', 'Whisk the soft cheese, most of the lemon zest and all of the juice, 3 tbsp icing sugar and the rest of the beaten egg together in a medium bowl for 1 min until smooth and slightly thickened.', 'Spoon the cheesecake mixture over the middle of the tart base, spreading it to the edge of the border using a palette knife or the back of the spoon. Dot teaspoonfuls of the lemon curd on top and, using a cutlery or palette knife, gently swirl the curd into the cheesecake mixture to created a marbled effect. Sprinkle the blueberries over evenly, then carefully slide the tart onto the hot baking tray inside the oven and bake for 20-25 mins until the pastry is golden brown and crisp at the edges.', 'Leave the tart to cool completely or until just warm. Dust over the remaining icing sugar and sprinkle with the rest of the lemon zest, then cut into rectangles and serve.']"
Vegan vanilla cupcakes,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Vegan-Vanilla-Cupcakes-f5c67f8.jpg,Prep:25Cook:20,"['50ml rapeseed oil ', '1 tsp cider vinegar ', '200ml plant milk (we used oat) ', '225g self-raising flour ', '½ tsp baking powder ', '150g golden caster sugar ', '2 tsp vanilla paste ', '200g vegan plant butter block, softened ', '2 tsp vanilla paste ', '400g icing sugar ']","['  kcal 419  ', '  fat 18g  ', '  saturates 8g  ', '  carbs 62g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.52g  ']",quick-cake,"['Combine the rapeseed oil, cider vinegar and oat milk in a jug. Heat the oven to 180C/160C fan/gas 4. Line a 12-hole cupcake or muffin tray with paper cases. Tip the flour, baking powder and sugar into a large bowl. Make a well in the middle and slowly pour in the wet mixture, whisking constantly. Add the vanilla paste and stir to combine. Divide evenly between the paper cases and bake for 15-20 mins until golden and a skewer inserted into the middle of a cupcake comes out clean. Transfer to a cooling rack to cool completely.', 'For the icing, beat the plant block and vanilla until soft and creamy, around 2 mins. Add the icing sugar in batches, beating well after each addition, and a large pinch of salt. Transfer to a piping bag fitted with a star nozzle. Pipe swirls on top of each cooled cupcake. Will keep, iced, for up to three days in an airtight container.']"
Vegan ginger loaf cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/09/Vegan-ginger-loaf-cake-72a0d19.jpg,Prep:15Cook:50,"['100ml vegetable oil, plus extra for the tin ', '275g self-raising flour ', '150g dark muscovado sugar ', '1 tsp baking powder ', '1 tbsp ground ginger ', '50g treacle ', '50g stem ginger from a jar, finely grated, plus 1 tsp of the ginger syrup ', '150g icing sugar ', '½ lemon, juiced ', '4 crystallised stem ginger pieces, sliced ']","['  kcal 353  ', '  fat 11g  ', '  saturates 1g  ', '  carbs 61g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 3g  ', '  salt 0.4g  ']",quick-cake,"['Heat the oven to 200C/180C fan/gas 6. Oil a 900g loaf tin (ours was 19 x 9 x 6cm) and line with a long strip of baking parchment. Mix the flour, muscovado sugar, baking powder and ground ginger together in a large bowl. Tip in the oil, treacle, grated stem ginger and 170ml cold water, then beat together until smooth using a wooden spoon.', 'Pour the cake mixture into the prepared tin and bake in the centre of the oven for 45-50 mins until a skewer inserted into the middle comes out clean. Leave to cool in the tin for 5 mins, then transfer to a wire rack to cool fully.', 'Sieve the icing sugar into a bowl, add the ginger syrup and mix in just enough lemon juice to make a thick, pourable icing that can coat the back of a spoon. Put the cake on a plate or stand, remove the parchment and drizzle over the icing. Immediately scatter over the stem ginger. Cut the cake into thick slices to serve.']"
Gluten-free chocolate cake,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Gluten-free-chocolate-cake-eae2d2f.jpg,Prep:45Cook:35,"['150ml vegetable oil, plus extra for the tins ', '175g gluten-free flour ', '1 tsp xanthan gum ', '50g cocoa powder ', '1 tbsp baking powder ', '½ tsp bicarbonate of soda ', '75g dark brown soft sugar ', '75g caster sugar ', '2 tbsp golden syrup ', '2 eggs ', '100g Greek yogurt ', '100ml milk ', '2 tbsp instant coffee, dissolved in 4 tbsp hot water ', '300g icing sugar ', '25g cocoa powder ', '150g soft salted butter ', '3 tbsp milk ', '65g dark chocolate, melted ']","['  kcal 604  ', '  fat 35g  ', '  saturates 13g  ', '  carbs 66g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 6g  ', '  salt 0.9g  ']",quick-cake,"['Heat the oven to 180C/160C fan/gas 4. Oil the base of two 18cm sandwich tins and line with baking parchment. Mix the flour, xanthan gum, cocoa, baking powder, bicarbonate of soda, a large pinch of salt and both sugars together in a large bowl.', 'Whisk\xa0the golden syrup, eggs, oil, yogurt, milk and coffee together in a jug. Gradually whisk the wet ingredients into the dry until you have a smooth mixture.', 'Pour the mixture into the prepared tins and bake for 30-35 mins until risen and firm to the touch. Remove from the oven and leave to cool for 10 mins in the tins before turning out onto a cooling rack.', 'While the cakes are cooling, make the icing. Beat the icing sugar, cocoa powder, butter and milk together for 5 mins until smooth and fluffy. Gradually pour in the melted chocolate while beating, scraping down the sides of the bowl to make sure everything’s included.', 'Spread half the icing over the middle of one sponge using a small palette knife. Sandwich the other sponge on top, with the flat bottom-side facing up. Spread the remaining icing around the top and sides of the cake, smoothing over with a palette knife. If you have any icing left, you can pipe some rosettes on top of the cake.']"
Chocolate fairy cakes,https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Chocolate-fairy-cakes-2c1d575.jpg,Prep:20Cook:20,"['100g caster sugar ', '100g unsalted butter, softened ', '2 large eggs ', '1 tsp vanilla paste ', '80g self-raising flour ', '2 tbsp cocoa powder ', '½ tsp baking powder ', '2 tbsp milk ', '75g softened butter ', '150g icing sugar ', '40g cocoa powder ', '2-3 tbsp milk ']","['  kcal 255  ', '  fat 15g  ', '  saturates 9g  ', '  carbs 27g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 4g  ', '  salt 0.3g  ']",quick-cake,"['Heat the oven to 180C/160C fan/gas 4. Line a 12-hole bun tin with paper cases. Put the sugar and butter in a bowl and beat together until light and fluffy. Gradually mix in the eggs and vanilla until combined.', 'Add the flour, cocoa powder and baking powder to the bowl and mix to make a smooth batter. Fold the milk through to loosen. Divide the mixture between the cases using a spoon. Bake for 20 mins, or until a cocktail stick poked into the centre of one of the cakes in the middle row comes out clean. Leave to cool in the tin for 5-10 mins, then transfer to a wire rack to cool completely', 'While the cakes are cooling, make the icing. Beat together the butter, icing sugar and cocoa powder in a bowl for 5-10 mins, until you have a smooth, creamy consistency. Add the milk to loosen if needed. Pipe or spread on top of the cooled cupcakes.']"
Gingerbread & honey loaf,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Gingerbread-and-honey-cake-b5a2461.jpg,Prep:10Cook:50pluscooling,"['100g butter, plus extra for the tin ', '100g honey ', '125g dark brown demerara sugar ', '4 tbsp milk ', '½ tsp vanilla extract ', '200g self-raising flour ', '¼ tsp baking powder ', '1 tsp ground ginger ', '1 tsp ground cinnamon ', 'large pinch of grated nutmeg ', 'large pinch of ground cloves ', 'large pinch of ground allspice ', '1 egg, beaten ']","['  kcal 198  ', '  fat 8g  ', '  saturates 5g  ', '  carbs 29g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.3g  ']",quick-cake,"['Heat the oven to 180C/160C fan/gas 4 and butter and line a 900g loaf tin. Put the honey, butter and sugar in a saucepan and warm over a low heat, stirring occasionally, until the butter has melted and the sugar dissolved. Remove from the heat and pour in the milk and vanilla, then set aside to cool.', 'Tip the flour into a bowl with the baking powder, spices and a pinch of salt. Add the egg, then gently fold in along with the melted butter mixture. Once combined, tip into the prepared tin, place on a baking tray, and bake for 40 mins until springy to the touch and a skewer inserted into the middle comes out clean. Leave to cool for 10 mins in the tin, then place on a cooling rack and leave to cool completely. Will keep in an airtight container for up to four days.']"
Microwave peanut butter & jam brownies,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/cropped-brownie.jpg,Prep:10Cook:5,"['75g butter, plus a little extra for greasing', '50g peanut butter', '1 egg', '25g cocoa powder', '50g plain flour', '100g sugar', 'few tsp of jam']","['  kcal 290  ', '  fat 16g  ', '  saturates 8g  ', '  carbs 20g  ', '  sugars 23g  ', '  fibre 1g  ', '  protein 5g  ', '  salt 0.4g  ']",quick-cake,"['Add the butter and peanut butter to a microwave-safe bowl and cook on High for 30 secs to melt. Remove from the microwave and stir thoroughly. Allow to cool slightly then add the egg and stir to combine. Grease with butter and line a second microwaveable round dish (about 15cm wide) with cling film. Tip the peanut butter mix into the lined dish then sieve in the cocoa powder and flour and tip in the sugar. Mix gently to form a thick, sticky paste. Smooth the top of the mixture with the back of a large spoon. ', 'Using a teaspoon, make crater-holes in the top of the brownie mixture and fill each generously with jam as it will melt and bubble down when cooked. Pop in the microwave for 3-4 mins on High. Remove and leave to cool for 15 mins (it will carry on cooking as it cools) then enjoy! ']"
Blood orange & poppy drizzle muffins,https://www.bbcgoodfoodme.com/assets/legacy/recipe_images/blood-orange-poppy-drizzle-muffins.jpg,Prep:20Cook:15,"['5 tbsp light rapeseed or sunflower oil, plus a little extra for greasing', '300g self-raising flour', '175g golden caster sugar', '1 tsp baking powder', '2 tbsp poppy seeds', '200ml milk', '1 large egg', 'zest 2 blood orange, juice 2½ ', '140g granulated sugar']","['  kcal 258  ', '  fat 6g  ', '  saturates 1g  ', '  carbs 46g  ', '  sugars 28g  ', '  fibre 1g  ', '  protein 4g  ', '  salt 0.4g  ']",quick-cake,"['Heat oven to 200C/180C fan/gas 6 and lightly grease a 12-hole muffin tin. Mix together the flour, caster sugar, baking powder and poppy seeds in a large mixing bowl. In another bowl, whisk together the oil, milk, egg, and zest and juice from 1 of the oranges. ', 'Working very quickly, pour the wet ingredients into the dry and barely mix together with a fork – the mixture should be lumpy, so don’t overwork it. Spoon the mixture into the tins and bake for 10-12 mins until risen and browned. ', 'While the muffins are baking, mix the remaining zest with the granulated sugar in a small bowl. Have the remaining blood orange juice ready too. ', 'Leave the muffins to cool for 2 mins, then transfer to a wire rack. Again working quickly, pour the juices into the sugar mix and spoon some over each muffin, repeating until it is all used up. Leave to set for 5 mins before eating.']"
