name,image,time,ingredient,nutrition,categoty,methode
Easy pesto,https://images.immediate.co.uk/production/volatile/sites/30/2022/03/perfect-pesto-feb1d6d.jpg,Prep:15Cook:5,"['50g pine nuts or cashews ', 'large bunch of basil, leaves picked ', '50g parmesan or vegetarian alternative ', '1 garlic clove, chopped ', '100ml olive oil ']","['  kcal 188  ', '  fat 19g  ', '  saturates 3g  ', '  carbs 1g  ', '  sugars 0g  ', '  fibre 0.2g  ', '  protein 4g  ', '  salt 1g  ']",under-20-minutes,"['Toast the nuts in a pan over a low heat. Tip into a mini chopper with the remaining ingredients, or use a large pestle and mortar, then blitz or pound into a rough sauce. Will keep for three days in the fridge.']"
Little burnt honey & almond cakes,https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Little-burnt-honey-and-almond-cakes-317bd9b.jpg,Prep:10Cook:20,"['50g butter, plus extra for the tin ', '1 tbsp honey ', '1 egg ', '50g golden caster sugar ', '30g plain flour ', '30g ground almonds ', '½ tsp baking powder ', 'icing sugar, for dusting (optional) ']","['  kcal 508  ', '  fat 31g  ', '  saturates 14g  ', '  carbs 47g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 9g  ', '  salt 0.9g  ']",under-20-minutes,"['Put the butter and honey in a small saucepan and cook over a medium-high heat for 2-3 mins until the butter foams and the mixture turns a mahogany colour.', 'Whisk the egg, sugar and the honey and butter mixture together in a large bowl. Stir in the flour, almonds, baking powder and a pinch of sea salt to make a batter. Can be used straightaway or kept in the fridge overnight.', ""Heat the oven to 200C/180C fan/gas 6 and butter four holes of a muffin tin. Divide the mixture between the holes and bake for 12-14 mins until golden and cooked through. Turn out onto a cooling rack and leave to cool for a few minutes. Dust with icing sugar, if you like, and serve with hot chocolate espresso sauce (see 'goes well with', below).""]"
Pastrami-style steak & mustard mayo,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Pastrami-style-steak-and-mustard-mayo-9179873.jpg,Prep:5Cook:15,"['2 tbsp mayonnaise ', '2 tsp English mustard ', '2 x 250g sirloin or ribeye steaks ', 'sunflower or vegetable oil, for drizzling ', '50g butter ', '150g sauerkraut ']","['  kcal 775  ', '  fat 66g  ', '  saturates 24g  ', '  carbs 2g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 41g  ', '  salt 2.5g  ']",under-20-minutes,"['Mix the mayo with the mustard and set aside. Season the steaks. Heat a drizzle of oil and the butter in a large frying pan over a high heat until sizzling and turning nut brown. Cook the steaks for 1-2 mins on one side, then turn and cook for another 1-2 mins. Turn again and continue this process for 6-7 mins total for rare, 8-9 mins for medium- rare and 10 mins for medium. Turning the steaks helps them cook evenly and build a uniform crust.', 'When the steaks are cooked to your liking, transfer to a board and leave to rest. Meanwhile, cook the sauerkraut in the pan with the sticky steak juices for 3-4 mins until heated through and browned. Serve the steaks with the sauerkraut and the mustard mayo on the side, or spoon the sauerkraut over the steaks.']"
Homemade breadcrumbs,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/breadcrumbs-77470db.jpg,Prep:5,"['2 slices day-old white bread (crusts removed, if you prefer) ']","['  kcal 83  ', '  fat 0.6g  ', '  saturates 0.1g  ', '  carbs 16g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 3g  ', '  salt 0.36g  ']",under-20-minutes,"['To make fresh breadcrumbs, tear the bread into pieces and drop into a food processor fitted with a blade attachment. Pulse until you have breadcrumbs of the size you want. If you want to make very even breadcrumbs, push them through a coarse sieve. Will keep in an airtight container at room temperature for up to a week.', 'To make dried breadcrumbs, tear the bread into pieces and bake in a low oven until the pieces are completely dried out. Pulse in a food processor as before. Will keep chilled for up to two months, or frozen for six months.']"
Crab & cucumber crumpets,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Crab-and-cucumber-crumpets-e776cc6.jpg,Prep:15Nocook,"['½ cucumber, peeled, halved, deseeded and cut into thin strips ', '150-200g picked crabmeat (all white meat, or a mix of white and brown, if you like) ', '1 tbsp crème fraîche ', 'squeeze of lemon juice ', '1 tsp chopped dill ', '4 crumpets ']","['  kcal 154  ', '  fat 4g  ', '  saturates 3g  ', '  carbs 18g  ', '  sugars 0g  ', '  fibre 2g  ', '  protein 11g  ', '  salt 1.6g  ']",under-20-minutes,"['Tip the cucumber into a colander, sprinkle with salt and leave to drain for 10 mins.', 'Tip the crabmeat into a bowl with the crème fraîche and lemon juice. Season. Squeeze the strips of cucumber to remove any excess water, then mix with the dill. Toast the crumpets, then top with the crab mixture, a small tangle of cucumber strips and a few extra dill sprigs.']"
Griddled pears with goat’s cheese & hazelnut dressing,https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Grilled-Pear-and-Goats-Cheese-053b56b.jpg,Prep:10Cook:5,"['40g toasted hazelnuts, finely chopped or crushed ', '3 tbsp olive oil ', '1 tbsp balsamic or red wine vinegar ', '2 pears, cored ', 'handful of watercress, to serve ', ""100g goat's cheese, crumbled ""]","['  kcal 261  ', '  fat 21g  ', '  saturates 6g  ', '  carbs 9g  ', '  sugars 0g  ', '  fibre 3g  ', '  protein 7g  ', '  salt 0.6g  ']",under-20-minutes,"['Combine the hazelnuts with the oil, vinegar and a pinch of sea salt flakes. Slice each pear into six wedges.', 'Heat a griddle pan over a high heat and griddle the pear wedges until slightly charred. Arrange three in a line on each plate. Tuck some watercress around the pears, then crumble over the goat’s cheese. Dot over the hazelnut dressing.']"
Diabolo grenadine,https://images.immediate.co.uk/production/volatile/sites/30/2021/01/Diablo-grenadine-fafd009.jpg,Prep:10Cook:5,"['100ml pomegranate juice (not from concentrate) ', '100g granulated sugar ', 'drop of orange blossom water ', '30ml grenadine ', 'large handful of ice ', '150ml clear lemonade ', '1 mint sprig ']","['  kcal 100  ', '  fat 0g  ', '  saturates 0g  ', '  carbs 25g  ', '  sugars 0g  ', '  fibre 0g  ', '  protein 0g  ', '  salt 0.03g  ']",under-20-minutes,"['Put the pomegranate juice and sugar in a pan set over a low heat. Stir until the sugar has dissolved.', 'Remove from the heat. Leave to cool. Add the orange blossom water, then pour into a sterilised bottle. Will keep for two weeks.', 'For the diabolo, pour 30ml of the grenadine into a tall glass, add the ice, and top up with the lemonade. Stir gently to combine, then garnish with a mint sprig.']"
Ultimate easy gingerbread,https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Easy-gingerbread-0a57ec1.jpg,Prep:20Cook:15plus1hrchilling,"['100g salted butter ', '3 tbsp golden syrup ', '100g dark muscovado sugar ', '½ tsp bicarbonate of soda ', '1 tbsp ground ginger ', '1 tsp ground cinnamon ', '225g plain flour ', '50g icing sugar ']","['  kcal 150  ', '  fat 5g  ', '  saturates 3g  ', '  carbs 23g  ', '  sugars 0g  ', '  fibre 1g  ', '  protein 2g  ', '  salt 0.2g  ']",under-20-minutes,"['Heat the butter, syrup and sugar together in a small pan until melted, stirring occasionally. Set aside to cool slightly.', 'Mix together the bicarb, ginger, cinnamon and flour in a large bowl. Pour in the buttery syrup mixture and stir to combine, then use your hands to bring together to form a dough. The dough will be soft at this point, but it’ll firm up in the fridge.', 'Put the dough on a sheet of baking parchment, shape into a rectangle, and lay another sheet of parchment on top of it. Roll the dough out to a thickness of ½cm. Transfer to a baking sheet to keep it flat, leaving the parchment in place, then chill in the fridge for 1 hr.', 'Heat the oven to 190C/170C fan/gas 5 and line a large baking sheet with more baking parchment. Remove the dough from the fridge and cut out shapes using a cookie cutter. We used 9cm stars, but you can choose any shape. We also made some with smaller stars cut out of the centre to thread ribbon through and hang from a Christmas tree.', 'Place the shapes, spread apart, on the lined baking sheet, and bake for 10-12 mins. (Depending on the size of the cutters you use, they might need a few minutes more or less cooking in the oven). Leave to cool completely on the baking sheet.', 'Meanwhile, mix the icing sugar with 1-2 tbsp water – you want to create a consistency that’s thick and pipeable, and not too thin or it will run. Decorate the cooled biscuits with the icing using a piping bag with a thin nozzle. Find out how to make a piping bag.']"
Teriyaki salmon with sesame pak choi,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2016/11/teriyaki-salmon.jpg,Prep:10Cook:10,"['2 skinless salmon fillets', '1 tbsp sweet chilli sauce', '1 tbsp honey', '1 tsp sesame oil', '1 tbsp mirin or dry sherry', '2 tbsp soy sauce', '2 tsp finely grated ginger', 'brown rice or noodles, to serve (optional)', '2 large pak choi (about 250g)', '2 tsp vegetable oil', '2 tsp sesame oil', '3 garlic cloves, grated', '75ml fish or vegetable stock', '2 tsp toasted sesame seeds, for sprinkling']","['  kcal 517  ', '  fat 30g  ', '  saturates 5g  ', '  carbs 17g  ', '  sugars 15g  ', '  fibre 3g  ', '  protein 41g  ', '  salt 2.8g  ']",under-20-minutes,"['Heat oven to 200C/180C fan/gas 6 and put the salmon in a shallow baking dish. Mix the sweet chilli, honey, sesame oil, mirin, soy and ginger in a small bowl and pour over the salmon so the steaks are completely covered. Bake for 10 mins while you cook the pak choi.', 'Cut a slice across the base of the pak choi so the leaves separate. Heat the oils in a wok, add the garlic and stir-fry briefly to soften. Add the pak choi and fry until the leaves start to wilt. Pour over the stock, tightly cover the pan and allow to cook for 5 mins – you are aiming for the stems of the pak choi to be tender but still have a bit of bite.', 'Serve the pak choi in shallow bowls, top with the salmon steaks and spoon over the juices. Scatter with the toasted sesame seeds and serve on its own or with brown rice or noodles.']"
Mexican chicken burger,https://www.bbcgoodfoodme.com/assets/legacy/recipe/recipe-image/2016/10/mexican-chicken-burger.jpg,Prep:10Cook:8,"['1 chicken breast', '1 tsp chipotle paste', '1 lime, juiced', '1-2 slices cheese', '1 brioche bun, split', '½ avocado', '2 cherry tomatoes, chopped', '3-4 pickled jalapeño slices, chopped', '½ small garlic clove, finely grated']","['  kcal 709  ', '  fat 34g  ', '  saturates 16g  ', '  carbs 52g  ', '  sugars 15g  ', '  fibre 5g  ', '  protein 46g  ', '  salt 2.2g  ']",under-20-minutes,"['Put the chicken breast between two pieces of cling film and bash with a rolling pin or pan to about 1cm thick. Mix the chipotle paste with half the lime juice and spread over the chicken.', 'Heat a griddle pan over a high heat. Once hot, cook the chicken for 3 mins each side until cooked through, adding the cheese for the final 2 mins of cooking. Add the bun, cut-side down, to the griddle pan to toast lightly. Season the chicken.', 'Meanwhile, mash the avocado with the remaining lime juice. Stir in the cherry tomatoes, jalapeño and garlic, and season with a little salt. Spread over the base of the bun, then add the chicken followed by the top of the bun.']"
